severity,reason,source_doc,source_pdf,reference_page,office,funding_year,label,expected,detail,exception_key
warning,banner_check_discrepancy,114sdoc13,GPO-CDOC-114sdoc13.pdf,20,CHAIRMAN MINORITY CONFERENCE COMMITTEE (D),2016,BANNER ORGANIZATION TOTALS,2511.32,status=warn; banner=2511.32; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc13|banner_check_discrepancy|20|CHAIRMAN MINORITY CONFERENCE COMMITTEE (D)|2016|BANNER ORGANIZATION TOTALS|2511.32
warning,banner_check_discrepancy,114sdoc13,GPO-CDOC-114sdoc13.pdf,25,MINORITY LEADER (D),2015,BANNER ORGANIZATION TOTALS,6018.59,status=warn; banner=6018.59; parsed_body=4000.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc13|banner_check_discrepancy|25|MINORITY LEADER (D)|2015|BANNER ORGANIZATION TOTALS|6018.59
warning,banner_check_discrepancy,114sdoc13,GPO-CDOC-114sdoc13.pdf,26,MINORITY LEADER (D),2016,BANNER ORGANIZATION TOTALS,34799.79,status=warn; banner=34799.79; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc13|banner_check_discrepancy|26|MINORITY LEADER (D)|2016|BANNER ORGANIZATION TOTALS|34799.79
warning,banner_check_discrepancy,114sdoc13,GPO-CDOC-114sdoc13.pdf,28,MINORITY WHIP (D),2015,BANNER ORGANIZATION TOTALS,551.22,status=warn; banner=551.22; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc13|banner_check_discrepancy|28|MINORITY WHIP (D)|2015|BANNER ORGANIZATION TOTALS|551.22
warning,banner_check_discrepancy,114sdoc13,GPO-CDOC-114sdoc13.pdf,29,MINORITY WHIP (D),2016,BANNER ORGANIZATION TOTALS,2521.3,status=warn; banner=2521.3; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc13|banner_check_discrepancy|29|MINORITY WHIP (D)|2016|BANNER ORGANIZATION TOTALS|2521.3
warning,banner_check_missing,114sdoc13,GPO-CDOC-114sdoc13.pdf,33,PRESIDENT PRO TEMPORE (D),2014,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc13|banner_check_missing|33|PRESIDENT PRO TEMPORE (D)|2014|BANNER NET PAYROLL|0.0
warning,banner_check_discrepancy,114sdoc13,GPO-CDOC-114sdoc13.pdf,35,PRESIDENT PRO TEMPORE (R),2015,BANNER ORGANIZATION TOTALS,25147.12,status=warn; banner=25147.12; parsed_body=1537.76. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc13|banner_check_discrepancy|35|PRESIDENT PRO TEMPORE (R)|2015|BANNER ORGANIZATION TOTALS|25147.12
warning,banner_check_discrepancy,114sdoc13,GPO-CDOC-114sdoc13.pdf,36,PRESIDENT PRO TEMPORE (R),2016,BANNER ORGANIZATION TOTALS,1181.97,status=warn; banner=1181.97; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc13|banner_check_discrepancy|36|PRESIDENT PRO TEMPORE (R)|2016|BANNER ORGANIZATION TOTALS|1181.97
warning,banner_check_discrepancy,114sdoc13,GPO-CDOC-114sdoc13.pdf,38,MAJORITY LEADER (R),2015,BANNER ORGANIZATION TOTALS,2103.66,status=warn; banner=2103.66; parsed_body=250.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc13|banner_check_discrepancy|38|MAJORITY LEADER (R)|2015|BANNER ORGANIZATION TOTALS|2103.66
warning,banner_check_discrepancy,114sdoc13,GPO-CDOC-114sdoc13.pdf,39,MAJORITY LEADER (R),2016,BANNER ORGANIZATION TOTALS,7036.92,status=warn; banner=7036.92; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc13|banner_check_discrepancy|39|MAJORITY LEADER (R)|2016|BANNER ORGANIZATION TOTALS|7036.92
