severity,reason,source_doc,source_pdf,reference_page,office,funding_year,label,expected,detail,exception_key
warning,banner_check_discrepancy,113sdoc2,GPO-CDOC-113sdoc2.pdf,21,CHAIRMAN MAJORITY POLICY COMMITTEE (D),2012,BANNER ORGANIZATION TOTALS,1745.0,status=warn; banner=1745.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_discrepancy|21|CHAIRMAN MAJORITY POLICY COMMITTEE (D)|2012|BANNER ORGANIZATION TOTALS|1745.0
warning,banner_check_discrepancy,113sdoc2,GPO-CDOC-113sdoc2.pdf,22,CHAIRMAN MAJORITY POLICY COMMITTEE (D),2013,BANNER ORGANIZATION TOTALS,98.0,status=warn; banner=98.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_discrepancy|22|CHAIRMAN MAJORITY POLICY COMMITTEE (D)|2013|BANNER ORGANIZATION TOTALS|98.0
warning,banner_check_discrepancy,113sdoc2,GPO-CDOC-113sdoc2.pdf,24,MAJORITY LEADER (D),2012,BANNER ORGANIZATION TOTALS,3939.27,status=warn; banner=3939.27; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_discrepancy|24|MAJORITY LEADER (D)|2012|BANNER ORGANIZATION TOTALS|3939.27
warning,banner_check_discrepancy,113sdoc2,GPO-CDOC-113sdoc2.pdf,25,MAJORITY LEADER (D),2013,BANNER ORGANIZATION TOTALS,32429.62,status=warn; banner=32429.62; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_discrepancy|25|MAJORITY LEADER (D)|2013|BANNER ORGANIZATION TOTALS|32429.62
warning,banner_check_discrepancy,113sdoc2,GPO-CDOC-113sdoc2.pdf,27,MAJORITY WHIP (D),2012,BANNER ORGANIZATION TOTALS,207.62,status=warn; banner=207.62; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_discrepancy|27|MAJORITY WHIP (D)|2012|BANNER ORGANIZATION TOTALS|207.62
warning,banner_check_discrepancy,113sdoc2,GPO-CDOC-113sdoc2.pdf,28,MAJORITY WHIP (D),2013,BANNER ORGANIZATION TOTALS,2849.57,status=warn; banner=2849.57; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_discrepancy|28|MAJORITY WHIP (D)|2013|BANNER ORGANIZATION TOTALS|2849.57
warning,banner_check_discrepancy,113sdoc2,GPO-CDOC-113sdoc2.pdf,30,OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2012,BANNER ORGANIZATION TOTALS,6859.31,status=warn; banner=6859.31; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_discrepancy|30|OFFICE OF THE VICE PRESIDENT (D) - BIDEN|2012|BANNER ORGANIZATION TOTALS|6859.31
warning,banner_check_discrepancy,113sdoc2,GPO-CDOC-113sdoc2.pdf,31,OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2013,BANNER ORGANIZATION TOTALS,205.66,status=warn; banner=205.66; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_discrepancy|31|OFFICE OF THE VICE PRESIDENT (D) - BIDEN|2013|BANNER ORGANIZATION TOTALS|205.66
warning,banner_check_missing,113sdoc2,GPO-CDOC-113sdoc2.pdf,32,PRESIDENT PRO TEMPORE (D),2011,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_missing|32|PRESIDENT PRO TEMPORE (D)|2011|BANNER NET PAYROLL|0.0
warning,banner_check_missing,113sdoc2,GPO-CDOC-113sdoc2.pdf,33,PRESIDENT PRO TEMPORE (D),2012,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_missing|33|PRESIDENT PRO TEMPORE (D)|2012|BANNER NET PAYROLL|0.0
warning,banner_check_discrepancy,113sdoc2,GPO-CDOC-113sdoc2.pdf,33,PRESIDENT PRO TEMPORE (D),2012,BANNER ORGANIZATION TOTALS,229.68,status=warn; banner=229.68; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_discrepancy|33|PRESIDENT PRO TEMPORE (D)|2012|BANNER ORGANIZATION TOTALS|229.68
warning,banner_check_discrepancy,113sdoc2,GPO-CDOC-113sdoc2.pdf,34,PRESIDENT PRO TEMPORE (D),2013,BANNER ORGANIZATION TOTALS,1921.66,status=warn; banner=1921.66; parsed_body=365.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_discrepancy|34|PRESIDENT PRO TEMPORE (D)|2013|BANNER ORGANIZATION TOTALS|1921.66
warning,banner_check_discrepancy,113sdoc2,GPO-CDOC-113sdoc2.pdf,36,MINORITY LEADER (R),2012,BANNER ORGANIZATION TOTALS,2404.53,status=warn; banner=2404.53; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_discrepancy|36|MINORITY LEADER (R)|2012|BANNER ORGANIZATION TOTALS|2404.53
warning,banner_check_discrepancy,113sdoc2,GPO-CDOC-113sdoc2.pdf,37,MINORITY LEADER (R),2013,BANNER ORGANIZATION TOTALS,10990.61,status=warn; banner=10990.61; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_discrepancy|37|MINORITY LEADER (R)|2013|BANNER ORGANIZATION TOTALS|10990.61
warning,banner_check_discrepancy,113sdoc2,GPO-CDOC-113sdoc2.pdf,38,MINORITY WHIP (R),2011,BANNER ORGANIZATION TOTALS,1511.01,status=warn; banner=1511.01; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_discrepancy|38|MINORITY WHIP (R)|2011|BANNER ORGANIZATION TOTALS|1511.01
warning,banner_check_discrepancy,113sdoc2,GPO-CDOC-113sdoc2.pdf,39,MINORITY WHIP (R),2012,BANNER ORGANIZATION TOTALS,1021.91,status=warn; banner=1021.91; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_discrepancy|39|MINORITY WHIP (R)|2012|BANNER ORGANIZATION TOTALS|1021.91
warning,banner_check_discrepancy,113sdoc2,GPO-CDOC-113sdoc2.pdf,43,CHAIRMAN MINORITY CONFERENCE COMMITTEE (R),2013,BANNER ORGANIZATION TOTALS,1926.85,status=warn; banner=1926.85; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_discrepancy|43|CHAIRMAN MINORITY CONFERENCE COMMITTEE (R)|2013|BANNER ORGANIZATION TOTALS|1926.85
warning,banner_check_discrepancy,113sdoc2,GPO-CDOC-113sdoc2.pdf,46,CHAIRMAN MINORITY POLICY COMMITTEE (R),2013,BANNER ORGANIZATION TOTALS,2739.85,status=warn; banner=2739.85; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_discrepancy|46|CHAIRMAN MINORITY POLICY COMMITTEE (R)|2013|BANNER ORGANIZATION TOTALS|2739.85
warning,banner_check_missing,113sdoc2,GPO-CDOC-113sdoc2.pdf,53,APPROPRIATIONS,2011,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_missing|53|APPROPRIATIONS|2011|BANNER NET PAYROLL|0.0
warning,banner_check_missing,113sdoc2,GPO-CDOC-113sdoc2.pdf,54,APPROPRIATIONS,2012,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_missing|54|APPROPRIATIONS|2012|BANNER NET PAYROLL|0.0
error,unexpected_zero_records,113sdoc2,GPO-CDOC-113sdoc2.pdf,57,APPROPRIATIONS,2013,NET PAYROLL EXPENSES,6041374.61,A normally itemized subtotal has no parsed records; exact review is required.,113sdoc2|unexpected_zero_records|57|APPROPRIATIONS|2013|NET PAYROLL EXPENSES|6041374.61
warning,banner_check_missing,113sdoc2,GPO-CDOC-113sdoc2.pdf,58,CHAPLAIN,2011,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_missing|58|CHAPLAIN|2011|BANNER NET PAYROLL|0.0
warning,banner_check_missing,113sdoc2,GPO-CDOC-113sdoc2.pdf,59,CHAPLAIN,2012,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_missing|59|CHAPLAIN|2012|BANNER NET PAYROLL|0.0
error,unexpected_zero_records,113sdoc2,GPO-CDOC-113sdoc2.pdf,60,CHAPLAIN,2013,NET PAYROLL EXPENSES,192974.81,A normally itemized subtotal has no parsed records; exact review is required.,113sdoc2|unexpected_zero_records|60|CHAPLAIN|2013|NET PAYROLL EXPENSES|192974.81
warning,banner_check_missing,113sdoc2,GPO-CDOC-113sdoc2.pdf,61,MAJORITY CONFERENCE COMMITTEE (D),2011,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_missing|61|MAJORITY CONFERENCE COMMITTEE (D)|2011|BANNER NET PAYROLL|0.0
warning,banner_check_missing,113sdoc2,GPO-CDOC-113sdoc2.pdf,62,MAJORITY CONFERENCE COMMITTEE (D),2012,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_missing|62|MAJORITY CONFERENCE COMMITTEE (D)|2012|BANNER NET PAYROLL|0.0
error,unexpected_zero_records,113sdoc2,GPO-CDOC-113sdoc2.pdf,63,MAJORITY CONFERENCE COMMITTEE (D),2013,NET PAYROLL EXPENSES,680753.95,A normally itemized subtotal has no parsed records; exact review is required.,113sdoc2|unexpected_zero_records|63|MAJORITY CONFERENCE COMMITTEE (D)|2013|NET PAYROLL EXPENSES|680753.95
warning,banner_check_missing,113sdoc2,GPO-CDOC-113sdoc2.pdf,64,MAJORITY POLICY COMMITTEE (D),2011,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_missing|64|MAJORITY POLICY COMMITTEE (D)|2011|BANNER NET PAYROLL|0.0
error,unexpected_zero_records,113sdoc2,GPO-CDOC-113sdoc2.pdf,65,MAJORITY POLICY COMMITTEE (D),2012,NET PAYROLL EXPENSES,1028.19,A normally itemized subtotal has no parsed records; exact review is required.,113sdoc2|unexpected_zero_records|65|MAJORITY POLICY COMMITTEE (D)|2012|NET PAYROLL EXPENSES|1028.19
warning,banner_check_discrepancy,113sdoc2,GPO-CDOC-113sdoc2.pdf,65,MAJORITY POLICY COMMITTEE (D),2012,BANNER ORGANIZATION TOTALS,1028.19,status=warn; banner=1028.19; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_discrepancy|65|MAJORITY POLICY COMMITTEE (D)|2012|BANNER ORGANIZATION TOTALS|1028.19
error,unexpected_zero_records,113sdoc2,GPO-CDOC-113sdoc2.pdf,66,MAJORITY POLICY COMMITTEE (D),2013,NET PAYROLL EXPENSES,671264.12,A normally itemized subtotal has no parsed records; exact review is required.,113sdoc2|unexpected_zero_records|66|MAJORITY POLICY COMMITTEE (D)|2013|NET PAYROLL EXPENSES|671264.12
warning,banner_check_discrepancy,113sdoc2,GPO-CDOC-113sdoc2.pdf,66,MAJORITY POLICY COMMITTEE (D),2013,BANNER ORGANIZATION TOTALS,671264.12,status=fail; banner=671264.12; parsed_body=671541.57. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_discrepancy|66|MAJORITY POLICY COMMITTEE (D)|2013|BANNER ORGANIZATION TOTALS|671264.12
warning,banner_check_missing,113sdoc2,GPO-CDOC-113sdoc2.pdf,67,MAJORITY LEADER (D),2011,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_missing|67|MAJORITY LEADER (D)|2011|BANNER NET PAYROLL|0.0
warning,banner_check_missing,113sdoc2,GPO-CDOC-113sdoc2.pdf,68,MAJORITY LEADER (D),2012,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_missing|68|MAJORITY LEADER (D)|2012|BANNER NET PAYROLL|0.0
error,unexpected_zero_records,113sdoc2,GPO-CDOC-113sdoc2.pdf,70,MAJORITY LEADER (D),2013,NET PAYROLL EXPENSES,1206649.83,A normally itemized subtotal has no parsed records; exact review is required.,113sdoc2|unexpected_zero_records|70|MAJORITY LEADER (D)|2013|NET PAYROLL EXPENSES|1206649.83
warning,banner_check_missing,113sdoc2,GPO-CDOC-113sdoc2.pdf,71,"SECRETARY, MAJORITY CONFERENCE COMM (D)",2011,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,"113sdoc2|banner_check_missing|71|SECRETARY, MAJORITY CONFERENCE COMM (D)|2011|BANNER NET PAYROLL|0.0"
warning,banner_check_missing,113sdoc2,GPO-CDOC-113sdoc2.pdf,72,"SECRETARY, MAJORITY CONFERENCE COMM (D)",2012,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,"113sdoc2|banner_check_missing|72|SECRETARY, MAJORITY CONFERENCE COMM (D)|2012|BANNER NET PAYROLL|0.0"
error,unexpected_zero_records,113sdoc2,GPO-CDOC-113sdoc2.pdf,73,"SECRETARY, MAJORITY CONFERENCE COMM (D)",2013,NET PAYROLL EXPENSES,142112.76,A normally itemized subtotal has no parsed records; exact review is required.,"113sdoc2|unexpected_zero_records|73|SECRETARY, MAJORITY CONFERENCE COMM (D)|2013|NET PAYROLL EXPENSES|142112.76"
warning,banner_check_missing,113sdoc2,GPO-CDOC-113sdoc2.pdf,74,MAJORITY WHIP (D),2011,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_missing|74|MAJORITY WHIP (D)|2011|BANNER NET PAYROLL|0.0
warning,banner_check_missing,113sdoc2,GPO-CDOC-113sdoc2.pdf,75,MAJORITY WHIP (D),2012,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_missing|75|MAJORITY WHIP (D)|2012|BANNER NET PAYROLL|0.0
error,unexpected_zero_records,113sdoc2,GPO-CDOC-113sdoc2.pdf,76,MAJO,2013,NET PAYROLL EXPENSES,776357.75,A normally itemized subtotal has no parsed records; exact review is required.,113sdoc2|unexpected_zero_records|76|MAJO|2013|NET PAYROLL EXPENSES|776357.75
warning,banner_check_missing,113sdoc2,GPO-CDOC-113sdoc2.pdf,77,OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2011,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_missing|77|OFFICE OF THE VICE PRESIDENT (D) - BIDEN|2011|BANNER NET PAYROLL|0.0
warning,banner_check_missing,113sdoc2,GPO-CDOC-113sdoc2.pdf,78,OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2012,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_missing|78|OFFICE OF THE VICE PRESIDENT (D) - BIDEN|2012|BANNER NET PAYROLL|0.0
error,unexpected_zero_records,113sdoc2,GPO-CDOC-113sdoc2.pdf,80,OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2013,NET PAYROLL EXPENSES,1087418.34,A normally itemized subtotal has no parsed records; exact review is required.,113sdoc2|unexpected_zero_records|80|OFFICE OF THE VICE PRESIDENT (D) - BIDEN|2013|NET PAYROLL EXPENSES|1087418.34
warning,banner_check_missing,113sdoc2,GPO-CDOC-113sdoc2.pdf,81,PRESIDENT PRO TEMPORE (D),2011,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,113sdoc2|banner_check_missing|81|PRESIDENT PRO TEMPORE (D)|2011|BANNER NET PAYROLL|0.0
