senator_name,funding_year,start_page,record_count,outcome
SCOTT P. BROWN,2011,564,2,unmatched
SCOTT P. BROWN,2012,565,65,unmatched
SCOTT P. BROWN,2013,568,131,unmatched
TOM COBURN,2012,706,35,unmatched
TOM COBURN,2013,708,462,unmatched
MAIZE HIRONO,2013,1001,88,unmatched
PATRICK J.TOOMEY,2012,1626,121,unmatched
PATRICK J.TOOMEY,2013,1631,533,unmatched
MARK UDALL (CO),2012,1648,47,unmatched
MARK UDALL (CO),2013,1651,325,unmatched
TOM UDALL (NM),2012,1662,117,unmatched
TOM UDALL (NM),2013,1666,462,unmatched
