office,funding_year,account,start_page,label,check_page,expected,actual,status,basis
SENATOR ANDY KIM,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,70,TRAVEL AND TRANSPORTATION OF PERSONS,76,27490.88,27490.88,ok,segment
SENATOR ANDY KIM,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,70,OTHER CONTRACTUAL SERVICES,76,20.0,20.0,ok,segment
INTERN COMPENSATION - KIM,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,77,PERSONNEL COMP. FULL-TIME PERMANENT,77,2589.52,2589.52,ok,segment
INTERN COMPENSATION - KIM,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,77,NET PAYROLL EXPENSES,77,2589.52,2589.52,ok,block_running_total
SENATOR ANGUS KING,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,80,PERSONNEL BENEFITS,80,403.35,0.0,no_records,segment
SENATOR ANGUS KING,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,80,NET PAYROLL EXPENSES,80,403.35,0.0,no_records,block_running_total
SENATOR ANGUS KING,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,80,TRAVEL AND TRANSPORTATION OF PERSONS,81,2492.15,2492.15,ok,segment
SENATOR ANGUS KING,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,80,OTHER CONTRACTUAL SERVICES,81,500.0,500.0,ok,segment
SENATOR ANGUS KING,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,80,ACQUISITION OF ASSETS,81,7102.0,7102.0,ok,segment
SENATOR ANGUS KING,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,83,PERSONNEL COMP. FULL-TIME PERMANENT,84,1911981.86,1911981.86,ok,segment
SENATOR ANGUS KING,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,83,RE-EMPLOYED ANNUITANTS,84,4694.0,0.0,no_records,segment
SENATOR ANGUS KING,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,83,PERSONNEL BENEFITS,84,3429.9,0.0,no_records,segment
SENATOR ANGUS KING,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,83,NET PAYROLL EXPENSES,84,1920105.76,1911981.86,fail,block_running_total
SENATOR ANGUS KING,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,83,TRAVEL AND TRANSPORTATION OF PERSONS,91,40001.75,40001.75,ok,segment
SENATOR ANGUS KING,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,83,OTHER CONTRACTUAL SERVICES,91,2662.24,2662.24,ok,segment
SENATOR ANGUS KING,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,83,ACQUISITION OF ASSETS,91,343.41,343.41,ok,segment
SENATOR AMY KLOBUCHAR,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,93,TRAVEL AND TRANSPORTATION OF PERSONS,93,65.14,65.14,ok,segment
SENATOR AMY KLOBUCHAR,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,95,PERSONNEL BENEFITS,95,2711.39,0.0,no_records,segment
SENATOR AMY KLOBUCHAR,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,95,NET PAYROLL EXPENSES,95,2711.39,0.0,no_records,block_running_total
SENATOR AMY KLOBUCHAR,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,95,TRAVEL AND TRANSPORTATION OF PERSONS,99,21904.52,21904.52,ok,segment
SENATOR AMY KLOBUCHAR,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,95,OTHER CONTRACTUAL SERVICES,99,130.02,130.02,ok,segment
SENATOR AMY KLOBUCHAR,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,95,ACQUISITION OF ASSETS,99,14338.2,14338.2,ok,segment
SENATOR AMY KLOBUCHAR,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,101,PERSONNEL COMP. FULL-TIME PERMANENT,103,1955251.32,1955251.32,ok,segment
SENATOR AMY KLOBUCHAR,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,101,PERSONNEL BENEFITS,103,2073.61,0.0,no_records,segment
SENATOR AMY KLOBUCHAR,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,101,NET PAYROLL EXPENSES,103,1957324.93,1955251.32,fail,block_running_total
SENATOR AMY KLOBUCHAR,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,101,TRAVEL AND TRANSPORTATION OF PERSONS,110,28830.76,28830.09,warn,segment
SENATOR AMY KLOBUCHAR,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,101,OTHER CONTRACTUAL SERVICES,110,350.0,350.0,ok,segment
INTERN COMPENSATION - KLOBUCHAR,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,111,PERSONNEL COMP. FULL-TIME PERMANENT,111,19769.42,19769.42,ok,segment
INTERN COMPENSATION - KLOBUCHAR,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,111,NET PAYROLL EXPENSES,111,19769.42,19769.42,ok,block_running_total
SENATOR JAMES LANKFORD,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,114,TRAVEL AND TRANSPORTATION OF PERSONS,119,16241.51,16241.51,ok,segment
SENATOR JAMES LANKFORD,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,114,OTHER CONTRACTUAL SERVICES,119,41004.0,41004.0,ok,segment
SENATOR JAMES LANKFORD,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,114,ACQUISITION OF ASSETS,119,22445.89,22445.89,ok,segment
SENATOR JAMES LANKFORD,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,121,PERSONNEL COMP. FULL-TIME PERMANENT,122,1808019.63,1808019.63,ok,segment
SENATOR JAMES LANKFORD,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,121,PERSONNEL BENEFITS,122,1091.0,0.0,no_records,segment
SENATOR JAMES LANKFORD,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,121,NET PAYROLL EXPENSES,122,1809110.63,1808019.63,fail,block_running_total
SENATOR JAMES LANKFORD,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,121,TRAVEL AND TRANSPORTATION OF PERSONS,143,93373.41,93373.41,ok,segment
