office,funding_year,start_page,status,banner_status,record_count,rows_quarantined,records_checked,dollars_checked,dollars_unchecked,amount_parse_failures,pages_skipped
CHAIRMAN MAJORITY CONFERENCE COMMITTEE (D),2014,18,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY CONFERENCE COMMITTEE (D),2015,19,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY CONFERENCE COMMITTEE (D),2016,20,ok,fail,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY POLICY COMMITTEE (D),2014,21,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY POLICY COMMITTEE (D),2015,22,ok,banner_missing,1,0,1,2700.0,0.0,0,0
CHAIRMAN MINORITY POLICY COMMITTEE (D),2016,23,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2014,24,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2015,25,ok,fail,1,0,1,4000.0,0.0,0,0
MINORITY LEADER (D),2016,26,ok,fail,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (D),2014,27,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY WHIP (D),2015,28,ok,fail,0,0,0,0.0,0.0,0,0
MINORITY WHIP (D),2016,29,ok,fail,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2014,30,ok,banner_missing,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2015,31,ok,banner_missing,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2016,32,ok,banner_missing,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2014,33,ok,banner_missing,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2015,34,ok,banner_missing,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (R),2015,35,ok,fail,1,0,1,1537.76,0.0,0,0
PRESIDENT PRO TEMPORE (R),2016,36,ok,fail,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2014,37,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2015,38,ok,fail,1,0,1,250.0,0.0,0,0
MAJORITY LEADER (R),2016,39,ok,fail,0,0,0,0.0,0.0,0,0
MINORITY WHIP (R),2014,40,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (R),2015,41,ok,fail,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (R),2016,42,ok,fail,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY CONFERENCE COMMITTEE (R),2014,43,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY CONFERENCE COMMITTEE (R),2015,44,ok,banner_missing,0,0,0,0.0,0.0,0,0
"FERENCE AND POLICY COMMITTEES, SENATE",,45,ok,fail,4,0,4,213.39,0.0,0,0
CHAIRMAN MINORITY POLICY COMMITTEE (R),2014,46,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY POLICY COMMITTEE (R),2015,47,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY POLICY COMMITTEE (R),2016,48,ok,fail,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2014,49,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2015,50,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2016,51,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2014,52,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2015,53,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2016,54,ok,banner_missing,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,2014,55,ok,banner_missing,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,2015,56,ok,fail,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,2016,57,fail,fail,113,0,113,6700200.56,0.0,0,0
CHAPLAIN,2014,60,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAPLAIN,2015,61,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAPLAIN,2016,62,fail,fail,4,0,4,222491.5,0.0,0,0
CHAPLAIN,,63,ok,fail,0,0,0,0.0,0.0,0,0
CHAPLAIN,,64,ok,fail,0,0,0,0.0,0.0,0,0
MAJORITY CONFERENCE COMMITTEE (D),2014,65,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY CONFERENCE COMMITTEE (D),2015,66,ok,banner_missing,0,0,0,0.0,0.0,0,0
ORITY CONFERENCE COMMITTEE (D),,67,ok,ok,27,0,27,809444.04,0.0,0,0
MAJORITY POLICY COMMITTEE (D),2014,68,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY POLICY COMMITTEE (D),2015,69,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY POLICY COMMITTEE (D),2016,70,ok,ok,20,0,20,826712.72,0.0,0,0
MAJORITY LEADER (D),2014,71,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2015,72,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2016,73,ok,ok,33,0,33,1226572.97,0.0,0,0
"SECRETARY, MAJORITY CONFERENCE COMM (D)",2014,75,ok,banner_missing,0,0,0,0.0,0.0,0,0
"SECRETARY, MINORITY CONFERENCE COMM (D)",2015,76,ok,banner_missing,0,0,0,0.0,0.0,0,0
"SECRETARY, MINORITY CONFERENCE COMM (D)",2016,77,ok,ok,4,0,4,160729.34,0.0,0,0
MAJORITY WHIP (D),2014,78,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY WHIP (D),2015,79,ok,banner_missing,0,0,0,0.0,0.0,0,0
,2016,80,ok,ok,22,0,22,808889.09,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2014,81,ok,banner_missing,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2015,82,ok,banner_missing,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2016,83,ok,ok,36,0,36,1126331.71,0.0,0,0
PRESIDENT PRO TEMPORE (D),2014,85,ok,banner_missing,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2015,86,ok,banner_missing,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (R),2015,87,ok,banner_missing,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (R),2016,88,ok,ok,5,0,5,63729.37,0.0,0,0
MINORITY LEADER (R),2014,89,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2015,90,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2016,91,ok,ok,23,0,23,896509.08,0.0,0,0
"SECRETARY, MINORITY CONFERENCE COMM (R)",2014,92,ok,banner_missing,0,0,0,0.0,0.0,0,0
"SECRETARY, MAJORITY CONFERENCE COMM (R)",2015,93,ok,banner_missing,0,0,0,0.0,0.0,0,0
"SECRETARY, MAJORITY CONFERENCE COMM (R)",2016,94,ok,ok,7,0,7,175015.04,0.0,0,0
MINORITY WHIP (R),2014,95,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (R),2015,96,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (R),2016,97,ok,ok,8,0,8,407979.24,0.0,0,0
MINORITY CONFERENCE COMMITTEE (R),2014,98,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY CONFERENCE COMMITTEE (R),2015,99,ok,banner_missing,0,0,0,0.0,0.0,0,0
,2016,100,ok,ok,20,0,20,705347.36,0.0,0,0
MINORITY POLICY COMMITTEE (R),2014,101,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY POLICY COMMITTEE (R),2015,102,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY POLICY COMMITTEE (R),2016,103,ok,ok,20,0,20,822803.14,0.0,0,0
SECRETARY FOR THE MAJORITY (D),2014,104,ok,banner_missing,0,0,0,0.0,0.0,0,0
SECRETARY FOR THE MINORITY (D),2015,105,ok,banner_missing,0,0,0,0.0,0.0,0,0
SECRETARY FOR THE MINORITY (D),2016,106,ok,ok,10,0,10,416259.24,0.0,0,0
SECRETARY FOR THE MINORITY (R),2014,107,ok,banner_missing,0,0,0,0.0,0.0,0,0
SECRETARY FOR THE MAJORITY (R),2015,108,ok,banner_missing,0,0,0,0.0,0.0,0,0
SECRETARY FOR THE MAJORITY (R),2016,109,ok,ok,10,0,10,406976.42,0.0,0,0
SGT @ ARMS - CENTRAL OPERATIONS,2014,110,ok,banner_missing,0,0,0,0.0,0.0,0,0
SGT @ ARMS - CAPITOL DIVISION,2014,111,ok,banner_missing,0,0,0,0.0,0.0,0,0
SGT @ ARMS - IT SUPPORT SERVICES,2014,112,ok,banner_missing,0,0,0,0.0,0.0,0,0
SGT @ ARMS - STAFF OFFICES,2014,113,ok,banner_missing,0,0,0,0.0,0.0,0,0
SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES,2014,114,ok,banner_missing,0,0,0,0.0,0.0,0,0
SGT @ ARMS - CENTRAL OPERATIONS,2015,115,ok,fail,0,0,0,0.0,0.0,0,0
SGT @ ARMS - CAPITOL DIVISION,2015,116,ok,fail,0,0,0,0.0,0.0,0,0
SGT @ ARMS - IT SUPPORT SERVICES,2015,117,ok,fail,0,0,0,0.0,0.0,0,0
SGT @ ARMS - STAFF OFFICES,2015,118,ok,banner_missing,0,0,0,0.0,0.0,0,0
SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES,2015,119,ok,fail,0,0,0,0.0,0.0,0,0
SGT @ ARMS - CENTRAL OPERATIONS,2016,120,fail,fail,314,0,314,9749255.06,0.0,0,0
SGT @ ARMS - CAPITOL DIVISION,2016,126,fail,fail,237,237,237,7852857.42,0.0,0,0
SGT @ ARMS - IT SUPPORT SERVICES,2016,131,fail,fail,92,0,92,3685908.0,0.0,0,0
SGT @ ARMS - STAFF OFFICES,2016,133,ok,ok,101,0,101,4982400.46,0.0,0,0
SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES,2016,136,fail,fail,139,0,139,7819857.95,0.0,0,0
SECRETARY OF THE SENATE - ADMINISTRATIVE SERV.,2014,139,ok,banner_missing,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE - EXECUTIVE OFFICE,2014,140,ok,banner_missing,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE - LEGISLATIVE SERVICES,2014,141,ok,banner_missing,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE - ADMINISTRATIVE SERV.,2015,142,ok,banner_missing,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE - EXECUTIVE OFFICE,2015,143,ok,banner_missing,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE - LEGISLATIVE SERVICES,2015,144,ok,banner_missing,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE - ADMINISTRATIVE SERV.,2016,145,ok,ok,160,0,160,6423876.16,0.0,0,0
SECR ETARY OF THE SENATE - EXECUTIVE OFFICE,2016,149,ok,ok,31,0,31,1596510.2,0.0,0,0
SECRETARY OF THE SENATE - LEGISLATIVE SERVICES,2016,150,ok,ok,48,0,48,2654420.94,0.0,0,0
EMPLOYEES COMPENSATION FUND (P.L. 113-76),2014,152,ok,banner_missing,0,0,0,0.0,0.0,0,0
EMPLOYEES COMPENSATION FUND (P.L. 113-76),2015,153,ok,ok,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,,154,ok,banner_missing,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,,155,ok,fail,10,0,10,26509.15,0.0,0,0
APPROPRIATIONS,,156,ok,fail,30,0,30,17775.53,0.0,0,0
APPROPRIATIONS,,158,ok,fail,2,0,2,16545.7,0.0,0,0
