severity,reason,source_doc,source_pdf,reference_page,office,funding_year,label,expected,detail,exception_key
warning,banner_check_discrepancy,112sdoc7,GPO-CDOC-112sdoc7.pdf,18,CHAIRMAN MAJORITY CONFERENCE COMMITTEE (D),2011,BANNER ORGANIZATION TOTALS,428.63,status=warn; banner=428.63; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_discrepancy|18|CHAIRMAN MAJORITY CONFERENCE COMMITTEE (D)|2011|BANNER ORGANIZATION TOTALS|428.63
warning,banner_check_discrepancy,112sdoc7,GPO-CDOC-112sdoc7.pdf,19,CHAIRMAN MAJORITY CONFERENCE COMMITTEE (D),2012,BANNER ORGANIZATION TOTALS,4555.5,status=warn; banner=4555.5; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_discrepancy|19|CHAIRMAN MAJORITY CONFERENCE COMMITTEE (D)|2012|BANNER ORGANIZATION TOTALS|4555.5
warning,banner_check_discrepancy,112sdoc7,GPO-CDOC-112sdoc7.pdf,21,CHAIRMAN MAJORITY POLICY COMMITTEE (D),2011,BANNER ORGANIZATION TOTALS,1489.14,status=warn; banner=1489.14; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_discrepancy|21|CHAIRMAN MAJORITY POLICY COMMITTEE (D)|2011|BANNER ORGANIZATION TOTALS|1489.14
warning,banner_check_discrepancy,112sdoc7,GPO-CDOC-112sdoc7.pdf,22,CHAIRMAN MAJORITY POLICY COMMITTEE (D),2012,BANNER ORGANIZATION TOTALS,1000.0,status=warn; banner=1000.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_discrepancy|22|CHAIRMAN MAJORITY POLICY COMMITTEE (D)|2012|BANNER ORGANIZATION TOTALS|1000.0
warning,banner_check_discrepancy,112sdoc7,GPO-CDOC-112sdoc7.pdf,24,MAJORITY LEADER (D),2011,BANNER ORGANIZATION TOTALS,429.68,status=warn; banner=429.68; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_discrepancy|24|MAJORITY LEADER (D)|2011|BANNER ORGANIZATION TOTALS|429.68
warning,banner_check_discrepancy,112sdoc7,GPO-CDOC-112sdoc7.pdf,25,MAJORITY LEADER (D),2012,BANNER ORGANIZATION TOTALS,27502.27,status=warn; banner=27502.27; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_discrepancy|25|MAJORITY LEADER (D)|2012|BANNER ORGANIZATION TOTALS|27502.27
warning,banner_check_discrepancy,112sdoc7,GPO-CDOC-112sdoc7.pdf,27,MAJORITY WHIP (D),2011,BANNER ORGANIZATION TOTALS,304.73,status=warn; banner=304.73; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_discrepancy|27|MAJORITY WHIP (D)|2011|BANNER ORGANIZATION TOTALS|304.73
warning,banner_check_discrepancy,112sdoc7,GPO-CDOC-112sdoc7.pdf,28,MAJORITY WHIP (D),2012,BANNER ORGANIZATION TOTALS,2300.19,status=warn; banner=2300.19; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_discrepancy|28|MAJORITY WHIP (D)|2012|BANNER ORGANIZATION TOTALS|2300.19
warning,banner_check_discrepancy,112sdoc7,GPO-CDOC-112sdoc7.pdf,30,OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2011,BANNER ORGANIZATION TOTALS,121.9,status=warn; banner=121.9; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_discrepancy|30|OFFICE OF THE VICE PRESIDENT (D) - BIDEN|2011|BANNER ORGANIZATION TOTALS|121.9
warning,banner_check_discrepancy,112sdoc7,GPO-CDOC-112sdoc7.pdf,31,OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2012,BANNER ORGANIZATION TOTALS,390.2,status=warn; banner=390.2; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_discrepancy|31|OFFICE OF THE VICE PRESIDENT (D) - BIDEN|2012|BANNER ORGANIZATION TOTALS|390.2
warning,banner_check_discrepancy,112sdoc7,GPO-CDOC-112sdoc7.pdf,33,PRESIDENT PRO TEMPORE (D),2011,BANNER ORGANIZATION TOTALS,1400.25,status=warn; banner=1400.25; parsed_body=120.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_discrepancy|33|PRESIDENT PRO TEMPORE (D)|2011|BANNER ORGANIZATION TOTALS|1400.25
warning,banner_check_discrepancy,112sdoc7,GPO-CDOC-112sdoc7.pdf,34,PRESIDENT PRO TEMPORE (D),2012,BANNER ORGANIZATION TOTALS,4621.21,status=warn; banner=4621.21; parsed_body=530.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_discrepancy|34|PRESIDENT PRO TEMPORE (D)|2012|BANNER ORGANIZATION TOTALS|4621.21
warning,banner_check_discrepancy,112sdoc7,GPO-CDOC-112sdoc7.pdf,37,MINORITY LEADER (R),2012,BANNER ORGANIZATION TOTALS,8078.55,status=warn; banner=8078.55; parsed_body=825.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_discrepancy|37|MINORITY LEADER (R)|2012|BANNER ORGANIZATION TOTALS|8078.55
warning,banner_check_discrepancy,112sdoc7,GPO-CDOC-112sdoc7.pdf,40,MINORITY WHIP (R),2012,BANNER ORGANIZATION TOTALS,4000.0,status=warn; banner=4000.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_discrepancy|40|MINORITY WHIP (R)|2012|BANNER ORGANIZATION TOTALS|4000.0
warning,banner_check_discrepancy,112sdoc7,GPO-CDOC-112sdoc7.pdf,43,CHAIRMAN MINORITY CONFERENCE COMMITTEE (R),2012,BANNER ORGANIZATION TOTALS,4600.0,status=warn; banner=4600.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_discrepancy|43|CHAIRMAN MINORITY CONFERENCE COMMITTEE (R)|2012|BANNER ORGANIZATION TOTALS|4600.0
warning,banner_check_discrepancy,112sdoc7,GPO-CDOC-112sdoc7.pdf,46,CHAIRMAN MINORITY POLICY COMMITTEE (R),2012,BANNER ORGANIZATION TOTALS,3066.79,status=warn; banner=3066.79; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_discrepancy|46|CHAIRMAN MINORITY POLICY COMMITTEE (R)|2012|BANNER ORGANIZATION TOTALS|3066.79
warning,banner_check_missing,112sdoc7,GPO-CDOC-112sdoc7.pdf,53,APPROPRIATIONS,2010,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_missing|53|APPROPRIATIONS|2010|BANNER NET PAYROLL|0.0
warning,banner_check_missing,112sdoc7,GPO-CDOC-112sdoc7.pdf,54,APPROPRIATIONS,2011,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_missing|54|APPROPRIATIONS|2011|BANNER NET PAYROLL|0.0
error,unexpected_zero_records,112sdoc7,GPO-CDOC-112sdoc7.pdf,57,APPROPRIATIONS,2012,NET PAYROLL EXPENSES,6114786.83,A normally itemized subtotal has no parsed records; exact review is required.,112sdoc7|unexpected_zero_records|57|APPROPRIATIONS|2012|NET PAYROLL EXPENSES|6114786.83
warning,banner_check_missing,112sdoc7,GPO-CDOC-112sdoc7.pdf,58,CHAPLAIN,2010,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_missing|58|CHAPLAIN|2010|BANNER NET PAYROLL|0.0
warning,banner_check_missing,112sdoc7,GPO-CDOC-112sdoc7.pdf,59,CHAPLAIN,2011,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_missing|59|CHAPLAIN|2011|BANNER NET PAYROLL|0.0
error,unexpected_zero_records,112sdoc7,GPO-CDOC-112sdoc7.pdf,60,CHAPLAIN,2012,NET PAYROLL EXPENSES,204349.8,A normally itemized subtotal has no parsed records; exact review is required.,112sdoc7|unexpected_zero_records|60|CHAPLAIN|2012|NET PAYROLL EXPENSES|204349.8
warning,banner_check_missing,112sdoc7,GPO-CDOC-112sdoc7.pdf,61,MAJORITY CONFERENCE COMMITTEE (D),2010,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_missing|61|MAJORITY CONFERENCE COMMITTEE (D)|2010|BANNER NET PAYROLL|0.0
error,unexpected_zero_records,112sdoc7,GPO-CDOC-112sdoc7.pdf,62,MAJORITY CONFERENCE COMMITTEE (D),2011,NET PAYROLL EXPENSES,1785.61,A normally itemized subtotal has no parsed records; exact review is required.,112sdoc7|unexpected_zero_records|62|MAJORITY CONFERENCE COMMITTEE (D)|2011|NET PAYROLL EXPENSES|1785.61
warning,banner_check_discrepancy,112sdoc7,GPO-CDOC-112sdoc7.pdf,62,MAJORITY CONFERENCE COMMITTEE (D),2011,BANNER ORGANIZATION TOTALS,1785.61,status=warn; banner=1785.61; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_discrepancy|62|MAJORITY CONFERENCE COMMITTEE (D)|2011|BANNER ORGANIZATION TOTALS|1785.61
error,unexpected_zero_records,112sdoc7,GPO-CDOC-112sdoc7.pdf,64,MAJORITY CONFERENCE COMMITTEE (D),2012,NET PAYROLL EXPENSES,784022.28,A normally itemized subtotal has no parsed records; exact review is required.,112sdoc7|unexpected_zero_records|64|MAJORITY CONFERENCE COMMITTEE (D)|2012|NET PAYROLL EXPENSES|784022.28
warning,banner_check_discrepancy,112sdoc7,GPO-CDOC-112sdoc7.pdf,63,MAJORITY CONFERENCE COMMITTEE (D),2012,BANNER ORGANIZATION TOTALS,784022.28,status=fail; banner=784022.28; parsed_body=785807.89. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc7|banner_check_discrepancy|63|MAJORITY CONFERENCE COMMITTEE (D)|2012|BANNER ORGANIZATION TOTALS|784022.28
