office,funding_year,start_page,status,banner_status,record_count,rows_quarantined,records_checked,dollars_checked,dollars_unchecked,amount_parse_failures,pages_skipped
CHAIRMAN MAJORITY CONFERENCE COMMITTEE (D),2013,17,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY CONFERENCE COMMITTEE (D),2014,18,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY CONFERENCE COMMITTEE (D),2015,19,ok,fail,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY POLICY COMMITTEE (D),2013,20,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY POLICY COMMITTEE (D),2014,21,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY POLICY COMMITTEE (D),2015,22,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2013,23,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2014,24,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2015,25,ok,fail,1,0,1,275.0,0.0,0,0
MAJORITY WHIP (D),2013,26,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (D),2014,27,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY WHIP (D),2015,28,ok,fail,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2013,29,ok,banner_missing,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2014,30,ok,banner_missing,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2015,31,ok,banner_missing,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2013,32,ok,banner_missing,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2014,33,ok,banner_missing,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2015,34,ok,banner_missing,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (R),2015,35,ok,fail,2,0,2,2768.39,0.0,0,0
MINORITY LEADER (R),2013,36,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2014,37,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2015,38,ok,fail,0,0,0,0.0,0.0,0,0
MINORITY WHIP (R),2013,39,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY WHIP (R),2014,40,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (R),2015,41,ok,fail,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY CONFERENCE COMMITTEE (R),2013,42,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY CONFERENCE COMMITTEE (R),2014,43,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY CONFERENCE COMMITTEE (R),2015,44,ok,fail,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY POLICY COMMITTEE (R),2013,45,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY POLICY COMMITTEE (R),2014,46,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY POLICY COMMITTEE (R),2015,47,ok,fail,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2013,48,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2014,49,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2015,50,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2013,51,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2014,52,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2015,53,ok,banner_missing,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,2013,54,ok,banner_missing,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,2014,55,ok,banner_missing,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,2015,56,ok,ok,113,0,113,6587733.62,0.0,0,0
CHAPLAIN,2013,59,ok,fail,0,0,0,0.0,0.0,0,0
CHAPLAIN,2014,60,ok,fail,0,0,0,0.0,0.0,0,0
CHAPLAIN,2015,61,fail,fail,4,0,4,216349.8,0.0,0,0
MAJORITY CONFERENCE COMMITTEE (D),2013,62,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY CONFERENCE COMMITTEE (D),2014,63,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY CONFERENCE COMMITTEE (D),2015,64,ok,ok,34,0,34,869540.59,0.0,0,0
MAJORITY POLICY COMMITTEE (D),2013,66,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY POLICY COMMITTEE (D),2014,67,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY POLICY COMMITTEE (D),2015,68,ok,ok,23,0,23,790278.17,0.0,0,0
MAJORITY LEADER (D),2013,69,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2014,70,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2015,71,fail,fail,34,0,34,1328515.73,0.0,0,0
"SECRETARY, MAJORITY CONFERENCE COMM (D)",2013,73,ok,banner_missing,0,0,0,0.0,0.0,0,0
"SECRETARY, MAJORITY CONFERENCE COMM (D)",2014,74,ok,banner_missing,0,0,0,0.0,0.0,0,0
"SECRETARY, MINORITY CONFERENCE COMM (D)",2015,75,ok,ok,4,0,4,160729.32,0.0,0,0
MAJORITY WHIP (D),2013,76,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (D),2014,77,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY WHIP (D),2015,78,ok,ok,29,0,29,870897.11,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2013,79,ok,banner_missing,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2014,80,ok,banner_missing,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2015,81,ok,ok,36,0,36,1113151.1,0.0,0,0
PRESIDENT PRO TEMPORE (D),2013,83,ok,banner_missing,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2014,84,ok,banner_missing,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2015,85,ok,banner_missing,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (R),2015,86,ok,ok,38,0,38,388615.59,0.0,0,0
MINORITY LEADER (R),2013,88,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2014,89,ok,banner_missing,0,0,0,0.0,0.0,0,0
,2015,90,ok,ok,22,0,22,968774.22,0.0,0,0
"SECRETARY, MINORITY CONFERENCE COMM (R)",2013,91,ok,banner_missing,0,0,0,0.0,0.0,0,0
"SECRETARY, MINORITY CONFERENCE COMM (R)",2014,92,ok,banner_missing,0,0,0,0.0,0.0,0,0
"SECRETARY, MAJORITY CONFERENCE COMM (R)",2015,93,ok,ok,8,0,8,175040.6,0.0,0,0
MINORITY WHIP (R),2013,94,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY WHIP (R),2014,95,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (R),2015,96,ok,ok,9,0,9,387399.53,0.0,0,0
MINORITY CONFERENCE COMMITTEE (R),2013,97,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY CONFERENCE COMMITTEE (R),2014,98,ok,banner_missing,0,0,0,0.0,0.0,0,0
,2015,99,ok,ok,20,0,20,696631.77,0.0,0,0
MINORITY POLICY COMMITTEE (R),2013,100,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY POLICY COMMITTEE (R),2014,101,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY POLICY COMMITTEE (R),2015,102,ok,ok,23,0,23,848182.05,0.0,0,0
SECRETARY FOR THE MAJORITY (D),2013,103,ok,banner_missing,0,0,0,0.0,0.0,0,0
SECRETARY FOR THE MAJORITY (D),2014,104,ok,banner_missing,0,0,0,0.0,0.0,0,0
SECRETARY FOR THE MINORITY (D),2015,105,ok,ok,12,0,12,447002.43,0.0,0,0
SECRETARY FOR THE MINORITY (R),2013,106,ok,banner_missing,0,0,0,0.0,0.0,0,0
SECRETARY FOR THE MINORITY (R),2014,107,ok,banner_missing,0,0,0,0.0,0.0,0,0
SECRETARY FOR THE MAJORITY (R),2015,108,ok,ok,13,0,13,431213.83,0.0,0,0
SGT @ ARMS - CENTRAL OPERATIONS,2013,109,ok,banner_missing,0,0,0,0.0,0.0,0,0
SGT @ ARMS - CAPITOL DIVISION,2013,110,ok,banner_missing,0,0,0,0.0,0.0,0,0
SGT @ ARMS - IT SUPPORT SERVICES,2013,111,ok,banner_missing,0,0,0,0.0,0.0,0,0
SGT @ ARMS - STAFF OFFICES,2013,112,ok,banner_missing,0,0,0,0.0,0.0,0,0
SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES,2013,113,ok,banner_missing,0,0,0,0.0,0.0,0,0
SGT @ ARMS - CENTRAL OPERATIONS,2014,114,ok,banner_missing,0,0,0,0.0,0.0,0,0
SGT @ ARMS - CAPITOL DIVISION,2014,115,ok,banner_missing,0,0,0,0.0,0.0,0,0
SGT @ ARMS - IT SUPPORT SERVICES,2014,116,ok,banner_missing,0,0,0,0.0,0.0,0,0
SGT @ ARMS - STAFF OFFICES,2014,117,ok,banner_missing,0,0,0,0.0,0.0,0,0
SGT @ ARMS - CENTRAL OPERATIONS,2015,118,ok,ok,332,0,332,9787623.77,0.0,0,0
SGT @ ARMS - CAPITOL DIVISION,2015,124,fail,fail,341,341,341,7743427.43,0.0,0,0
SGT @ ARMS - IT SUPPORT SERVICES,2015,131,ok,ok,94,0,94,3621761.78,0.0,0,0
SGT @ ARMS - STAFF OFFICES,2015,134,ok,ok,121,0,121,4870381.92,0.0,0,0
SECRETARY OF THE SENATE - ADMINISTRATIVE SERV.,2013,137,ok,banner_missing,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE - EXECUTIVE OFFICE,2013,138,ok,banner_missing,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE - LEGISLATIVE SERVICES,2013,139,ok,banner_missing,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE - ADMINISTRATIVE SERV.,2014,140,ok,banner_missing,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE - EXECUTIVE OFFICE,2014,141,ok,banner_missing,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE - LEGISLATIVE SERVICES,2014,142,ok,banner_missing,0,0,0,0.0,0.0,0,0
"WORKERS COMPENSATION FUND (P.L. 113-76, DIV. I, SEC. 1. CA)",2014,143,ok,banner_missing,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE - ADMINISTRATIVE SERV.,2015,144,ok,ok,160,0,160,6218785.55,0.0,0,0
SECRETARY OF THE SENATE - EXECUTIVE OFFICE,2015,148,ok,ok,50,0,50,1640987.68,0.0,0,0
SECRETARY OF THE SENATE - LEGISLATIVE SERVICES,2015,150,ok,ok,46,0,46,2483761.41,0.0,0,0
SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES,2014,152,ok,banner_missing,0,0,0,0.0,0.0,0,0
SGT @ ARMS - TECHNOLOGY DEVELOPMENT SERVICES,2015,153,fail,fail,140,0,140,7541955.07,0.0,0,0
APPROPRIATIONS,,156,ok,banner_missing,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,,157,ok,fail,93,0,93,60043.07,0.0,0,0
APPROPRIATIONS,,160,ok,banner_missing,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,,161,ok,fail,9,0,9,533.3,0.0,0,0
CHAPLAIN,,162,ok,banner_missing,0,0,0,0.0,0.0,0,0
CHAPLAIN,,163,ok,fail,0,0,0,0.0,0.0,0,0
CHAPLAIN,,164,ok,fail,9,0,9,2197.6,0.0,0,0
CHAPLAIN,,165,ok,fail,9,0,9,1182.03,0.0,0,0
MAJORITY CONFERENCE COMMITTEE (D),,166,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY CONFERENCE COMMITTEE (D),2013,167,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY CONFERENCE COMMITTEE (D),,168,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY CONFERENCE COMMITTEE (D),2014,169,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY CONFERENCE COMMITTEE (D),,170,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY CONFERENCE COMMITTEE (D),,171,ok,fail,28,0,28,13112.89,0.0,0,0
MAJORITY POLICY COMMITTEE (D),,173,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY POLICY COMMITTEE (D),2013,174,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY POLICY COMMITTEE (D),,175,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY POLICY COMMITTEE (D),2014,176,ok,banner_missing,1,0,1,20300.76,0.0,0,0
MAJORITY POLICY COMMITTEE (D),,177,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY POLICY COMMITTEE (D),2015,178,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY POLICY COMMITTEE (D),,179,ok,fail,33,0,33,13195.47,0.0,0,0
MAJORITY LEADER (D),2013,181,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2014,182,ok,banner_missing,2,0,2,9575.24,0.0,0,0
MINORITY LEADER (D),2015,183,ok,banner_missing,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (D),2014,184,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2013,185,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2014,186,ok,banner_missing,0,0,0,0.0,0.0,0,0
,2015,187,ok,fail,8,0,8,1738.5,0.0,0,0
"SECRETARY, MINORITY CONFERENCE COMM (R)",2013,188,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY WHIP (R),2013,189,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY WHIP (R),2014,190,ok,fail,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (R),2015,191,ok,fail,5,0,5,1172.47,0.0,0,0
MINORITY CONFERENCE COMMITTEE (R),,192,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY CONFERENCE COMMITTEE (R),,193,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY CONFERENCE COMMITTEE (R),,194,ok,fail,5,0,5,1244.1,0.0,0,0
MAJORITY CONFERENCE COMMITTEE (R),,195,ok,fail,26,0,26,14747.95,0.0,0,0
MINORITY POLICY COMMITTEE (R),,197,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY POLICY COMMITTEE (R),,198,ok,banner_missing,0,0,0,0.0,0.0,0,0
MINORITY POLICY COMMITTEE (R),,199,ok,fail,0,0,0,0.0,0.0,0,0
ORITY POLICY COMMITTEE (R),,200,ok,fail,11,0,11,1941.2,0.0,0,0
SECRETARY FOR THE MAJORITY (R),2015,201,ok,fail,0,0,0,0.0,0.0,0,0
SENATE CHILD CARE CENTER,,202,ok,banner_missing,0,0,0,0.0,0.0,0,0
SENATE CHILD CARE CENTER,,203,ok,ok,33,0,33,11778.89,0.0,0,0
SENATE CHILD CARE CENTER,,205,ok,ok,4,0,4,1940.72,0.0,0,0
SENATE CHILD CARE CENTER,,206,ok,ok,0,0,0,0.0,0.0,0,0
CONSULTANTS,,207,ok,banner_missing,0,0,0,0.0,0.0,0,0
CONSULTANTS,,208,ok,banner_missing,0,0,0,0.0,0.0,0,0
CONSULTANTS,,209,ok,ok,0,0,0,0.0,0.0,0,0
,,210,ok,ok,25,0,25,1834581.12,0.0,0,0
EMPLOYEE COMPENSATION FUND,,211,ok,banner_missing,0,0,0,0.0,0.0,0,0
EMPLOYEE COMPENSATION FUND,,212,ok,banner_missing,0,0,0,0.0,0.0,0,0
EMPLOYEE COMPENSATION FUND,,213,ok,banner_missing,0,0,0,0.0,0.0,0,0
EMPLOYEE COMPENSATION FUND,,214,ok,banner_missing,0,0,0,0.0,0.0,0,0
FEDERAL EMPLOYEES COMPENSATION ACCOUNT,,215,ok,banner_missing,0,0,0,0.0,0.0,0,0
FEDERAL EMPLOYEES COMPENSATION ACCOUNT,,216,ok,ok,0,0,0,0.0,0.0,0,0
FEDERAL EMPLOYEES COMPENSATION ACCOUNT,,217,ok,banner_missing,0,0,0,0.0,0.0,0,0
FEDERAL EMPLOYEES COMPENSATION ACCOUNT,,218,ok,banner_missing,0,0,0,0.0,0.0,0,0
FOREIGN TRAVEL - MEMBERS & EMPLOYEES,,219,ok,banner_missing,0,0,0,0.0,0.0,0,0
FOREIGN TRAVEL - MEMBERS & EMPLOYEES,,220,ok,banner_missing,1,0,1,118.0,0.0,0,0
FOREIGN TRAVEL - MEMBERS & EMPLOYEES,,221,ok,banner_missing,1,0,1,335.0,0.0,0,0
FOREIGN TRAVEL - MEMBERS & EMPLOYEES,,222,ok,banner_missing,1,0,1,614.0,0.0,0,0
POSTAGE,,223,ok,banner_missing,0,0,0,0.0,0.0,0,0
POSTAGE,,224,ok,banner_missing,0,0,0,0.0,0.0,0,0
POSTAGE,,225,ok,banner_missing,0,0,0,0.0,0.0,0,0
POSTAGE,,226,ok,banner_missing,0,0,0,0.0,0.0,0,0
MOBILE COMMUNICATIONS DEVICES,,227,ok,banner_missing,0,0,0,0.0,0.0,0,0
MOBILE COMMUNICATIONS DEVICES,,228,ok,banner_missing,0,0,0,0.0,0.0,0,0
MOBILE COMMUNICATIONS DEVICES,,229,ok,banner_missing,0,0,0,0.0,0.0,0,0
MOBILE COMMUNICATIONS DEVICES,,230,ok,fail,1,0,1,450.48,0.0,0,0
RESERVE FOR CONTINGENCIES,,231,ok,banner_missing,0,0,0,0.0,0.0,0,0
RESERVE FOR CONTINGENCIES,,232,ok,ok,0,0,0,0.0,0.0,0,0
RESERVE FOR CONTINGENCIES,,233,ok,banner_missing,1,0,1,439138.57,0.0,0,0
RESERVE FOR CONTINGENCIES,,234,ok,fail,10,0,10,356152.98,0.0,0,0
RECEPTION OF FOREIGN DIGNITARIES,,235,ok,banner_missing,0,0,0,0.0,0.0,0,0
RECEPTION OF FOREIGN DIGNITARIES,,236,ok,banner_missing,12,0,12,4014.0,0.0,0,0
RECEPTION OF FOREIGN DIGNITARIES,,237,ok,banner_missing,0,0,0,0.0,0.0,0,0
RECEPTION OF FOREIGN DIGNITARIES,,238,ok,banner_missing,0,0,0,0.0,0.0,0,0
RESOLUTION & REORGANIZATION RESERVE,,239,ok,banner_missing,0,0,0,0.0,0.0,0,0
RESOLUTION & REORGANIZATION RESERVE,,240,ok,banner_missing,0,0,0,0.0,0.0,0,0
RESOLUTION & REORGANIZATION RESERVE,,241,fail,fail,0,0,0,0.0,0.0,0,0
RESOLUTION & REORGANIZATION RESERVE,,242,fail,fail,55,52,55,356901.53,0.0,0,0
JOINT SELECT COMMITTEE ON DEFICIT REDUCTION,,244,ok,banner_missing,0,0,0,0.0,0.0,0,0
NATL SECURITY WORKING GRP-MAJ ADMIN CO-CHAIR (KERRY),,245,ok,banner_missing,0,0,0,0.0,0.0,0,0
NATL SECURITY WORKING GRP-MAJ ADMIN CO-CHAIR (FEINSTEIN),,246,ok,banner_missing,0,0,0,0.0,0.0,0,0
NATL SECURITY WORKING GRP-MAJ ADMIN CO-CHAIR (FEINSTEIN),,247,ok,banner_missing,0,0,0,0.0,0.0,0,0
NATL SECURITY WORKING GRP-MIN ADMIN CO-CHAIR (FEINSTEIN),,248,ok,banner_missing,0,0,0,0.0,0.0,0,0
NATL SECURITY WORKING GRP-MAJ CO-CHAIR (LEVIN),,249,ok,banner_missing,0,0,0,0.0,0.0,0,0
NATL SECURITY WORKING GRP-MAJ CO-CHAIR (LEVIN),,250,ok,banner_missing,0,0,0,0.0,0.0,0,0
