severity,reason,source_doc,source_pdf,reference_page,office,funding_year,label,expected,detail,exception_key
warning,banner_check_discrepancy,114sdoc7,GPO-CDOC-114sdoc7.pdf,19,CHAIRMAN MINORITY CONFERENCE COMMITTEE (D),2015,BANNER ORGANIZATION TOTALS,1624.32,status=fail; banner=1624.32; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc7|banner_check_discrepancy|19|CHAIRMAN MINORITY CONFERENCE COMMITTEE (D)|2015|BANNER ORGANIZATION TOTALS|1624.32
warning,banner_check_discrepancy,114sdoc7,GPO-CDOC-114sdoc7.pdf,25,MINORITY LEADER (D),2015,BANNER ORGANIZATION TOTALS,28644.91,status=fail; banner=28644.91; parsed_body=275.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc7|banner_check_discrepancy|25|MINORITY LEADER (D)|2015|BANNER ORGANIZATION TOTALS|28644.91
warning,banner_check_discrepancy,114sdoc7,GPO-CDOC-114sdoc7.pdf,28,MINORITY WHIP (D),2015,BANNER ORGANIZATION TOTALS,4173.41,status=fail; banner=4173.41; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc7|banner_check_discrepancy|28|MINORITY WHIP (D)|2015|BANNER ORGANIZATION TOTALS|4173.41
warning,banner_check_missing,114sdoc7,GPO-CDOC-114sdoc7.pdf,32,PRESIDENT PRO TEMPORE (D),2013,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc7|banner_check_missing|32|PRESIDENT PRO TEMPORE (D)|2013|BANNER NET PAYROLL|0.0
warning,banner_check_missing,114sdoc7,GPO-CDOC-114sdoc7.pdf,33,PRESIDENT PRO TEMPORE (D),2014,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc7|banner_check_missing|33|PRESIDENT PRO TEMPORE (D)|2014|BANNER NET PAYROLL|0.0
warning,banner_check_discrepancy,114sdoc7,GPO-CDOC-114sdoc7.pdf,35,PRESIDENT PRO TEMPORE (R),2015,BANNER ORGANIZATION TOTALS,5986.54,status=fail; banner=5986.54; parsed_body=2768.39. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc7|banner_check_discrepancy|35|PRESIDENT PRO TEMPORE (R)|2015|BANNER ORGANIZATION TOTALS|5986.54
warning,banner_check_discrepancy,114sdoc7,GPO-CDOC-114sdoc7.pdf,38,MAJORITY LEADER (R),2015,BANNER ORGANIZATION TOTALS,11835.75,status=fail; banner=11835.75; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc7|banner_check_discrepancy|38|MAJORITY LEADER (R)|2015|BANNER ORGANIZATION TOTALS|11835.75
warning,banner_check_discrepancy,114sdoc7,GPO-CDOC-114sdoc7.pdf,41,MAJORITY WHIP (R),2015,BANNER ORGANIZATION TOTALS,2604.1,status=fail; banner=2604.1; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc7|banner_check_discrepancy|41|MAJORITY WHIP (R)|2015|BANNER ORGANIZATION TOTALS|2604.1
warning,banner_check_discrepancy,114sdoc7,GPO-CDOC-114sdoc7.pdf,44,CHAIRMAN MAJORITY CONFERENCE COMMITTEE (R),2015,BANNER ORGANIZATION TOTALS,2302.98,status=fail; banner=2302.98; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc7|banner_check_discrepancy|44|CHAIRMAN MAJORITY CONFERENCE COMMITTEE (R)|2015|BANNER ORGANIZATION TOTALS|2302.98
warning,banner_check_discrepancy,114sdoc7,GPO-CDOC-114sdoc7.pdf,47,CHAIRMAN MAJORITY POLICY COMMITTEE (R),2015,BANNER ORGANIZATION TOTALS,2011.56,status=fail; banner=2011.56; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc7|banner_check_discrepancy|47|CHAIRMAN MAJORITY POLICY COMMITTEE (R)|2015|BANNER ORGANIZATION TOTALS|2011.56
