office,funding_year,start_page,status,banner_status,record_count,page_count,continuation_page_count,subtotal_count,rows_quarantined,records_checked,dollars_checked,dollars_unchecked,amount_parse_failures,pages_skipped
OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2023,19,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2024,20,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2025,21,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2023,22,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2024,23,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2025,24,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
PRES PRO TEM EMERITUS (D),2025,25,ok,warn,2,1,0,1,0,2,69.89,0.0,0,0
MAJORITY LEADER (D),2023,26,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2024,27,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2025,28,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (D),2023,29,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (D),2024,30,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY WHIP (D),2025,31,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY CONFERENCE COMMITTEE (D),2023,32,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY CONFERENCE COMMITTEE (D),2024,33,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY CONFERENCE COMMITTEE (D),2025,34,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY POLICY COMMITTEE (D),2023,35,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY POLICY COMMITTEE (D),2024,36,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY POLICY COMMITTEE (D),2025,37,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (R) - VANCE,2025,38,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
PRES PRO TEM EMERITUS (R),2023,39,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
PRES PRO TEM EMERITUS (R),2024,40,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
PRES PRO TEM EMERITUS (R),2025,41,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (R),2025,42,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2023,43,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2024,44,ok,warn,2,1,0,1,0,2,174.92,0.0,0,0
MAJORITY LEADER (R),2025,45,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY WHIP (R),2023,46,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY WHIP (R),2024,47,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (R),2025,48,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY CONFERENCE COMMITTEE (R),2023,49,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY CONFERENCE COMMITTEE (R),2024,50,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY CONFERENCE COMMITTEE (R),2025,51,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY POLICY COMMITTEE (R),2023,52,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY POLICY COMMITTEE (R),2024,53,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY POLICY COMMITTEE (R),2025,54,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2023,55,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2024,56,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2025,57,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2023,58,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2024,59,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2025,60,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,2023,61,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,2024,62,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,2025,63,ok,ok,119,3,2,3,0,119,8296043.35,0.0,0,0
CHAPLAIN,2021,66,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
CHAPLAIN,2022,67,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
CHAPLAIN,2023,68,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
CHAPLAIN,2023,69,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
CHAPLAIN,2024,70,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
CHAPLAIN,2024,71,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
CHAPLAIN,2025,72,ok,fail,4,1,0,2,0,4,322358.21,0.0,0,0
CHAPLAIN,2025,73,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2023,74,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2024,75,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2025,76,ok,fail,42,2,1,2,0,42,1010679.02,0.0,0,0
PRESIDENT PRO TEMPORE (D),2023,78,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2024,79,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2025,80,fail,fail,9,1,0,2,0,9,129861.05,0.0,0,0
PRES PRO TEM EMERITUS (D),2025,81,ok,ok,4,1,0,2,0,4,84680.53,0.0,0,0
MAJORITY LEADER (D),2023,82,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2023,83,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2024,84,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2025,85,ok,ok,32,2,1,2,0,32,1371201.5,0.0,0,0
MAJORITY WHIP (D),2023,87,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (D),2024,88,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY WHIP (D),2025,89,ok,ok,26,2,1,3,0,26,879601.47,0.0,0,0
MAJORITY CONFERENCE COMMITTEE (D),2023,91,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY CONFERENCE COMMITTEE (D),2024,92,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY CONFERENCE COMMITTEE (D),2025,93,ok,ok,26,2,1,2,0,26,773798.57,0.0,0,0
MAJORITY POLICY COMMITTEE (D),2023,95,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY POLICY COMMITTEE (D),2024,96,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY POLICY COMMITTEE (D),2025,97,ok,fail,33,2,1,2,0,33,836548.29,0.0,0,0
"SECRETARY, MAJORITY CONFERENCE COMM (D)",2023,99,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
"SECRETARY, MAJORITY CONFERENCE COMM (D)",2024,100,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
"SECRETARY, MINORITY CONFERENCE COMM (D)",2025,101,ok,ok,11,1,0,2,0,11,175624.53,0.0,0,0
OFFICE OF THE VICE PRESIDENT (R) - VANCE,2025,102,ok,ok,23,1,0,2,0,23,319337.44,0.0,0,0
PRES PRO TEM EMERITUS (R),2023,103,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
PRES PRO TEM EMERITUS (R),2024,104,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
PRES PRO TEM EMERITUS (R),2025,105,ok,ok,2,1,0,2,0,2,113436.63,0.0,0,0
PRESIDENT PRO TEMPORE (R),2025,106,ok,ok,11,1,0,2,0,11,99280.19,0.0,0,0
MINORITY LEADER (R),2023,107,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2023,108,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2024,109,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2025,110,ok,ok,38,2,1,2,0,38,1182200.99,0.0,0,0
MINORITY WHIP (R),2023,112,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY WHIP (R),2024,113,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (R),2025,114,ok,ok,29,2,1,2,0,29,874411.86,0.0,0,0
MINORITY CONFERENCE COMMITTEE (R),2023,116,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY CONFERENCE COMMITTEE (R),2024,117,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY CONFERENCE COMMITTEE (R),2025,118,ok,ok,25,1,0,2,0,25,873715.34,0.0,0,0
MINORITY POLICY COMMITTEE (R),2023,119,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY POLICY COMMITTEE (R),2024,120,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY POLICY COMMITTEE (R),2025,121,ok,ok,19,1,0,2,0,19,931976.04,0.0,0,0
"SECRETARY, MINORITY CONFERENCE COMM (R)",2023,122,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
"SECRETARY, MINORITY CONFERENCE COMM (R)",2024,123,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
"SECRETARY, MAJORITY CONFERENCE COMM (R)",2025,124,ok,ok,3,1,0,2,0,3,60681.55,0.0,0,0
SECRETARY FOR THE MAJORITY (D),2023,125,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SECRETARY FOR THE MAJORITY (D),2024,126,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SECRETARY FOR THE MINORITY (D),2025,127,ok,ok,9,1,0,2,0,9,520554.96,0.0,0,0
SECRETARY FOR THE MINORITY (R),2023,128,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SECRETARY FOR THE MINORITY (R),2024,129,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SECRETARY FOR THE MAJORITY (R),2025,130,ok,ok,9,1,0,2,0,9,559246.85,0.0,0,0
SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2023,131,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2024,132,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,133,ok,fail,1130,24,23,3,0,1130,57277421.47,0.0,0,0
SECRETARY OF THE SENATE,2023,157,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE,2023,158,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE,2024,159,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE,2024,160,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE,2025,161,ok,fail,247,6,5,3,0,247,15558654.94,0.0,0,0
SECRETARY OF THE SENATE,,167,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
PAYMENT TO NEXT OF KIN OF SENATOR,,168,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,2021,169,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,2022,170,ok,warn,3,1,0,1,0,3,8342.0,0.0,0,0
APPROPRIATIONS,2023,171,ok,warn,32,2,1,3,0,32,135615.6,0.0,0,0
APPROPRIATIONS,2024,173,ok,warn,4,1,0,2,0,4,1297.2,0.0,0,0
APPROPRIATIONS,2025,174,ok,warn,16,2,1,4,0,16,3902.84,0.0,0,0
CHAPLAIN,2021,176,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAPLAIN,2022,177,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAPLAIN,2023,178,ok,warn,3,1,0,1,0,3,20.69,0.0,0,0
CHAPLAIN,2024,179,ok,warn,1,1,0,1,0,1,16.0,0.0,0,0
CHAPLAIN,2025,180,ok,warn,1,1,0,1,0,1,35.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2023,181,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY CONFERENCE COMMITTEE (D),2021,182,ok,warn,1,1,0,3,0,1,160.61,0.0,0,0
MAJORITY CONFERENCE COMMITTEE (D),2022,183,ok,ok,0,1,0,2,0,0,0.0,0.0,0,0
MAJORITY CONFERENCE COMMITTEE (D),2023,184,ok,warn,1,1,0,1,0,1,163.99,0.0,0,0
MAJORITY CONFERENCE COMMITTEE (D),2024,185,ok,not_applicable,3,1,0,1,0,3,50603.83,0.0,0,0
MAJORITY CONFERENCE COMMITTEE (D),2024,186,ok,warn,4,1,0,3,0,4,802.58,0.0,0,0
MINORITY CONFERENCE COMMITTEE (D),2025,187,ok,warn,4,1,0,4,0,4,19320.6,0.0,0,0
MAJORITY POLICY COMMITTEE (D),2021,188,ok,warn,1,1,0,1,0,1,3117.98,0.0,0,0
MAJORITY POLICY COMMITTEE (D),2022,189,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY POLICY COMMITTEE (D),2023,190,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY POLICY COMMITTEE (D),2024,191,ok,warn,1,1,0,3,0,1,200.0,0.0,0,0
MINORITY POLICY COMMITTEE (D),2025,192,ok,warn,2,1,0,1,0,2,300.0,0.0,0,0
SECRETARY FOR THE MAJORITY (D),2024,193,ok,ok,0,1,0,2,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2023,194,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2024,195,ok,warn,15,2,1,3,0,15,1641.19,0.0,0,0
MAJORITY LEADER (R),2025,197,ok,warn,0,1,0,2,0,0,0.0,0.0,0,0
MINORITY WHIP (R),2023,198,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY WHIP (R),2024,199,ok,warn,7,1,0,1,0,7,2451.27,0.0,0,0
