office,funding_year,account,start_page,label,check_page,expected,actual,status,basis
MAJORITY LEADER (R),2026,"EXPENSE ALLOWANCES OF THE VICE PRESIDENT, PRESIDENT PRO TEMPORE, MAJORITY AND MINORITY LEADERS, MAJORITY AND MINORITY WHIPS, CHAIRMEN OF THE MAJORITY AND MINORITY CONFERENCE COMMITTEES AND CHAIRMEN OF THE MAJORITY AND MINORITY POLICY COMMITTEES",43,TRAVEL AND TRANSPORTATION OF PERSONS,43,15.07,15.07,ok,segment
CHAIRMAN MAJORITY CONFERENCE COMMITTEE (R),2026,"EXPENSE ALLOWANCES OF THE VICE PRESIDENT, PRESIDENT PRO TEMPORE, MAJORITY AND MINORITY LEADERS, MAJORITY AND MINORITY WHIPS, CHAIRMEN OF THE MAJORITY AND MINORITY CONFERENCE COMMITTEES AND CHAIRMEN OF THE MAJORITY AND MINORITY POLICY COMMITTEES",49,OTHER CONTRACTUAL SERVICES,49,258.85,258.85,ok,segment
APPROPRIATIONS,2026,"SALARIES, OFFICERS AND EMPLOYEES",61,PERSONNEL COMP. FULL-TIME PERMANENT,63,8730609.99,8730609.99,ok,segment
APPROPRIATIONS,2026,"SALARIES, OFFICERS AND EMPLOYEES",61,RE-EMPLOYED ANNUITANTS,63,26598.0,0.0,no_records,segment
APPROPRIATIONS,2026,"SALARIES, OFFICERS AND EMPLOYEES",61,NET PAYROLL EXPENSES,63,8757207.99,8730609.99,fail,block_running_total
CHAPLAIN,2026,"SALARIES, OFFICERS AND EMPLOYEES",67,PERSONNEL COMP. FULL-TIME PERMANENT,67,344049.88,344049.88,ok,segment
CHAPLAIN,2026,"SALARIES, OFFICERS AND EMPLOYEES",67,NET PAYROLL EXPENSES,67,344049.88,344049.88,ok,block_running_total
PRES PRO TEM EMERITUS (D),2026,"SALARIES, OFFICERS AND EMPLOYEES",73,PERSONNEL COMP. FULL-TIME PERMANENT,73,167206.87,167206.87,ok,segment
PRES PRO TEM EMERITUS (D),2026,"SALARIES, OFFICERS AND EMPLOYEES",73,NET PAYROLL EXPENSES,73,167206.87,167206.87,ok,block_running_total
MINORITY LEADER (D),2026,"SALARIES, OFFICERS AND EMPLOYEES",76,PERSONNEL COMP. FULL-TIME PERMANENT,77,1232449.73,1232449.73,ok,segment
MINORITY LEADER (D),2026,"SALARIES, OFFICERS AND EMPLOYEES",76,NET PAYROLL EXPENSES,77,1232449.73,1232449.73,ok,block_running_total
MINORITY WHIP (D),2026,"SALARIES, OFFICERS AND EMPLOYEES",80,PERSONNEL COMP. FULL-TIME PERMANENT,81,954092.97,954092.97,ok,segment
MINORITY WHIP (D),2026,"SALARIES, OFFICERS AND EMPLOYEES",80,RE-EMPLOYED ANNUITANTS,81,24204.0,0.0,no_records,segment
MINORITY WHIP (D),2026,"SALARIES, OFFICERS AND EMPLOYEES",80,NET PAYROLL EXPENSES,81,978296.97,954092.97,fail,block_running_total
MINORITY CONFERENCE COMMITTEE (D),2026,"SALARIES, OFFICERS AND EMPLOYEES",84,PERSONNEL COMP. FULL-TIME PERMANENT,84,781481.28,781481.28,ok,segment
MINORITY CONFERENCE COMMITTEE (D),2026,"SALARIES, OFFICERS AND EMPLOYEES",84,NET PAYROLL EXPENSES,84,781481.28,781481.28,ok,block_running_total
MINORITY POLICY COMMITTEE (D),2026,"SALARIES, OFFICERS AND EMPLOYEES",87,PERSONNEL COMP. FULL-TIME PERMANENT,87,792897.94,792897.94,ok,segment
MINORITY POLICY COMMITTEE (D),2026,"SALARIES, OFFICERS AND EMPLOYEES",87,NET PAYROLL EXPENSES,87,792897.94,792897.94,ok,block_running_total
"SECRETARY, MINORITY CONFERENCE COMM (D)",2026,"SALARIES, OFFICERS AND EMPLOYEES",90,PERSONNEL COMP. FULL-TIME PERMANENT,90,161280.05,161280.05,ok,segment
"SECRETARY, MINORITY CONFERENCE COMM (D)",2026,"SALARIES, OFFICERS AND EMPLOYEES",90,NET PAYROLL EXPENSES,90,161280.05,161280.05,ok,block_running_total
OFFICE OF THE VICE PRESIDENT (R) - VANCE,2026,"SALARIES, OFFICERS AND EMPLOYEES",92,PERSONNEL COMP. FULL-TIME PERMANENT,93,1415570.73,1415570.73,ok,segment
