senator_name,funding_year,start_page,record_count,outcome
JIM JUSTICE,2025,1494,186,no_matcher
TIM KAINE,2024,1504,1,no_matcher
TIM KAINE,2025,1506,431,no_matcher
MARK KELLY,2023,1524,1,no_matcher
MARK KELLY,2025,1528,509,no_matcher
JOHN N. KENNEDY,2025,1549,792,no_matcher
ANDY KIM,2025,1580,337,no_matcher
ANGUS KING,2025,1598,255,no_matcher
AMY KLOBUCHAR,2024,1611,1,no_matcher
AMY KLOBUCHAR,2025,1613,535,no_matcher
JAMES LANKFORD,2024,1636,4,no_matcher
JAMES LANKFORD,2025,1638,905,no_matcher
MIKE LEE,2024,1678,1,no_matcher
MIKE LEE,2025,1680,435,no_matcher
BEN RAY LUJAN,2024,1699,20,no_matcher
BEN RAY LUJAN,2025,1702,459,no_matcher
CYNTHIA LUMMIS,2024,1722,2,no_matcher
CYNTHIA LUMMIS,2025,1724,631,no_matcher
EDWARD MARKEY,2023,1752,2,no_matcher
EDWARD MARKEY,2024,1754,2,no_matcher
EDWARD MARKEY,2025,1756,217,no_matcher
ROGER MARSHALL,2024,1767,2,no_matcher
ROGER MARSHALL,2025,1769,753,no_matcher
"A. MITCHELL MCCONNELL, JR.",2024,1797,1,no_matcher
"A. MITCHELL MCCONNELL, JR.",2025,1799,684,no_matcher
DAVE MCCORMICK,2025,1827,1054,no_matcher
JEFF MERKLEY,2024,1871,1,no_matcher
JEFF MERKLEY,2025,1873,397,no_matcher
ASHLEY MOODY,2025,1890,635,no_matcher
JERRY MORAN,2024,1914,1,no_matcher
JERRY MORAN,2025,1916,802,no_matcher
BERNIE MORENO,2025,1945,258,no_matcher
MARKWAYNE MULLIN,2024,1962,3,no_matcher
MARKWAYNE MULLIN,2025,1964,307,no_matcher
LISA MURKOWSKI,2024,1979,6,no_matcher
LISA MURKOWSKI,2025,1981,493,no_matcher
CHRIS MURPHY,2024,2001,1,no_matcher
CHRIS MURPHY,2025,2003,671,no_matcher
PATTY MURRAY,2025,2034,501,no_matcher
JON OSSOFF,2023,2053,3,no_matcher
JON OSSOFF,2025,2057,677,no_matcher
ALEX PADILLA,2024,2083,2,no_matcher
ALEX PADILLA,2025,2085,558,no_matcher
RAND PAUL,2025,2109,746,no_matcher
GARY PETERS,2024,2139,2,no_matcher
GARY PETERS,2025,2141,535,no_matcher
JOHN F. REED,2025,2168,152,no_matcher
JOHN PETER RICKETTS,2024,2178,1,no_matcher
JOHN PETER RICKETTS,2025,2180,524,no_matcher
JAMES E. RISCH,2025,2203,445,no_matcher
JACKY ROSEN,2025,2229,316,no_matcher
MIKE ROUNDS,2023,2242,1,no_matcher
MIKE ROUNDS,2024,2244,4,no_matcher
MIKE ROUNDS,2025,2246,468,no_matcher
MARCO RUBIO,2025,2267,4,no_matcher
BERNARD SANDERS,2025,2273,220,no_matcher
BEN SASSE,2023,2283,1,no_matcher
BRIAN SCHATZ,2024,2287,5,no_matcher
BRIAN SCHATZ,2025,2289,174,no_matcher
ADAM SCHIFF,2025,2296,457,no_matcher
ERIC SCHMITT,2024,2315,1,no_matcher
ERIC SCHMITT,2025,2317,667,no_matcher
CHARLES E. SCHUMER,2024,2345,7,no_matcher
CHARLES E. SCHUMER,2025,2347,378,no_matcher
RICK SCOTT,2025,2366,402,no_matcher
TIM SCOTT,2025,2385,403,no_matcher
JEANNE SHAHEEN,2024,2406,3,no_matcher
JEANNE SHAHEEN,2025,2408,292,no_matcher
TIM SHEEHY,2025,2422,484,no_matcher
ELISSA SLOTKIN,2025,2447,658,no_matcher
TINA SMITH,2025,2477,333,no_matcher
DAN SULLIVAN,2024,2498,2,no_matcher
DAN SULLIVAN,2025,2500,229,no_matcher
JOHN R. THUNE,2024,2517,1,no_matcher
JOHN R. THUNE,2025,2519,179,no_matcher
THOM TILLIS,2024,2529,4,no_matcher
THOM TILLIS,2025,2531,516,no_matcher
TOMMY TUBERVILLE,2023,2554,3,no_matcher
TOMMY TUBERVILLE,2025,2558,421,no_matcher
CHRIS VAN HOLLEN,2025,2585,319,no_matcher
MARK WARNER,2023,2599,5,no_matcher
MARK WARNER,2024,2601,3,no_matcher
MARK WARNER,2025,2603,700,no_matcher
RAPHAEL WARNOCK,2024,2633,12,no_matcher
RAPHAEL WARNOCK,2025,2636,795,no_matcher
ELIZABETH WARREN,2025,2670,255,no_matcher
PETER WELCH,2025,2684,379,no_matcher
SHELDON WHITEHOUSE,2023,2699,1,no_matcher
SHELDON WHITEHOUSE,2024,2701,2,no_matcher
SHELDON WHITEHOUSE,2025,2703,337,no_matcher
ROGER WICKER,2024,2718,1,no_matcher
ROGER WICKER,2025,2720,255,no_matcher
RON WYDEN,2025,2736,396,no_matcher
TODD YOUNG,2024,2752,6,no_matcher
TODD YOUNG,2025,2754,335,no_matcher
