senator_name,funding_year,start_page,record_count,outcome
JIM JUSTICE,2025,1276,59,no_matcher
JIM JUSTICE,2026,1280,116,no_matcher
TIM KAINE,2025,1289,115,no_matcher
TIM KAINE,2026,1295,210,no_matcher
MARK KELLY,2025,1307,84,no_matcher
MARK KELLY,2026,1312,221,no_matcher
JOHN N. KENNEDY,2025,1323,90,no_matcher
JOHN N. KENNEDY,2026,1329,455,no_matcher
ANDY KIM,2025,1349,115,no_matcher
ANDY KIM,2026,1355,191,no_matcher
ANGUS KING,2025,1367,37,no_matcher
ANGUS KING,2026,1371,156,no_matcher
AMY KLOBUCHAR,2025,1382,108,no_matcher
AMY KLOBUCHAR,2026,1388,247,no_matcher
JAMES LANKFORD,2025,1401,147,no_matcher
JAMES LANKFORD,2026,1410,389,no_matcher
MIKE LEE,2025,1431,71,no_matcher
MIKE LEE,2026,1436,241,no_matcher
BEN RAY LUJAN,2024,1447,3,no_matcher
BEN RAY LUJAN,2025,1449,118,no_matcher
BEN RAY LUJAN,2026,1455,191,no_matcher
CYNTHIA LUMMIS,2025,1466,151,no_matcher
CYNTHIA LUMMIS,2026,1473,282,no_matcher
EDWARD MARKEY,2025,1491,118,no_matcher
EDWARD MARKEY,2026,1498,308,no_matcher
ROGER MARSHALL,2024,1512,7,no_matcher
ROGER MARSHALL,2025,1514,191,no_matcher
ROGER MARSHALL,2026,1523,374,no_matcher
"A. MITCHELL MCCONNELL, JR.",2025,1541,118,no_matcher
"A. MITCHELL MCCONNELL, JR.",2026,1548,362,no_matcher
DAVE MCCORMICK,2025,1565,279,no_matcher
DAVE MCCORMICK,2026,1577,474,no_matcher
JEFF MERKLEY,2025,1599,50,no_matcher
JEFF MERKLEY,2026,1603,221,no_matcher
ASHLEY MOODY,2025,1614,199,no_matcher
ASHLEY MOODY,2026,1622,375,no_matcher
JERRY MORAN,2025,1639,164,no_matcher
JERRY MORAN,2026,1646,281,no_matcher
BERNIE MORENO,2025,1658,39,no_matcher
BERNIE MORENO,2026,1662,113,no_matcher
MARKWAYNE MULLIN,2025,1672,73,no_matcher
MARKWAYNE MULLIN,2026,1677,188,no_matcher
LISA MURKOWSKI,2025,1688,123,no_matcher
LISA MURKOWSKI,2026,1694,137,no_matcher
CHRIS MURPHY,2025,1703,83,no_matcher
CHRIS MURPHY,2026,1708,273,no_matcher
PATTY MURRAY,2025,1723,67,no_matcher
PATTY MURRAY,2026,1728,173,no_matcher
JON OSSOFF,2025,1738,85,no_matcher
JON OSSOFF,2026,1743,286,no_matcher
ALEX PADILLA,2024,1755,2,no_matcher
ALEX PADILLA,2025,1757,52,no_matcher
ALEX PADILLA,2026,1761,226,no_matcher
RAND PAUL,2024,1771,3,no_matcher
RAND PAUL,2025,1773,168,no_matcher
RAND PAUL,2026,1781,357,no_matcher
GARY PETERS,2025,1799,280,no_matcher
GARY PETERS,2026,1810,247,no_matcher
JOHN F. REED,2025,1823,27,no_matcher
JOHN F. REED,2026,1826,93,no_matcher
JOHN PETER RICKETTS,2025,1834,53,no_matcher
JOHN PETER RICKETTS,2026,1838,169,no_matcher
JAMES E. RISCH,2025,1849,65,no_matcher
JAMES E. RISCH,2026,1853,249,no_matcher
JACKY ROSEN,2025,1869,30,no_matcher
JACKY ROSEN,2026,1872,132,no_matcher
MIKE ROUNDS,2025,1881,88,no_matcher
MIKE ROUNDS,2026,1886,246,no_matcher
BERNARD SANDERS,2025,1903,25,no_matcher
BERNARD SANDERS,2026,1906,153,no_matcher
BRIAN SCHATZ,2024,1914,3,no_matcher
BRIAN SCHATZ,2025,1916,35,no_matcher
BRIAN SCHATZ,2026,1919,84,no_matcher
ADAM SCHIFF,2025,1924,152,no_matcher
ADAM SCHIFF,2026,1931,225,no_matcher
ERIC SCHMITT,2025,1944,89,no_matcher
ERIC SCHMITT,2026,1949,355,no_matcher
CHARLES E. SCHUMER,2025,1967,68,no_matcher
CHARLES E. SCHUMER,2026,1972,171,no_matcher
RICK SCOTT,2025,1983,70,no_matcher
RICK SCOTT,2026,1987,272,no_matcher
TIM SCOTT,2025,2000,64,no_matcher
TIM SCOTT,2026,2005,245,no_matcher
JEANNE SHAHEEN,2024,2017,3,no_matcher
JEANNE SHAHEEN,2025,2019,44,no_matcher
JEANNE SHAHEEN,2026,2023,115,no_matcher
TIM SHEEHY,2025,2030,168,no_matcher
TIM SHEEHY,2026,2037,249,no_matcher
ELISSA SLOTKIN,2025,2052,89,no_matcher
ELISSA SLOTKIN,2026,2057,241,no_matcher
TINA SMITH,2025,2070,50,no_matcher
TINA SMITH,2026,2074,169,no_matcher
DAN SULLIVAN,2024,2086,2,no_matcher
DAN SULLIVAN,2025,2088,118,no_matcher
DAN SULLIVAN,2026,2094,101,no_matcher
JOHN R. THUNE,2025,2106,44,no_matcher
JOHN R. THUNE,2026,2110,85,no_matcher
THOM TILLIS,2025,2117,79,no_matcher
THOM TILLIS,2026,2122,280,no_matcher
TOMMY TUBERVILLE,2024,2135,2,no_matcher
TOMMY TUBERVILLE,2025,2137,80,no_matcher
TOMMY TUBERVILLE,2026,2142,210,no_matcher
CHRIS VAN HOLLEN,2025,2158,69,no_matcher
CHRIS VAN HOLLEN,2026,2163,171,no_matcher
MARK WARNER,2025,2174,84,no_matcher
MARK WARNER,2026,2179,263,no_matcher
RAPHAEL WARNOCK,2024,2192,2,no_matcher
RAPHAEL WARNOCK,2025,2194,199,no_matcher
RAPHAEL WARNOCK,2026,2203,345,no_matcher
ELIZABETH WARREN,2025,2220,84,no_matcher
ELIZABETH WARREN,2026,2226,123,no_matcher
PETER WELCH,2025,2235,87,no_matcher
PETER WELCH,2026,2240,194,no_matcher
SHELDON WHITEHOUSE,2025,2252,120,no_matcher
SHELDON WHITEHOUSE,2026,2259,155,no_matcher
ROGER WICKER,2025,2269,58,no_matcher
ROGER WICKER,2026,2273,181,no_matcher
RON WYDEN,2025,2284,51,no_matcher
RON WYDEN,2026,2288,284,no_matcher
TODD YOUNG,2025,2302,78,no_matcher
TODD YOUNG,2026,2307,167,no_matcher
