office,funding_year,start_page,status,record_count,records_checked,dollars_checked,dollars_unchecked,amount_parse_failures,pages_skipped
NATL SECURITY WORKING GRP-MAJ CO- CHAIR (ERNST),2025,290,ok,0,0,0.0,0.0,0,0
NATL SECURITY WORKING GRP-MAJ CO- CHAIR (ERNST),2026,291,ok,0,0,0.0,0.0,0,0
NATL SECURITY WORKING GRP-MAJ CO- CHAIR (HAGERTY),2025,292,ok,0,0,0.0,0.0,0,0
NATL SECURITY WORKING GRP-MAJ CO- CHAIR (HAGERTY),2026,293,ok,0,0,0.0,0.0,0,0
NATL SECURITY WORKING GRP-MIN CO- CHAIR (SASSE),2022,294,ok,0,0,0.0,0.0,0,0
NATL SECURITY WORKING GRP-MIN CO- CHAIR (SASSE),2023,295,ok,0,0,0.0,0.0,0,0
NATL SECURITY WORKING GRP-MIN CO- CHAIR (LANKFORD),2024,296,ok,0,0,0.0,0.0,0,0
NATL SECURITY WORKING GRP-MAJ CO- CHAIR (LANKFORD),2025,297,ok,0,0,0.0,0.0,0,0
NATL SECURITY WORKING GRP-MAJ CO- CHAIR (LANKFORD),2026,298,ok,0,0,0.0,0.0,0,0
NATL SECURITY WORKING GRP-MIN LEADER (MCCONNELL),2022,299,ok,0,0,0.0,0.0,0,0
NATL SECURITY WORKING GRP-MIN LEADER (MCCONNELL),2023,300,ok,0,0,0.0,0.0,0,0
NATL SECURITY WORKING GRP-MIN LEADER (MCCONNELL),2024,301,ok,0,0,0.0,0.0,0,0
NATL SECURITY WORKING GRP-MAJ LEADER (THUNE),2025,302,ok,0,0,0.0,0.0,0,0
NATL SECURITY WORKING GRP-MAJ LEADER (THUNE),2026,303,ok,0,0,0.0,0.0,0,0
STATIONERY,2022,304,ok,0,0,0.0,0.0,0,0
STATIONERY,2023,305,ok,0,0,0.0,0.0,0,0
STATIONERY,2024,306,ok,0,0,0.0,0.0,0,0
STATIONERY,2025,307,ok,0,0,0.0,0.0,0,0
STATIONERY,2026,308,ok,0,0,0.0,0.0,0,0
MISC ITEMS - STUDENT LOANS,2022,309,ok,0,0,0.0,0.0,0,0
MISC ITEMS - STUDENT LOANS,2023,310,ok,0,0,0.0,0.0,0,0
MISC ITEMS - STUDENT LOANS,2024,311,ok,0,0,0.0,0.0,0,0
MISC ITEMS - STUDENT LOANS,2025,312,ok,0,0,0.0,0.0,0,0
MISC ITEMS - STUDENT LOANS,2026,313,ok,0,0,0.0,0.0,0,0
CARES ACT EMERG. APPROP. P.L. 116-136 Funding Year X (NO-YEAR) MISCELLANEOUS ITEMS,,314,ok,0,0,0.0,0.0,0,0
EMERGENCY APPROPRIATION PUBLIC LAW 109-13 Funding Year X (NO-YEAR) MISCELLANEOUS ITEMS,,315,ok,0,0,0.0,0.0,0,0
SECURITY AND CONTINUITY Funding Year X (NO-YEAR) MISCELLANEOUS ITEMS,,316,ok,0,0,0.0,0.0,0,0
SECRETARY - SENATE INFORMATION SERVICES (SIS),2020,317,ok,0,0,0.0,0.0,0,0
SECRETARY - SENATE INFORMATION SERVICES (SIS),2021,318,ok,0,0,0.0,0.0,0,0
SECRETARY - SENATE INFORMATION SERVICES (SIS),2022,319,ok,0,0,0.0,0.0,0,0
SECRETARY - SENATE INFORMATION SERVICES (SIS),2023,320,ok,0,0,0.0,0.0,0,0
SECRETARY - SENATE INFORMATION SERVICES (SIS),2024,321,ok,0,0,0.0,0.0,0,0
SECRETARY - SENATE INFORMATION SERVICES (SIS),2025,322,ok,0,0,0.0,0.0,0,0
SECRETARY - SENATE INFORMATION SERVICES (SIS),2026,323,ok,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE,2020,324,ok,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE,2021,325,ok,2,2,821.41,0.0,0,0
SECRETARY OF THE SENATE,2022,326,ok,1,1,19.98,0.0,0,0
SECRETARY OF THE SENATE,2023,327,ok,3,3,426.15,0.0,0,0
SECRETARY OF THE SENATE,2024,328,ok,7,7,72968.76,0.0,0,0
SECRETARY OF THE SENATE,2025,329,ok,72,72,49566.2,0.0,0,0
SECRETARY OF THE SENATE,2026,332,ok,35,35,105451.87,0.0,0,0
SECRETARY - BUST THURGOOD MARSHALL,2024,334,ok,0,0,0.0,0.0,0,0
SECRETARY - FINANCIAL SYSTEM MODERNIZATION,2022,335,ok,0,0,0.0,0.0,0,0
SECRETARY - FINANCIAL SYSTEM MODERNIZATION,2023,336,ok,0,0,0.0,0.0,0,0
SECRETARY - FINANCIAL SYSTEM MODERNIZATION,2024,337,ok,4,4,100264.71,0.0,0,0
SECRETARY - FINANCIAL SYSTEM MODERNIZATION,2025,338,ok,12,12,2261141.11,0.0,0,0
SECRETARY - FINANCIAL SYSTEM MODERNIZATION,2026,339,ok,2,2,276787.09,0.0,0,0
SECRETARY OF THE SENATE - OPERATING EXPENSES Funding Year X (NO-YEAR) SECRETARY OF THE SENATE,,340,ok,0,0,0.0,0.0,0,0
SECRETARY OF THE SENATE - (LIS PROJECT) Funding Year X (NO-YEAR) SECRETARY OF THE SENATE,,341,ok,0,0,0.0,0.0,0,0
SECRETARY - EMRGCY APPROPS FOR TERR RESPONSE Funding Year X (NO-YEAR) SECRETARY OF THE SENATE,,342,ok,0,0,0.0,0.0,0,0
SECRETARY - FINANCIAL SYSTEM MODERNIZATION Funding Year X (NO-YEAR) SECRETARY OF THE SENATE,,343,ok,5,5,944134.94,0.0,0,0
SECRETARY - SENATE COLLECTION Funding Year X (NO-YEAR) SECRETARY OF THE SENATE,,344,ok,17,17,174157.35,0.0,0,0
SECRETARY - PRESERVING/ARCHIVING SENATORS RECORDS Funding Year X (NO-YEAR) SECRETARY OF THE SENATE,,345,ok,11,11,1099542.54,0.0,0,0
SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2020,346,ok,14,14,485274.04,0.0,0,0
SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2021,348,ok,15,15,4639579.39,0.0,0,0
SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2021,350,ok,0,0,0.0,0.0,0,0
SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2022,351,ok,30,30,1940978.26,0.0,0,0
SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2023,353,ok,144,144,6547367.33,0.0,0,0
SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2024,357,ok,0,0,0.0,0.0,0,0
SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2024,358,ok,267,267,3483572.79,0.0,0,0
SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,365,ok,0,0,0.0,0.0,0,0
SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,366,ok,1237,1237,25729846.21,0.0,0,0
SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2026,396,ok,1420,1420,24076804.33,0.0,0,0
SAA - JOINT AUDIBLE WARNING SYSTEM Funding Year X (NO-YEAR) SERGEANT AT ARMS AND DOORKEEPER,,432,ok,2,2,158461.35,0.0,0,0
SAA - OPERATING EXPENSES Funding Year X (NO-YEAR) SERGEANT AT ARMS AND DOORKEEPER,,433,ok,0,0,0.0,0.0,0,0
SAA - MEMBER PROTECTION Funding Year X (NO-YEAR) SERGEANT AT ARMS AND DOORKEEPER,,434,ok,0,0,0.0,0.0,0,0
SAA - STATE OFFICE CONTINGENCY FUND Funding Year X (NO-YEAR) SERGEANT AT ARMS AND DOORKEEPER,,435,ok,0,0,0.0,0.0,0,0
SAA - STATE OFFICE OPERATION FUND Funding Year X (NO-YEAR) SERGEANT AT ARMS AND DOORKEEPER,,436,ok,0,0,0.0,0.0,0,0
SAA - RESIDENTIAL SECURITY SYSTEM PROGRAM Funding Year X (NO-YEAR) SERGEANT AT ARMS AND DOORKEEPER,,437,ok,140,140,1452467.29,0.0,0,0
SAA - SENATE HEARING ROOM AUDIOVISUAL EQUIPMENT Funding Year X (NO-YEAR) SERGEANT AT ARMS AND DOORKEEPER,,441,ok,25,25,726959.71,0.0,0,0
