office,funding_year,start_page,status,record_count,records_checked,dollars_checked,dollars_unchecked,amount_parse_failures,pages_skipped
SENATOR CATHERINE CORTEZ MASTO,2025,800,ok,118,118,58495.94,0.0,0,0
INTERN COMPENSATION - CORTEZ MASTO,2025,805,ok,0,0,0.0,0.0,0,0
SENATOR CATHERINE CORTEZ MASTO,2026,806,ok,149,149,1987831.13,0.0,0,0
INTERN COMPENSATION - CORTEZ MASTO,2026,811,ok,28,28,66736.58,0.0,0,0
MEMBER PROTECTION - CORTEZ MASTO,2026,813,ok,0,0,0.0,0.0,0,0
SENATOR TOM COTTON,2024,814,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - COTTON,2024,815,ok,0,0,0.0,0.0,0,0
SENATOR TOM COTTON,2025,816,ok,54,54,48893.78,0.0,0,0
INTERN COMPENSATION - COTTON,2025,819,ok,0,0,0.0,0.0,0,0
SENATOR TOM COTTON,2026,820,ok,116,116,1859782.33,0.0,0,0
INTERN COMPENSATION - COTTON,2026,825,ok,8,8,24750.0,0.0,0,0
MEMBER PROTECTION - COTTON,2026,826,ok,0,0,0.0,0.0,0,0
SENATOR KEVIN CRAMER,2024,827,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - CRAMER,2024,828,ok,0,0,0.0,0.0,0,0
SENATOR KEVIN CRAMER,2025,829,ok,56,56,21259.34,0.0,0,0
INTERN COMPENSATION - CRAMER,2025,832,ok,0,0,0.0,0.0,0,0
SENATOR KEVIN CRAMER,2026,833,ok,200,200,1797344.99,0.0,0,0
INTERN COMPENSATION - CRAMER,2026,841,ok,2,2,5499.98,0.0,0,0
MEMBER PROTECTION - CRAMER,2026,842,ok,0,0,0.0,0.0,0,0
SENATOR MICHAEL D. CRAPO,2024,843,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - CRAPO,2024,844,ok,0,0,0.0,0.0,0,0
SENATOR MICHAEL D. CRAPO,2025,845,ok,32,32,19100.6,0.0,0,0
INTERN COMPENSATION - CRAPO,2025,847,ok,0,0,0.0,0.0,0,0
SENATOR MICHAEL D. CRAPO,2026,848,ok,94,94,1703620.16,0.0,0,0
INTERN COMPENSATION - CRAPO,2026,851,ok,4,4,23966.14,0.0,0,0
MEMBER PROTECTION - CRAPO,2026,852,ok,0,0,0.0,0.0,0,0
SENATOR TED CRUZ,2024,853,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - CRUZ,2024,854,ok,0,0,0.0,0.0,0,0
SENATOR TED CRUZ,2025,855,ok,229,229,93868.06,0.0,0,0
INTERN COMPENSATION - CRUZ,2025,864,ok,0,0,0.0,0.0,0,0
SENATOR TED CRUZ,2026,865,ok,360,360,2576890.33,0.0,0,0
INTERN COMPENSATION - CRUZ,2026,878,ok,9,9,32526.61,0.0,0,0
MEMBER PROTECTION - CRUZ,2026,879,ok,0,0,0.0,0.0,0,0
SENATOR JOHN CURTIS,2025,880,ok,171,171,82972.73,0.0,0,0
INTERN COMPENSATION - CURTIS,2025,888,ok,0,0,0.0,0.0,0,0
SENATOR JOHN CURTIS,2026,889,ok,400,400,1897277.35,0.0,0,0
INTERN COMPENSATION - CURTIS,2026,904,ok,14,14,28436.6,0.0,0,0
MEMBER PROTECTION - CURTIS,2026,905,ok,0,0,0.0,0.0,0,0
SENATOR STEVE DAINES,2024,906,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - DAINES,2024,907,ok,0,0,0.0,0.0,0,0
SENATOR STEVE DAINES,2025,908,ok,85,85,38483.24,0.0,0,0
INTERN COMPENSATION - DAINES,2025,912,ok,0,0,0.0,0.0,0,0
SENATOR STEVE DAINES,2026,913,ok,233,233,1821633.38,0.0,0,0
INTERN COMPENSATION - DAINES,2026,921,ok,8,8,36773.43,0.0,0,0
MEMBER PROTECTION - DAINES,2026,922,ok,0,0,0.0,0.0,0,0
SENATOR TAMMY DUCKWORTH,2024,923,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - DUCKWORTH,2024,924,ok,0,0,0.0,0.0,0,0
SENATOR TAMMY DUCKWORTH,2025,925,ok,70,70,44010.78,0.0,0,0
INTERN COMPENSATION - DUCKWORTH,2025,929,ok,0,0,0.0,0.0,0,0
SENATOR TAMMY DUCKWORTH,2026,930,ok,208,208,2406715.35,0.0,0,0
INTERN COMPENSATION - DUCKWORTH,2026,938,ok,10,10,63364.84,0.0,0,0
MEMBER PROTECTION - DUCKWORTH,2026,939,ok,0,0,0.0,0.0,0,0
SENATOR RICHARD J. DURBIN,2024,940,ok,2,2,183.71,0.0,0,0
INTERN COMPENSATION - DURBIN,2024,941,ok,0,0,0.0,0.0,0,0
SENATOR RICHARD J. DURBIN,2025,942,ok,37,37,10290.92,0.0,0,0
INTERN COMPENSATION - DURBIN,2025,945,ok,0,0,0.0,0.0,0,0
SENATOR RICHARD J. DURBIN,2026,946,ok,129,129,2235600.94,0.0,0,0
INTERN COMPENSATION - DURBIN,2026,951,ok,11,11,37500.2,0.0,0,0
MEMBER PROTECTION - DURBIN,2026,952,ok,0,0,0.0,0.0,0,0
SENATOR JONI ERNST,2024,953,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - ERNST,2024,954,ok,0,0,0.0,0.0,0,0
SENATOR JONI ERNST,2025,955,ok,76,76,11461.33,0.0,0,0
INTERN COMPENSATION - ERNST,2025,959,ok,0,0,0.0,0.0,0,0
SENATOR JONI ERNST,2026,960,ok,246,246,1872257.02,0.0,0,0
INTERN COMPENSATION - ERNST,2026,969,ok,4,4,14801.66,0.0,0,0
MEMBER PROTECTION - ERNST,2026,970,ok,0,0,0.0,0.0,0,0
SENATOR JOHN FETTERMAN,2024,971,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - FETTERMAN,2024,972,ok,0,0,0.0,0.0,0,0
SENATOR JOHN FETTERMAN,2025,973,ok,62,62,16938.44,0.0,0,0
INTERN COMPENSATION - FETTERMAN,2025,976,ok,0,0,0.0,0.0,0,0
SENATOR JOHN FETTERMAN,2026,977,ok,195,195,2303858.5,0.0,0,0
INTERN COMPENSATION - FETTERMAN,2026,985,ok,10,10,54501.75,0.0,0,0
MEMBER PROTECTION - FETTERMAN,2026,986,ok,0,0,0.0,0.0,0,0
SENATOR DEB FISCHER,2024,987,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - FISCHER,2024,988,ok,0,0,0.0,0.0,0,0
SENATOR DEB FISCHER,2025,989,ok,62,62,14760.37,0.0,0,0
INTERN COMPENSATION - FISCHER,2025,992,ok,0,0,0.0,0.0,0,0
SENATOR DEB FISCHER,2026,993,ok,141,141,1706330.94,0.0,0,0
INTERN COMPENSATION - FISCHER,2026,998,ok,12,12,39290.32,0.0,0,0
MEMBER PROTECTION - FISCHER,2026,999,ok,0,0,0.0,0.0,0,0
SENATOR RUBEN GALLEGO,2025,1000,ok,98,98,58786.02,0.0,0,0
INTERN COMPENSATION - GALLEGO,2025,1005,ok,0,0,0.0,0.0,0,0
SENATOR RUBEN GALLEGO,2026,1006,ok,187,187,1733639.91,0.0,0,0
INTERN COMPENSATION - GALLEGO,2026,1013,ok,17,17,30700.71,0.0,0,0
MEMBER PROTECTION - GALLEGO,2026,1014,ok,0,0,0.0,0.0,0,0
SENATOR KIRSTEN GILLIBRAND,2024,1015,ok,1,1,631.11,0.0,0,0
INTERN COMPENSATION - GILLIBRAND,2024,1016,ok,0,0,0.0,0.0,0,0
SENATOR KIRSTEN GILLIBRAND,2025,1017,ok,140,140,148874.96,0.0,0,0
INTERN COMPENSATION - GILLIBRAND,2025,1023,ok,0,0,0.0,0.0,0,0
SENATOR KIRSTEN GILLIBRAND,2026,1024,ok,335,335,2178522.79,0.0,0,0
INTERN COMPENSATION - GILLIBRAND,2026,1036,ok,39,39,23699.96,0.0,0,0
MEMBER PROTECTION - GILLIBRAND,2026,1038,ok,0,0,0.0,0.0,0,0
SENATOR LINDSEY GRAHAM,2024,1039,ok,3,3,244.38,0.0,0,0
INTERN COMPENSATION - GRAHAM,2024,1040,ok,0,0,0.0,0.0,0,0
SENATOR LINDSEY GRAHAM,2025,1041,ok,36,36,13403.17,0.0,0,0
INTERN COMPENSATION - GRAHAM,2025,1044,ok,0,0,0.0,0.0,0,0
SENATOR LINDSEY GRAHAM,2026,1045,ok,112,112,1973869.77,0.0,0,0
INTERN COMPENSATION - GRAHAM,2026,1050,ok,10,10,18940.28,0.0,0,0
MEMBER PROTECTION - GRAHAM,2026,1051,ok,0,0,0.0,0.0,0,0
SENATOR CHARLES E. GRASSLEY,2024,1052,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - GRASSLEY,2024,1053,ok,0,0,0.0,0.0,0,0
SENATOR CHARLES E. GRASSLEY,2025,1054,ok,84,84,17021.95,0.0,0,0
INTERN COMPENSATION - GRASSLEY,2025,1059,ok,0,0,0.0,0.0,0,0
SENATOR CHARLES E. GRASSLEY,2026,1060,ok,212,212,997563.99,0.0,0,0
INTERN COMPENSATION - GRASSLEY,2026,1068,ok,7,7,34958.31,0.0,0,0
MEMBER PROTECTION - GRASSLEY,2026,1069,ok,0,0,0.0,0.0,0,0
SENATOR BILL HAGERTY,2024,1070,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - HAGERTY,2024,1071,ok,0,0,0.0,0.0,0,0
SENATOR BILL HAGERTY,2025,1072,ok,155,155,99670.04,0.0,0,0
INTERN COMPENSATION - HAGERTY,2025,1079,ok,0,0,0.0,0.0,0,0
SENATOR BILL HAGERTY,2026,1080,ok,233,233,2055904.04,0.0,0,0
INTERN COMPENSATION - HAGERTY,2026,1089,ok,6,6,21688.77,0.0,0,0
MEMBER PROTECTION - HAGERTY,2026,1090,ok,0,0,0.0,0.0,0,0
SENATOR MAGGIE HASSAN,2024,1091,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - HASSAN,2024,1092,ok,0,0,0.0,0.0,0,0
SENATOR MAGGIE HASSAN,2025,1093,ok,44,44,9737.61,0.0,0,0
INTERN COMPENSATION - HASSAN,2025,1096,ok,0,0,0.0,0.0,0,0
SENATOR MAGGIE HASSAN,2026,1097,ok,143,143,1851419.74,0.0,0,0
INTERN COMPENSATION - HASSAN,2026,1103,ok,8,8,27154.62,0.0,0,0
MEMBER PROTECTION - HASSAN,2026,1104,ok,0,0,0.0,0.0,0,0
SENATOR JOSH HAWLEY,2024,1105,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - HAWLEY,2024,1106,ok,0,0,0.0,0.0,0,0
SENATOR JOSH HAWLEY,2025,1107,ok,190,190,77145.46,0.0,0,0
INTERN COMPENSATION - HAWLEY,2025,1115,ok,0,0,0.0,0.0,0,0
SENATOR JOSH HAWLEY,2026,1116,ok,377,377,1820929.77,0.0,0,0
INTERN COMPENSATION - HAWLEY,2026,1130,ok,4,4,13866.65,0.0,0,0
MEMBER PROTECTION - HAWLEY,2026,1131,ok,0,0,0.0,0.0,0,0
SENATOR MARTIN HEINRICH,2024,1132,ok,5,5,211.1,0.0,0,0
INTERN COMPENSATION - HEINRICH,2024,1133,ok,0,0,0.0,0.0,0,0
SENATOR MARTIN HEINRICH,2025,1134,ok,141,141,75052.52,0.0,0,0
INTERN COMPENSATION - HEINRICH,2025,1140,ok,0,0,0.0,0.0,0,0
SENATOR MARTIN HEINRICH,2026,1141,ok,250,250,2013335.56,0.0,0,0
INTERN COMPENSATION - HEINRICH,2026,1150,ok,7,7,22489.0,0.0,0,0
MEMBER PROTECTION - HEINRICH,2026,1151,ok,0,0,0.0,0.0,0,0
SENATOR GEORGE HELMY,2024,1152,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - HELMY,2024,1153,ok,0,0,0.0,0.0,0,0
SENATOR GEORGE HELMY,2025,1154,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - HELMY,2025,1155,ok,0,0,0.0,0.0,0,0
SENATOR JOHN HICKENLOOPER,2024,1156,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - HICKENLOOPER,2024,1157,ok,0,0,0.0,0.0,0,0
SENATOR JOHN HICKENLOOPER,2025,1158,ok,110,110,39400.52,0.0,0,0
INTERN COMPENSATION - HICKENLOOPER,2025,1163,ok,0,0,0.0,0.0,0,0
SENATOR JOHN HICKENLOOPER,2026,1164,ok,92,92,1856538.51,0.0,0,0
INTERN COMPENSATION - HICKENLOOPER,2026,1168,ok,5,5,15982.3,0.0,0,0
MEMBER PROTECTION - HICKENLOOPER,2026,1169,ok,0,0,0.0,0.0,0,0
SENATOR MAZIE HIRONO,2024,1170,ok,2,2,698.62,0.0,0,0
INTERN COMPENSATION - HIRONO,2024,1171,ok,0,0,0.0,0.0,0,0
SENATOR MAZIE HIRONO,2025,1172,ok,41,41,54756.48,0.0,0,0
INTERN COMPENSATION - HIRONO,2025,1174,ok,0,0,0.0,0.0,0,0
SENATOR MAZIE HIRONO,2026,1175,ok,78,78,1987835.44,0.0,0,0
INTERN COMPENSATION - HIRONO,2026,1178,ok,5,5,33469.66,0.0,0,0
MEMBER PROTECTION - HIRONO,2026,1179,ok,0,0,0.0,0.0,0,0
SENATOR JOHN HOEVEN,2024,1180,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - HOEVEN,2024,1181,ok,0,0,0.0,0.0,0,0
SENATOR JOHN HOEVEN,2025,1182,ok,23,23,41937.23,0.0,0,0
INTERN COMPENSATION - HOEVEN,2025,1184,ok,0,0,0.0,0.0,0,0
SENATOR JOHN HOEVEN,2026,1185,ok,163,163,1814857.5,0.0,0,0
INTERN COMPENSATION - HOEVEN,2026,1191,ok,2,2,5149.59,0.0,0,0
MEMBER PROTECTION - HOEVEN,2026,1192,ok,0,0,0.0,0.0,0,0
SENATOR JON HUSTED,2025,1193,ok,135,135,127097.49,0.0,0,0
INTERN COMPENSATION - HUSTED,2025,1200,ok,0,0,0.0,0.0,0,0
SENATOR JON HUSTED,2026,1201,ok,409,409,1882023.99,0.0,0,0
INTERN COMPENSATION - HUSTED,2026,1217,ok,5,5,11648.05,0.0,0,0
MEMBER PROTECTION - HUSTED,2026,1218,ok,0,0,0.0,0.0,0,0
SENATOR CINDY HYDE-SMITH,2024,1219,ok,1,1,105.45,0.0,0,0
INTERN COMPENSATION - HYDE-SMITH,2024,1220,ok,0,0,0.0,0.0,0,0
SENATOR CINDY HYDE-SMITH,2025,1221,ok,110,110,31456.67,0.0,0,0
INTERN COMPENSATION - HYDE-SMITH,2025,1226,ok,0,0,0.0,0.0,0,0
SENATOR CINDY HYDE-SMITH,2026,1227,ok,258,258,1785475.28,0.0,0,0
INTERN COMPENSATION - HYDE-SMITH,2026,1238,ok,6,6,22600.09,0.0,0,0
MEMBER PROTECTION - HYDE-SMITH,2026,1239,ok,0,0,0.0,0.0,0,0
SENATOR RON JOHNSON,2024,1240,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - JOHNSON,2024,1241,ok,0,0,0.0,0.0,0,0
SENATOR RON JOHNSON,2025,1242,ok,143,143,48415.18,0.0,0,0
INTERN COMPENSATION - JOHNSON,2025,1248,ok,0,0,0.0,0.0,0,0
SENATOR RON JOHNSON,2026,1249,ok,200,200,1919993.52,0.0,0,0
INTERN COMPENSATION - JOHNSON,2026,1257,ok,2,2,12138.87,0.0,0,0
MEMBER PROTECTION - JOHNSON,2026,1258,ok,0,0,0.0,0.0,0,0
SENATOR JIM JUSTICE,2025,1276,ok,59,59,83422.26,0.0,0,0
INTERN COMPENSATION - JUSTICE,2025,1279,ok,0,0,0.0,0.0,0,0
SENATOR JIM JUSTICE,2026,1280,ok,116,116,1407240.09,0.0,0,0
INTERN COMPENSATION - JUSTICE,2026,1285,ok,0,0,0.0,0.0,0,0
MEMBER PROTECTION - JUSTICE,2026,1286,ok,0,0,0.0,0.0,0,0
SENATOR TIM KAINE,2024,1287,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - KAINE,2024,1288,ok,0,0,0.0,0.0,0,0
SENATOR TIM KAINE,2025,1289,ok,115,115,57489.66,0.0,0,0
INTERN COMPENSATION - KAINE,2025,1294,ok,0,0,0.0,0.0,0,0
SENATOR TIM KAINE,2026,1295,ok,210,210,2126150.66,0.0,0,0
INTERN COMPENSATION - KAINE,2026,1303,ok,23,23,22583.0,0.0,0,0
MEMBER PROTECTION - KAINE,2026,1304,ok,0,0,0.0,0.0,0,0
SENATOR MARK KELLY,2024,1305,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - KELLY,2024,1306,ok,0,0,0.0,0.0,0,0
SENATOR MARK KELLY,2025,1307,ok,84,84,31361.36,0.0,0,0
INTERN COMPENSATION - KELLY,2025,1311,ok,0,0,0.0,0.0,0,0
SENATOR MARK KELLY,2026,1312,ok,221,221,2103701.46,0.0,0,0
INTERN COMPENSATION - KELLY,2026,1319,ok,11,11,30087.55,0.0,0,0
MEMBER PROTECTION - KELLY,2026,1320,ok,0,0,0.0,0.0,0,0
SENATOR JOHN N. KENNEDY,2024,1321,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - KENNEDY,2024,1322,ok,0,0,0.0,0.0,0,0
SENATOR JOHN N. KENNEDY,2025,1323,ok,90,90,60093.98,0.0,0,0
INTERN COMPENSATION - KENNEDY,2025,1328,ok,0,0,0.0,0.0,0,0
SENATOR JOHN N. KENNEDY,2026,1329,ok,455,455,1962351.2,0.0,0,0
INTERN COMPENSATION - KENNEDY,2026,1347,ok,4,4,23133.28,0.0,0,0
MEMBER PROTECTION - KENNEDY,2026,1348,ok,0,0,0.0,0.0,0,0
SENATOR ANDY KIM,2025,1349,ok,115,115,100785.56,0.0,0,0
INTERN COMPENSATION - KIM,2025,1354,ok,0,0,0.0,0.0,0,0
SENATOR ANDY KIM,2026,1355,ok,191,191,1952375.01,0.0,0,0
INTERN COMPENSATION - KIM,2026,1363,ok,19,19,22551.29,0.0,0,0
MEMBER PROTECTION - KIM,2026,1364,ok,0,0,0.0,0.0,0,0
SENATOR ANGUS KING,2024,1365,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - KING,2024,1366,ok,0,0,0.0,0.0,0,0
SENATOR ANGUS KING,2025,1367,ok,37,37,7287.66,0.0,0,0
INTERN COMPENSATION - KING,2025,1370,ok,0,0,0.0,0.0,0,0
SENATOR ANGUS KING,2026,1371,ok,156,156,2018311.67,0.0,0,0
INTERN COMPENSATION - KING,2026,1378,ok,4,4,27233.32,0.0,0,0
MEMBER PROTECTION - KING,2026,1379,ok,0,0,0.0,0.0,0,0
SENATOR AMY KLOBUCHAR,2024,1380,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - KLOBUCHAR,2024,1381,ok,0,0,0.0,0.0,0,0
SENATOR AMY KLOBUCHAR,2025,1382,ok,108,108,17517.62,0.0,0,0
INTERN COMPENSATION - KLOBUCHAR,2025,1387,ok,0,0,0.0,0.0,0,0
SENATOR AMY KLOBUCHAR,2026,1388,ok,247,247,1989962.51,0.0,0,0
INTERN COMPENSATION - KLOBUCHAR,2026,1397,ok,19,19,27908.3,0.0,0,0
MEMBER PROTECTION - KLOBUCHAR,2026,1398,ok,0,0,0.0,0.0,0,0
SENATOR JAMES LANKFORD,2024,1399,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - LANKFORD,2024,1400,ok,0,0,0.0,0.0,0,0
SENATOR JAMES LANKFORD,2025,1401,ok,147,147,41364.28,0.0,0,0
INTERN COMPENSATION - LANKFORD,2025,1409,ok,0,0,0.0,0.0,0,0
SENATOR JAMES LANKFORD,2026,1410,ok,389,389,1990321.46,0.0,0,0
INTERN COMPENSATION - LANKFORD,2026,1427,ok,8,8,28967.22,0.0,0,0
MEMBER PROTECTION - LANKFORD,2026,1428,ok,0,0,0.0,0.0,0,0
SENATOR MIKE LEE,2024,1429,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - LEE,2024,1430,ok,0,0,0.0,0.0,0,0
SENATOR MIKE LEE,2025,1431,ok,71,71,54917.32,0.0,0,0
INTERN COMPENSATION - LEE,2025,1435,ok,0,0,0.0,0.0,0,0
SENATOR MIKE LEE,2026,1436,ok,241,241,1524651.35,0.0,0,0
INTERN COMPENSATION - LEE,2026,1445,ok,6,6,17274.95,0.0,0,0
MEMBER PROTECTION - LEE,2026,1446,ok,0,0,0.0,0.0,0,0
SENATOR BEN RAY LUJAN,2024,1447,ok,3,3,186.63,0.0,0,0
INTERN COMPENSATION - LUJAN,2024,1448,ok,0,0,0.0,0.0,0,0
SENATOR BEN RAY LUJAN,2025,1449,ok,118,118,33264.07,0.0,0,0
INTERN COMPENSATION - LUJAN,2025,1454,ok,0,0,0.0,0.0,0,0
SENATOR BEN RAY LUJAN,2026,1455,ok,191,191,1612888.81,0.0,0,0
INTERN COMPENSATION - LUJAN,2026,1462,ok,3,3,18529.8,0.0,0,0
MEMBER PROTECTION - LUJAN,2026,1463,ok,0,0,0.0,0.0,0,0
SENATOR CYNTHIA LUMMIS,2024,1464,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - LUMMIS,2024,1465,ok,0,0,0.0,0.0,0,0
SENATOR CYNTHIA LUMMIS,2025,1466,ok,151,151,137232.69,0.0,0,0
INTERN COMPENSATION - LUMMIS,2025,1472,ok,0,0,0.0,0.0,0,0
SENATOR CYNTHIA LUMMIS,2026,1473,ok,282,282,1694510.31,0.0,0,0
INTERN COMPENSATION - LUMMIS,2026,1483,ok,4,4,17200.0,0.0,0,0
MEMBER PROTECTION - LUMMIS,2026,1484,ok,0,0,0.0,0.0,0,0
SENATOR JOE MANCHIN,2024,1485,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - MANCHIN,2024,1486,ok,0,0,0.0,0.0,0,0
SENATOR JOE MANCHIN,2025,1487,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - MANCHIN,2025,1488,ok,0,0,0.0,0.0,0,0
SENATOR EDWARD MARKEY,2024,1489,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - MARKEY,2024,1490,ok,0,0,0.0,0.0,0,0
SENATOR EDWARD MARKEY,2025,1491,ok,118,118,19526.01,0.0,0,0
INTERN COMPENSATION - MARKEY,2025,1497,ok,0,0,0.0,0.0,0,0
SENATOR EDWARD MARKEY,2026,1498,ok,308,308,1999231.89,0.0,0,0
INTERN COMPENSATION - MARKEY,2026,1510,ok,15,15,47176.1,0.0,0,0
MEMBER PROTECTION - MARKEY,2026,1511,ok,0,0,0.0,0.0,0,0
SENATOR ROGER MARSHALL,2024,1512,ok,7,7,3319.9,0.0,0,0
INTERN COMPENSATION - MARSHALL,2024,1513,ok,0,0,0.0,0.0,0,0
SENATOR ROGER MARSHALL,2025,1514,ok,191,191,138182.15,0.0,0,0
INTERN COMPENSATION - MARSHALL,2025,1522,ok,0,0,0.0,0.0,0,0
SENATOR ROGER MARSHALL,2026,1523,ok,374,374,1534638.64,0.0,0,0
INTERN COMPENSATION - MARSHALL,2026,1537,ok,11,11,36816.64,0.0,0,0
MEMBER PROTECTION - MARSHALL,2026,1538,ok,0,0,0.0,0.0,0,0
"SENATOR A. MITCHELL MCCONNELL, JR.",2024,1539,ok,0,0,0.0,0.0,0,0
"INTERN COMPENSATION - MCCONNELL, JR.",2024,1540,ok,0,0,0.0,0.0,0,0
"SENATOR A. MITCHELL MCCONNELL, JR.",2025,1541,ok,118,118,16809.17,0.0,0,0
"INTERN COMPENSATION - MCCONNELL, JR.",2025,1547,ok,0,0,0.0,0.0,0,0
"SENATOR A. MITCHELL MCCONNELL, JR.",2026,1548,ok,362,362,1787093.05,0.0,0,0
"INTERN COMPENSATION - MCCONNELL, JR.",2026,1563,ok,6,6,24052.1,0.0,0,0
"MEMBER PROTECTION - MCCONNELL, JR.",2026,1564,ok,0,0,0.0,0.0,0,0
SENATOR DAVE MCCORMICK,2025,1565,ok,279,279,64910.72,0.0,0,0
INTERN COMPENSATION - MCCORMICK,2025,1576,ok,0,0,0.0,0.0,0,0
SENATOR DAVE MCCORMICK,2026,1577,ok,474,474,2313446.79,0.0,0,0
INTERN COMPENSATION - MCCORMICK,2026,1593,ok,16,16,45231.6,0.0,0,0
MEMBER PROTECTION - MCCORMICK,2026,1594,ok,0,0,0.0,0.0,0,0
SENATOR ROBERT MENENDEZ,2024,1595,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - MENENDEZ,2024,1596,ok,0,0,0.0,0.0,0,0
SENATOR JEFF MERKLEY,2024,1597,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - MERKLEY,2024,1598,ok,0,0,0.0,0.0,0,0
SENATOR JEFF MERKLEY,2025,1599,ok,50,50,36454.73,0.0,0,0
INTERN COMPENSATION - MERKLEY,2025,1602,ok,0,0,0.0,0.0,0,0
SENATOR JEFF MERKLEY,2026,1603,ok,221,221,1883026.93,0.0,0,0
INTERN COMPENSATION - MERKLEY,2026,1612,ok,5,5,23299.99,0.0,0,0
MEMBER PROTECTION - MERKLEY,2026,1613,ok,0,0,0.0,0.0,0,0
SENATOR ASHLEY MOODY,2025,1614,ok,199,199,514037.51,0.0,0,0
INTERN COMPENSATION - MOODY,2025,1621,ok,0,0,0.0,0.0,0,0
SENATOR ASHLEY MOODY,2026,1622,ok,375,375,2014593.75,0.0,0,0
INTERN COMPENSATION - MOODY,2026,1635,ok,13,13,61848.47,0.0,0,0
MEMBER PROTECTION - MOODY,2026,1636,ok,0,0,0.0,0.0,0,0
SENATOR JERRY MORAN,2024,1637,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - MORAN,2024,1638,ok,0,0,0.0,0.0,0,0
SENATOR JERRY MORAN,2025,1639,ok,164,164,82559.6,0.0,0,0
INTERN COMPENSATION - MORAN,2025,1645,ok,0,0,0.0,0.0,0,0
SENATOR JERRY MORAN,2026,1646,ok,281,281,1730747.26,0.0,0,0
INTERN COMPENSATION - MORAN,2026,1656,ok,7,7,32960.39,0.0,0,0
MEMBER PROTECTION - MORAN,2026,1657,ok,0,0,0.0,0.0,0,0
SENATOR BERNIE MORENO,2025,1658,ok,39,39,34535.21,0.0,0,0
INTERN COMPENSATION - MORENO,2025,1661,ok,0,0,0.0,0.0,0,0
SENATOR BERNIE MORENO,2026,1662,ok,113,113,1945425.0,0.0,0,0
INTERN COMPENSATION - MORENO,2026,1668,ok,13,13,38530.79,0.0,0,0
MEMBER PROTECTION - MORENO,2026,1669,ok,0,0,0.0,0.0,0,0
SENATOR MARKWAYNE MULLIN,2024,1670,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - MULLIN,2024,1671,ok,0,0,0.0,0.0,0,0
SENATOR MARKWAYNE MULLIN,2025,1672,ok,73,73,28039.63,0.0,0,0
INTERN COMPENSATION - MULLIN,2025,1676,ok,0,0,0.0,0.0,0,0
SENATOR MARKWAYNE MULLIN,2026,1677,ok,188,188,1650590.91,0.0,0,0
INTERN COMPENSATION - MULLIN,2026,1684,ok,4,4,12853.31,0.0,0,0
MEMBER PROTECTION - MULLIN,2026,1685,ok,0,0,0.0,0.0,0,0
SENATOR LISA MURKOWSKI,2024,1686,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - MURKOWSKI,2024,1687,ok,0,0,0.0,0.0,0,0
SENATOR LISA MURKOWSKI,2025,1688,ok,123,123,57736.2,0.0,0,0
INTERN COMPENSATION - MURKOWSKI,2025,1693,ok,0,0,0.0,0.0,0,0
SENATOR LISA MURKOWSKI,2026,1694,ok,137,137,1923754.48,0.0,0,0
INTERN COMPENSATION - MURKOWSKI,2026,1699,ok,1,1,8000.0,0.0,0,0
MEMBER PROTECTION - MURKOWSKI,2026,1700,ok,0,0,0.0,0.0,0,0
SENATOR CHRIS MURPHY,2024,1701,ok,0,0,0.0,0.0,0,0
INTERN COMPENSATION - MURPHY,2024,1702,ok,0,0,0.0,0.0,0,0
