office,funding_year,account,start_page,label,check_page,expected,actual,status,basis,second_opinion,independent_sum,context
SENATOR JOHN N. KENNEDY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,38,PERSONNEL BENEFITS,38,591.5,0.0,no_records,segment,,,
SENATOR JOHN N. KENNEDY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,38,NET PAYROLL EXPENSES,38,591.5,591.5,ok,block_running_total,,,
SENATOR JOHN N. KENNEDY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,38,TRAVEL AND TRANSPORTATION OF PERSONS,40,7697.24,7697.24,ok,segment,,,
SENATOR JOHN N. KENNEDY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,38,OTHER CONTRACTUAL SERVICES,40,3575.0,3575.0,ok,segment,,,
SENATOR JOHN N. KENNEDY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,38,ACQUISITION OF ASSETS,40,172.56,172.56,ok,segment,,,
SENATOR JOHN N. KENNEDY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,38,BANNER NET PAYROLL,38,591.5,591.5,ok,banner,,,
SENATOR JOHN N. KENNEDY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,38,BANNER ORGANIZATION TOTALS,38,19852.82,12036.3,warn,banner,,,banner_only_categories
INTERN COMPENSATION - KENNEDY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,41,BANNER NET PAYROLL,41,0.0,0.0,banner_missing,banner,,,
INTERN COMPENSATION - KENNEDY,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,41,BANNER ORGANIZATION TOTALS,41,0.0,0.0,ok,banner,,,
SENATOR JOHN N. KENNEDY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,42,PERSONNEL COMP. FULL-TIME PERMANENT,43,1767558.1,1767558.1,ok,segment,,,
SENATOR JOHN N. KENNEDY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,42,PERSONNEL BENEFITS,43,659.25,0.0,no_records,segment,,,
