senator_name,funding_year,start_page,record_count,outcome
MARK KELLY,2024,1518,487,no_matcher
JOHN N. KENNEDY,2024,1539,914,no_matcher
ANGUS KING,2024,1579,312,no_matcher
AMY KLOBUCHAR,2023,1594,1,no_matcher
AMY KLOBUCHAR,2024,1596,507,no_matcher
JAMES LANKFORD,2024,1620,758,no_matcher
MIKE LEE,2024,1660,453,no_matcher
BEN RAY LUJAN,2022,1677,1,no_matcher
BEN RAY LUJAN,2023,1679,19,no_matcher
BEN RAY LUJAN,2024,1682,282,no_matcher
CYNTHIA LUMMIS,2023,1696,1,no_matcher
CYNTHIA LUMMIS,2024,1698,743,no_matcher
JOE MANCHIN,2024,1727,336,no_matcher
EDWARD MARKEY,2022,1742,1,no_matcher
EDWARD MARKEY,2023,1744,8,no_matcher
EDWARD MARKEY,2024,1746,257,no_matcher
ROGER MARSHALL,2022,1757,1,no_matcher
ROGER MARSHALL,2024,1761,645,no_matcher
"A. MITCHELL MCCONNELL, JR.",2023,1786,5,no_matcher
"A. MITCHELL MCCONNELL, JR.",2024,1788,676,no_matcher
ROBERT MENENDEZ,2024,1820,98,no_matcher
JEFF MERKLEY,2022,1825,1,no_matcher
JEFF MERKLEY,2023,1827,1,no_matcher
JEFF MERKLEY,2024,1829,355,no_matcher
JERRY MORAN,2024,1848,746,no_matcher
MARKWAYNE MULLIN,2023,1875,3,no_matcher
MARKWAYNE MULLIN,2024,1877,291,no_matcher
LISA MURKOWSKI,2022,1890,5,no_matcher
LISA MURKOWSKI,2023,1892,21,no_matcher
LISA MURKOWSKI,2024,1895,587,no_matcher
CHRIS MURPHY,2023,1918,5,no_matcher
CHRIS MURPHY,2024,1921,566,no_matcher
PATTY MURRAY,2024,1949,543,no_matcher
JON OSSOFF,2023,1970,4,no_matcher
JON OSSOFF,2024,1972,819,no_matcher
ALEX PADILLA,2024,2004,468,no_matcher
RAND PAUL,2023,2024,1,no_matcher
RAND PAUL,2024,2026,878,no_matcher
GARY PETERS,2022,2059,1,no_matcher
GARY PETERS,2023,2061,3,no_matcher
GARY PETERS,2024,2063,478,no_matcher
JOHN F. REED,2023,2087,3,no_matcher
JOHN F. REED,2024,2089,126,no_matcher
JOHN PETER RICKETTS,2023,2096,2,no_matcher
JOHN PETER RICKETTS,2024,2098,484,no_matcher
JAMES E. RISCH,2024,2121,452,no_matcher
MITT ROMNEY,2024,2141,435,no_matcher
JACKY ROSEN,2023,2158,1,no_matcher
JACKY ROSEN,2024,2160,319,no_matcher
MIKE ROUNDS,2023,2175,1,no_matcher
MIKE ROUNDS,2024,2177,562,no_matcher
MARCO RUBIO,2024,2202,517,no_matcher
BERNARD SANDERS,2024,2227,212,no_matcher
BRIAN SCHATZ,2023,2243,2,no_matcher
BRIAN SCHATZ,2024,2245,180,no_matcher
ERIC SCHMITT,2023,2252,1,no_matcher
ERIC SCHMITT,2024,2254,688,no_matcher
CHARLES E. SCHUMER,2023,2282,2,no_matcher
CHARLES E. SCHUMER,2024,2284,371,no_matcher
RICK SCOTT,2024,2304,188,no_matcher
TIM SCOTT,2024,2316,439,no_matcher
JEANNE SHAHEEN,2023,2338,3,no_matcher
JEANNE SHAHEEN,2024,2340,356,no_matcher
KYRSTEN SINEMA,2022,2359,1,no_matcher
KYRSTEN SINEMA,2023,2361,4,no_matcher
KYRSTEN SINEMA,2024,2363,486,no_matcher
TINA SMITH,2022,2382,2,no_matcher
TINA SMITH,2024,2386,449,no_matcher
DEBBIE A. STABENOW,2022,2403,3,no_matcher
DEBBIE A. STABENOW,2023,2405,1,no_matcher
DEBBIE A. STABENOW,2024,2407,233,no_matcher
DAN SULLIVAN,2023,2419,11,no_matcher
DAN SULLIVAN,2024,2422,384,no_matcher
JON TESTER,2024,2441,372,no_matcher
JOHN R. THUNE,2024,2459,216,no_matcher
THOM TILLIS,2023,2470,1,no_matcher
THOM TILLIS,2024,2472,527,no_matcher
TOMMY TUBERVILLE,2023,2499,2,no_matcher
TOMMY TUBERVILLE,2024,2501,328,no_matcher
JD VANCE,2023,2516,10,no_matcher
JD VANCE,2024,2518,595,no_matcher
CHRIS VAN HOLLEN,2023,2544,3,no_matcher
CHRIS VAN HOLLEN,2024,2546,406,no_matcher
MARK WARNER,2023,2565,8,no_matcher
MARK WARNER,2024,2567,673,no_matcher
RAPHAEL WARNOCK,2023,2597,21,no_matcher
RAPHAEL WARNOCK,2024,2600,811,no_matcher
ELIZABETH WARREN,2023,2633,2,no_matcher
ELIZABETH WARREN,2024,2635,338,no_matcher
PETER WELCH,2024,2650,455,no_matcher
SHELDON WHITEHOUSE,2022,2667,1,no_matcher
SHELDON WHITEHOUSE,2024,2671,278,no_matcher
ROGER WICKER,2024,2686,352,no_matcher
RON WYDEN,2024,2705,413,no_matcher
TODD YOUNG,2022,2720,1,no_matcher
TODD YOUNG,2024,2724,366,no_matcher
