office,funding_year,account,start_page,label,check_page,expected,actual,status,basis
LEGISLATIVE COUNSEL,2024,LEGISLATIVE COUNSEL,2773,PERSONNEL COMP. FULL-TIME PERMANENT,2774,4351425.56,4351425.56,ok,segment
LEGISLATIVE COUNSEL,2024,LEGISLATIVE COUNSEL,2773,PERSONNEL BENEFITS,2774,8507.25,0.0,no_records,segment
LEGISLATIVE COUNSEL,2024,LEGISLATIVE COUNSEL,2773,NET PAYROLL EXPENSES,2774,4359932.81,4351425.56,fail,block_running_total
JOINT CONGRESSIONAL COMMITTEE ON INAUGURAL CEREMONIES,2024,JOINT COMMITTEE ON INAUGURAL CEREMONIES,2775,PERSONNEL COMP. FULL-TIME PERMANENT,2775,211799.32,211799.32,ok,segment
JOINT CONGRESSIONAL COMMITTEE ON INAUGURAL CEREMONIES,2024,JOINT COMMITTEE ON INAUGURAL CEREMONIES,2775,PERSONNEL BENEFITS,2775,191.0,0.0,no_records,segment
JOINT CONGRESSIONAL COMMITTEE ON INAUGURAL CEREMONIES,2024,JOINT COMMITTEE ON INAUGURAL CEREMONIES,2775,NET PAYROLL EXPENSES,2775,211990.32,211799.32,fail,block_running_total
JOINT CONGRESSIONAL COMMITTEE ON INAUGURAL CEREMONIES,2024,JOINT COMMITTEE ON INAUGURAL CEREMONIES,2775,OTHER CONTRACTUAL SERVICES,2775,10821.93,10821.93,ok,segment
OFFICE OF CONGRESSIONAL ACCESSIBILITY SERVICES,2024,CONGRESSIONAL ACCESSIBILITY SERVICES,2778,PERSONNEL COMP. FULL-TIME PERMANENT,2778,411209.79,411209.79,ok,segment
OFFICE OF CONGRESSIONAL ACCESSIBILITY SERVICES,2024,CONGRESSIONAL ACCESSIBILITY SERVICES,2778,PERSONNEL BENEFITS,2778,1592.96,0.0,no_records,segment
OFFICE OF CONGRESSIONAL ACCESSIBILITY SERVICES,2024,CONGRESSIONAL ACCESSIBILITY SERVICES,2778,NET PAYROLL EXPENSES,2778,412802.75,411209.79,fail,block_running_total
OFFICE OF CONGRESSIONAL ACCESSIBILITY SERVICES,2024,CONGRESSIONAL ACCESSIBILITY SERVICES,2778,TRAVEL AND TRANSPORTATION OF PERSONS,2778,2373.12,2373.12,ok,segment
OFFICE OF CONGRESSIONAL ACCESSIBILITY SERVICES,2024,CONGRESSIONAL ACCESSIBILITY SERVICES,2778,OTHER CONTRACTUAL SERVICES,2779,22785.5,22785.5,ok,segment
GIFT SHOP Funding Year X (REVOLVING) SENATE GIFT SHOP REVOLVING FUND,,,2784,OTHER CONTRACTUAL SERVICES,2784,5600.89,5600.89,ok,segment
GIFT SHOP Funding Year X (REVOLVING) SENATE GIFT SHOP REVOLVING FUND,,,2784,ACQUISITION OF ASSETS,2784,21452.99,21452.99,ok,segment
PHOTOGRAPHIC STUDIO Funding Year X (REVOLVING) SENATE PHOTOGRAPHIC STUDIO REVOLVING FUND,,,2785,ACQUISITION OF ASSETS,2785,11675.37,11675.37,ok,segment
RECORDING STUDIO Funding Year X (REVOLVING) SENATE RECORDING STUDIO REVOLVING FUND,,,2786,OTHER CONTRACTUAL SERVICES,2786,-22507.75,-22507.75,ok,segment
DANIEL WEBSTER SENATE PAGE RESIDENCE Funding Year X (REVOLVING) DANIEL WEBSTER SENATE PAGE RESIDENCE REVOLVING FUND,,,2787,OTHER CONTRACTUAL SERVICES,2788,68320.96,68320.96,ok,segment
SENATE HAIR CARE Funding Year X (REVOLVING) SENATE HAIR CARE SERVICES REVOLVING FUND,,,2789,OTHER CONTRACTUAL SERVICES,2790,158071.54,158071.54,ok,segment
"AGRICULTURE, NUTRITION AND FORESTRY S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2795,PERSONNEL COMP. FULL-TIME PERMANENT,2797,3347530.1,3347530.1,ok,segment
"AGRICULTURE, NUTRITION AND FORESTRY S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2795,RE-EMPLOYED ANNUITANTS,2797,25380.0,0.0,no_records,segment
"AGRICULTURE, NUTRITION AND FORESTRY S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2795,PERSONNEL BENEFITS,2797,4831.15,0.0,no_records,segment
"AGRICULTURE, NUTRITION AND FORESTRY S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2795,NET PAYROLL EXPENSES,2797,3377741.25,3347530.1,fail,block_running_total
"AGRICULTURE, NUTRITION AND FORESTRY S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2795,TRAVEL AND TRANSPORTATION OF PERSONS,2803,58124.54,58124.54,ok,segment
"AGRICULTURE, NUTRITION AND FORESTRY S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2795,OTHER CONTRACTUAL SERVICES,2803,10414.0,10414.0,ok,segment
"AGRICULTURE, NUTRITION AND FORESTRY S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2795,ACQUISITION OF ASSETS,2803,16147.49,16147.49,ok,segment
ARMED SERVICES S.RES. 70C (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2804,OTHER CONTRACTUAL SERVICES,2804,4024.0,4024.0,ok,segment
ARMED SERVICES S.RES. 70D (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2805,OTHER CONTRACTUAL SERVICES,2805,1936.0,1936.0,ok,segment
ARMED SERVICES S.RES. 59B (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2806,OTHER CONTRACTUAL SERVICES,2806,10248.0,10248.0,ok,segment
ARMED SERVICES S.RES. 59B (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2806,ACQUISITION OF ASSETS,2806,1680.68,1680.68,ok,segment
ARMED SERVICES S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2807,PERSONNEL COMP. FULL-TIME PERMANENT,2808,4259523.31,4259523.31,ok,segment
ARMED SERVICES S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2807,PERSONNEL BENEFITS,2808,6543.75,0.0,no_records,segment
ARMED SERVICES S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2807,NET PAYROLL EXPENSES,2808,4266067.06,4259523.31,fail,block_running_total
ARMED SERVICES S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2807,TRAVEL AND TRANSPORTATION OF PERSONS,2808,23.23,23.23,ok,segment
ARMED SERVICES S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2807,OTHER CONTRACTUAL SERVICES,2808,4704.0,4704.0,ok,segment
ARMED SERVICES S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2807,ACQUISITION OF ASSETS,2809,34366.0,34366.0,ok,segment
"BANKING, HOUSING AND URBAN AFFAIRS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2813,PERSONNEL COMP. FULL-TIME PERMANENT,2815,3801011.8,3801011.8,ok,segment
"BANKING, HOUSING AND URBAN AFFAIRS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2813,PERSONNEL BENEFITS,2815,5725.36,0.0,no_records,segment
"BANKING, HOUSING AND URBAN AFFAIRS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2813,NET PAYROLL EXPENSES,2815,3806737.16,3801011.8,fail,block_running_total
"BANKING, HOUSING AND URBAN AFFAIRS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2813,TRAVEL AND TRANSPORTATION OF PERSONS,2816,14044.28,14044.28,ok,segment
"BANKING, HOUSING AND URBAN AFFAIRS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2813,OTHER CONTRACTUAL SERVICES,2817,15321.08,15321.08,ok,segment
"BANKING, HOUSING AND URBAN AFFAIRS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2813,ACQUISITION OF ASSETS,2817,30488.24,30488.24,ok,segment
BUDGET S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2821,PERSONNEL COMP. FULL-TIME PERMANENT,2822,3054018.1,3054018.1,ok,segment
BUDGET S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2821,PERSONNEL BENEFITS,2822,6874.45,0.0,no_records,segment
BUDGET S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2821,NET PAYROLL EXPENSES,2822,3060892.55,3054018.1,fail,block_running_total
BUDGET S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2821,TRAVEL AND TRANSPORTATION OF PERSONS,2822,2015.15,2015.15,ok,segment
BUDGET S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2821,OTHER CONTRACTUAL SERVICES,2823,23318.0,23318.0,ok,segment
BUDGET S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,,2821,ACQUISITION OF ASSETS,2823,999.96,999.96,ok,segment
"COMMERCE, SCIENCE AND TRANSPORTATION S.RES. 59B (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,,2826,OTHER CONTRACTUAL SERVICES,2826,720.0,720.0,ok,segment
