office,funding_year,start_page,status,banner_status,record_count,page_count,continuation_page_count,subtotal_count,rows_quarantined,records_checked,dollars_checked,dollars_unchecked,amount_parse_failures,pages_skipped
SENATOR MARK KELLY,2022,1514,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
INTERN COMPENSATION - KELLY,2022,1515,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR MARK KELLY,2023,1516,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
INTERN COMPENSATION - KELLY,2023,1517,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR MARK KELLY,2024,1518,ok,fail,487,16,15,6,0,487,2342437.21,0.0,0,0
INTERN COMPENSATION - KELLY,2024,1534,ok,fail,9,1,0,2,0,9,20772.95,0.0,0,0
SENATOR JOHN N. KENNEDY,2022,1535,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
INTERN COMPENSATION - KENNEDY,2022,1536,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR JOHN N. KENNEDY,2023,1537,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
INTERN COMPENSATION - KENNEDY,2023,1538,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR JOHN N. KENNEDY,2024,1539,ok,fail,914,35,34,6,0,914,2184155.96,0.0,0,0
INTERN COMPENSATION - KENNEDY,2024,1574,ok,fail,22,1,0,2,0,22,38999.92,0.0,0,0
SENATOR ANGUS KING,2022,1575,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
INTERN COMPENSATION - KING,2022,1576,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR ANGUS KING,2023,1577,ok,warn,0,1,0,0,0,0,0.0,0.0,0,0
INTERN COMPENSATION - KING,2023,1578,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR ANGUS KING,2024,1579,ok,warn,312,12,11,7,0,312,1986644.32,0.0,0,0
INTERN COMPENSATION - KING,2024,1591,ok,ok,6,1,0,2,0,6,14093.66,0.0,0,0
SENATOR AMY KLOBUCHAR,2022,1592,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
INTERN COMPENSATION - KLOBUCHAR,2022,1593,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR AMY KLOBUCHAR,2023,1594,ok,banner_missing,1,1,0,1,0,1,39.95,0.0,0,0
INTERN COMPENSATION - KLOBUCHAR,2023,1595,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR AMY KLOBUCHAR,2024,1596,ok,fail,507,19,18,6,0,507,2188857.97,0.0,0,0
INTERN COMPENSATION - KLOBUCHAR,2024,1615,ok,fail,10,1,0,2,0,10,12083.29,0.0,0,0
SENATOR JAMES LANKFORD,2022,1616,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
