source_doc,source_pdf,source_page,reference_page,classification,assigned_to_block,block_start_page,block_reference_start,office,funding_year,word_count,visual_row_count,reason
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,1,1496,other,False,,,,,30,17,non_data
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,2,1497,other,False,,,,,0,0,non_data
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,3,1498,other,False,,,,,1,1,non_data
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,4,1499,other,False,,,,,0,0,non_data
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,5,1500,toc,False,,,,,93,67,non_data
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,6,1501,toc,False,,,,,68,64,non_data
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,7,1502,toc,False,,,,,67,58,non_data
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,8,1503,toc,False,,,,,99,46,non_data
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,9,1504,other,False,,,,,40,32,non_data
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,10,1505,other,False,,,,,0,0,non_data
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,11,1506,other,False,,,,,115,37,non_data
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,12,1507,other,False,,,,,248,45,non_data
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,13,1508,other,False,,,,,207,38,non_data
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,14,1509,other,False,,,,,155,35,non_data
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,15,1510,other,False,,,,,166,46,non_data
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,16,1511,other,False,,,,,139,47,non_data
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,17,1512,other,False,,,,,30,9,non_data
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,18,1513,other,False,,,,,0,0,non_data
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,19,1514,banner,True,19,1514,SENATOR MARK KELLY,2022,73,34,block_start
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,20,1515,banner,True,20,1515,INTERN COMPENSATION - KELLY,2022,55,28,block_start
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,21,1516,banner,True,21,1516,SENATOR MARK KELLY,2023,73,34,block_start
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,22,1517,banner,True,22,1517,INTERN COMPENSATION - KELLY,2023,55,28,block_start
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,23,1518,banner,True,23,1518,SENATOR MARK KELLY,2024,134,56,block_start
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,24,1519,data,True,23,1518,SENATOR MARK KELLY,2024,164,59,block_data
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,25,1520,data,True,23,1518,SENATOR MARK KELLY,2024,153,57,block_data
118sdoc13,GPO-CDOC-118sdoc13-2.pdf,26,1521,data,True,23,1518,SENATOR MARK KELLY,2024,180,58,block_data
