severity,reason,source_doc,source_pdf,reference_page,office,funding_year,label,expected,detail,exception_key
warning,banner_check_discrepancy,112sdoc4,GPO-CDOC-112sdoc4.pdf,19,CHAIRMAN MAJORITY CONFERENCE COMMITTEE (D),2011,BANNER ORGANIZATION TOTALS,2028.37,status=warn; banner=2028.37; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc4|banner_check_discrepancy|19|CHAIRMAN MAJORITY CONFERENCE COMMITTEE (D)|2011|BANNER ORGANIZATION TOTALS|2028.37
warning,banner_check_discrepancy,112sdoc4,GPO-CDOC-112sdoc4.pdf,22,CHAIRMAN MAJORITY POLICY COMMITTEE (D),2011,BANNER ORGANIZATION TOTALS,3500.23,status=warn; banner=3500.23; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc4|banner_check_discrepancy|22|CHAIRMAN MAJORITY POLICY COMMITTEE (D)|2011|BANNER ORGANIZATION TOTALS|3500.23
warning,banner_check_discrepancy,112sdoc4,GPO-CDOC-112sdoc4.pdf,25,MAJORITY LEADER (D),2011,BANNER ORGANIZATION TOTALS,21871.71,status=warn; banner=21871.71; parsed_body=150.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc4|banner_check_discrepancy|25|MAJORITY LEADER (D)|2011|BANNER ORGANIZATION TOTALS|21871.71
warning,banner_check_discrepancy,112sdoc4,GPO-CDOC-112sdoc4.pdf,28,MAJORITY WHIP (D),2011,BANNER ORGANIZATION TOTALS,5935.98,status=warn; banner=5935.98; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc4|banner_check_discrepancy|28|MAJORITY WHIP (D)|2011|BANNER ORGANIZATION TOTALS|5935.98
warning,banner_check_discrepancy,112sdoc4,GPO-CDOC-112sdoc4.pdf,31,OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2011,BANNER ORGANIZATION TOTALS,2884.76,status=warn; banner=2884.76; parsed_body=168.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc4|banner_check_discrepancy|31|OFFICE OF THE VICE PRESIDENT (D) - BIDEN|2011|BANNER ORGANIZATION TOTALS|2884.76
warning,banner_check_discrepancy,112sdoc4,GPO-CDOC-112sdoc4.pdf,34,PRESIDENT PRO TEMPORE (D),2011,BANNER ORGANIZATION TOTALS,6416.29,status=warn; banner=6416.29; parsed_body=480.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc4|banner_check_discrepancy|34|PRESIDENT PRO TEMPORE (D)|2011|BANNER ORGANIZATION TOTALS|6416.29
warning,banner_check_discrepancy,112sdoc4,GPO-CDOC-112sdoc4.pdf,38,MINORITY LEADER (R),2011,BANNER ORGANIZATION TOTALS,6645.09,status=warn; banner=6645.09; parsed_body=175.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc4|banner_check_discrepancy|38|MINORITY LEADER (R)|2011|BANNER ORGANIZATION TOTALS|6645.09
warning,banner_check_discrepancy,112sdoc4,GPO-CDOC-112sdoc4.pdf,39,MINORITY WHIP (R),2009,BANNER ORGANIZATION TOTALS,2347.14,status=warn; banner=2347.14; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc4|banner_check_discrepancy|39|MINORITY WHIP (R)|2009|BANNER ORGANIZATION TOTALS|2347.14
warning,banner_check_discrepancy,112sdoc4,GPO-CDOC-112sdoc4.pdf,40,MINORITY WHIP (R),2010,BANNER ORGANIZATION TOTALS,2921.47,status=warn; banner=2921.47; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc4|banner_check_discrepancy|40|MINORITY WHIP (R)|2010|BANNER ORGANIZATION TOTALS|2921.47
warning,banner_check_discrepancy,112sdoc4,GPO-CDOC-112sdoc4.pdf,41,MINORITY WHIP (R),2011,BANNER ORGANIZATION TOTALS,2537.81,status=warn; banner=2537.81; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,112sdoc4|banner_check_discrepancy|41|MINORITY WHIP (R)|2011|BANNER ORGANIZATION TOTALS|2537.81
