senator_name,funding_year,start_page,record_count,outcome
JAMES LANKFORD,2023,1408,142,no_matcher
JAMES LANKFORD,2024,1416,535,no_matcher
MIKE LEE,2023,1446,68,no_matcher
MIKE LEE,2024,1451,309,no_matcher
BEN RAY LUJAN,2023,1465,101,no_matcher
BEN RAY LUJAN,2024,1471,183,no_matcher
CYNTHIA LUMMIS,2023,1481,79,no_matcher
CYNTHIA LUMMIS,2024,1485,455,no_matcher
JOE MANCHIN,2022,1501,1,no_matcher
JOE MANCHIN,2023,1503,66,no_matcher
JOE MANCHIN,2024,1508,269,no_matcher
EDWARD MARKEY,2022,1520,9,no_matcher
EDWARD MARKEY,2023,1522,32,no_matcher
EDWARD MARKEY,2024,1525,147,no_matcher
ROGER MARSHALL,2022,1532,1,no_matcher
ROGER MARSHALL,2023,1534,176,no_matcher
ROGER MARSHALL,2024,1542,409,no_matcher
"A. MITCHELL MCCONNELL, JR.",2023,1559,39,no_matcher
"A. MITCHELL MCCONNELL, JR.",2024,1563,387,no_matcher
ROBERT MENENDEZ,2023,1582,37,no_matcher
ROBERT MENENDEZ,2024,1585,191,no_matcher
JEFF MERKLEY,2023,1595,38,no_matcher
JEFF MERKLEY,2024,1598,189,no_matcher
JERRY MORAN,2023,1608,106,no_matcher
JERRY MORAN,2024,1614,632,no_matcher
MARKWAYNE MULLIN,2023,1637,43,no_matcher
MARKWAYNE MULLIN,2024,1641,221,no_matcher
LISA MURKOWSKI,2022,1652,6,no_matcher
LISA MURKOWSKI,2023,1654,59,no_matcher
LISA MURKOWSKI,2024,1658,329,no_matcher
CHRIS MURPHY,2023,1672,39,no_matcher
CHRIS MURPHY,2024,1676,490,no_matcher
PATTY MURRAY,2023,1698,60,no_matcher
PATTY MURRAY,2024,1702,397,no_matcher
JON OSSOFF,2023,1718,162,no_matcher
JON OSSOFF,2024,1725,602,no_matcher
ALEX PADILLA,2023,1748,19,no_matcher
ALEX PADILLA,2024,1751,286,no_matcher
RAND PAUL,2023,1766,147,no_matcher
RAND PAUL,2024,1773,652,no_matcher
GARY PETERS,2023,1799,255,no_matcher
GARY PETERS,2024,1810,299,no_matcher
JOHN F. REED,2023,1828,20,no_matcher
JOHN F. REED,2024,1831,92,no_matcher
JOHN PETER RICKETTS,2023,1836,58,no_matcher
JOHN PETER RICKETTS,2024,1840,321,no_matcher
JAMES E. RISCH,2023,1855,44,no_matcher
JAMES E. RISCH,2024,1859,257,no_matcher
MITT ROMNEY,2023,1871,50,no_matcher
MITT ROMNEY,2024,1875,363,no_matcher
JACKY ROSEN,2023,1890,56,no_matcher
JACKY ROSEN,2024,1894,230,no_matcher
MIKE ROUNDS,2022,1904,1,no_matcher
MIKE ROUNDS,2023,1906,38,no_matcher
MIKE ROUNDS,2024,1909,527,no_matcher
MARCO RUBIO,2022,1928,5,no_matcher
MARCO RUBIO,2023,1930,90,no_matcher
MARCO RUBIO,2024,1936,495,no_matcher
BERNARD SANDERS,2023,1957,5,no_matcher
BERNARD SANDERS,2024,1960,207,no_matcher
BRIAN SCHATZ,2022,1973,1,no_matcher
BRIAN SCHATZ,2023,1975,19,no_matcher
BRIAN SCHATZ,2024,1978,130,no_matcher
ERIC SCHMITT,2023,1984,53,no_matcher
ERIC SCHMITT,2024,1988,487,no_matcher
CHARLES E. SCHUMER,2022,2008,1,no_matcher
CHARLES E. SCHUMER,2023,2010,51,no_matcher
CHARLES E. SCHUMER,2024,2014,245,no_matcher
RICK SCOTT,2023,2027,23,no_matcher
RICK SCOTT,2024,2030,353,no_matcher
TIM SCOTT,2023,2045,15,no_matcher
TIM SCOTT,2024,2048,301,no_matcher
JEANNE SHAHEEN,2023,2064,21,no_matcher
JEANNE SHAHEEN,2024,2067,189,no_matcher
KYRSTEN SINEMA,2022,2081,9,no_matcher
KYRSTEN SINEMA,2023,2083,55,no_matcher
KYRSTEN SINEMA,2024,2087,440,no_matcher
TINA SMITH,2023,2106,33,no_matcher
TINA SMITH,2024,2109,322,no_matcher
DEBBIE A. STABENOW,2023,2124,61,no_matcher
DEBBIE A. STABENOW,2024,2129,225,no_matcher
DAN SULLIVAN,2023,2141,83,no_matcher
DAN SULLIVAN,2024,2146,193,no_matcher
JON TESTER,2023,2156,57,no_matcher
JON TESTER,2024,2160,339,no_matcher
JOHN R. THUNE,2023,2174,23,no_matcher
JOHN R. THUNE,2024,2177,130,no_matcher
THOM TILLIS,2023,2185,44,no_matcher
THOM TILLIS,2024,2189,513,no_matcher
PATRICK J. TOOMEY,2022,2210,2,no_matcher
PATRICK J. TOOMEY,2023,2212,1,no_matcher
TOMMY TUBERVILLE,2022,2214,1,no_matcher
TOMMY TUBERVILLE,2023,2216,41,no_matcher
TOMMY TUBERVILLE,2024,2220,258,no_matcher
JD VANCE,2023,2231,91,no_matcher
JD VANCE,2024,2236,539,no_matcher
CHRIS VAN HOLLEN,2023,2259,41,no_matcher
CHRIS VAN HOLLEN,2024,2263,398,no_matcher
MARK WARNER,2022,2280,27,no_matcher
MARK WARNER,2023,2283,125,no_matcher
MARK WARNER,2024,2290,339,no_matcher
RAPHAEL WARNOCK,2023,2306,181,no_matcher
RAPHAEL WARNOCK,2024,2314,623,no_matcher
ELIZABETH WARREN,2023,2340,45,no_matcher
ELIZABETH WARREN,2024,2344,311,no_matcher
PETER WELCH,2023,2356,44,no_matcher
PETER WELCH,2024,2359,272,no_matcher
SHELDON WHITEHOUSE,2022,2370,5,no_matcher
SHELDON WHITEHOUSE,2023,2372,87,no_matcher
SHELDON WHITEHOUSE,2024,2377,248,no_matcher
ROGER WICKER,2023,2389,81,no_matcher
ROGER WICKER,2024,2394,236,no_matcher
RON WYDEN,2023,2406,22,no_matcher
RON WYDEN,2024,2409,297,no_matcher
TODD YOUNG,2023,2422,108,no_matcher
TODD YOUNG,2024,2428,336,no_matcher
