severity,reason,source_doc,source_pdf,reference_page,office,funding_year,label,expected,detail,exception_key
warning,banner_check_missing,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2545,FINANCE S.RES. 70C (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_missing|2545|FINANCE S.RES. 70C (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER NET PAYROLL|0.0
warning,banner_check_missing,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2546,FINANCE S.RES. 70D (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_missing|2546|FINANCE S.RES. 70D (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER NET PAYROLL|0.0
warning,banner_check_discrepancy,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2547,FINANCE S.RES. 59B (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,BANNER NET PAYROLL,411.93,status=fail; banner=411.93; parsed_body=889.71. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_discrepancy|2547|FINANCE S.RES. 59B (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER NET PAYROLL|411.93
warning,banner_check_discrepancy,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2547,FINANCE S.RES. 59B (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,BANNER ORGANIZATION TOTALS,38928.83,status=fail; banner=38928.83; parsed_body=23147.72. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_discrepancy|2547|FINANCE S.RES. 59B (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER ORGANIZATION TOTALS|38928.83
warning,banner_check_discrepancy,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2549,FINANCE S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,BANNER ORGANIZATION TOTALS,5132405.1,status=warn; banner=5132405.1; parsed_body=5105710.11. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_discrepancy|2549|FINANCE S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER ORGANIZATION TOTALS|5132405.1
warning,banner_check_missing,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2553,FOREIGN RELATIONS S.RES. 70C (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_missing|2553|FOREIGN RELATIONS S.RES. 70C (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER NET PAYROLL|0.0
warning,banner_check_discrepancy,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2553,FOREIGN RELATIONS S.RES. 70C (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,BANNER ORGANIZATION TOTALS,409.45,status=fail; banner=409.45; parsed_body=1059.04. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_discrepancy|2553|FOREIGN RELATIONS S.RES. 70C (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER ORGANIZATION TOTALS|409.45
warning,banner_check_missing,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2554,FOREIGN RELATIONS S.RES. 70D (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_missing|2554|FOREIGN RELATIONS S.RES. 70D (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER NET PAYROLL|0.0
warning,banner_check_discrepancy,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2555,FOREIGN RELATIONS S.RES. 59B (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,BANNER ORGANIZATION TOTALS,89388.83,status=fail; banner=89388.83; parsed_body=31097.34. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_discrepancy|2555|FOREIGN RELATIONS S.RES. 59B (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER ORGANIZATION TOTALS|89388.83
warning,banner_check_discrepancy,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2557,FOREIGN RELATIONS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,BANNER ORGANIZATION TOTALS,4336858.56,status=warn; banner=4336858.56; parsed_body=4280365.7. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_discrepancy|2557|FOREIGN RELATIONS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER ORGANIZATION TOTALS|4336858.56
warning,banner_check_missing,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2566,HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS S.RES. 70C (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_missing|2566|HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS S.RES. 70C (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER NET PAYROLL|0.0
warning,banner_check_missing,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2567,HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS S.RES. 70D (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_missing|2567|HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS S.RES. 70D (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER NET PAYROLL|0.0
warning,banner_check_missing,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2568,HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS S.RES. 59B (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,BANNER NET PAYROLL,1021.15,status=banner_missing; banner=1021.15; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_missing|2568|HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS S.RES. 59B (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER NET PAYROLL|1021.15
warning,banner_check_discrepancy,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2568,HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS S.RES. 59B (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,BANNER ORGANIZATION TOTALS,297355.41,status=warn; banner=297355.41; parsed_body=36597.45. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_discrepancy|2568|HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS S.RES. 59B (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER ORGANIZATION TOTALS|297355.41
warning,banner_check_discrepancy,118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2572,HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,BANNER NET PAYROLL,4706581.24,status=fail; banner=4706581.24; parsed_body=4707602.39. Banner checks are advisory; review against the source before treating this as a parser defect.,118sdoc11|banner_check_discrepancy|2572|HOMELAND SECURITY AND GOVERNMENTAL AFFAIRS S.RES. 59C (118TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS||BANNER NET PAYROLL|4706581.24
