source_doc,source_pdf,source_page,reference_page,classification,assigned_to_block,block_start_page,block_reference_start,office,funding_year,word_count,visual_row_count,reason
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,1,1,other,False,,,,,30,17,non_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,2,2,other,False,,,,,0,0,non_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,3,3,other,False,,,,,604,27,non_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,4,4,other,False,,,,,0,0,non_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,5,5,toc,False,,,,,129,72,non_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,6,6,toc,False,,,,,66,62,non_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,7,7,toc,False,,,,,66,57,non_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,8,8,toc,False,,,,,99,46,non_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,9,9,other,False,,,,,40,32,non_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,10,10,other,False,,,,,0,0,non_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,11,11,other,False,,,,,166,47,non_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,12,12,other,False,,,,,173,31,non_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,13,13,other,False,,,,,199,37,non_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,14,14,other,False,,,,,155,36,non_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,15,15,other,False,,,,,166,45,non_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,16,16,other,False,,,,,139,46,non_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,17,17,other,False,,,,,30,9,non_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,18,18,other,False,,,,,0,0,non_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,19,19,banner,True,19,19,SENATOR JAMES LANKFORD,2022,73,33,block_start
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,20,20,banner,True,20,20,INTERN COMPENSATION - LANKFORD,2022,55,28,block_start
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,21,21,banner,True,21,21,SENATOR JAMES LANKFORD,2023,145,54,block_start
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,22,22,data,True,21,21,SENATOR JAMES LANKFORD,2023,211,58,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,23,23,data,True,21,21,SENATOR JAMES LANKFORD,2023,203,58,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,24,24,data,True,21,21,SENATOR JAMES LANKFORD,2023,179,60,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,25,25,data,True,21,21,SENATOR JAMES LANKFORD,2023,189,59,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,26,26,data,True,21,21,SENATOR JAMES LANKFORD,2023,222,57,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,27,27,data,True,21,21,SENATOR JAMES LANKFORD,2023,48,16,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,28,28,banner,True,28,28,INTERN COMPENSATION - LANKFORD,2023,55,28,block_start
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,29,29,banner,True,29,29,SENATOR JAMES LANKFORD,2024,136,54,block_start
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,30,30,data,True,29,29,SENATOR JAMES LANKFORD,2024,178,56,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,31,31,data,True,29,29,SENATOR JAMES LANKFORD,2024,183,57,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,32,32,data,True,29,29,SENATOR JAMES LANKFORD,2024,177,60,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,33,33,data,True,29,29,SENATOR JAMES LANKFORD,2024,204,58,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,34,34,data,True,29,29,SENATOR JAMES LANKFORD,2024,185,60,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,35,35,data,True,29,29,SENATOR JAMES LANKFORD,2024,202,59,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,36,36,data,True,29,29,SENATOR JAMES LANKFORD,2024,194,59,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,37,37,data,True,29,29,SENATOR JAMES LANKFORD,2024,184,59,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,38,38,data,True,29,29,SENATOR JAMES LANKFORD,2024,200,58,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,39,39,data,True,29,29,SENATOR JAMES LANKFORD,2024,188,60,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,40,40,data,True,29,29,SENATOR JAMES LANKFORD,2024,196,59,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,41,41,data,True,29,29,SENATOR JAMES LANKFORD,2024,204,58,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,42,42,data,True,29,29,SENATOR JAMES LANKFORD,2024,187,58,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,43,43,data,True,29,29,SENATOR JAMES LANKFORD,2024,191,55,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,44,44,data,True,29,29,SENATOR JAMES LANKFORD,2024,195,57,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,45,45,data,True,29,29,SENATOR JAMES LANKFORD,2024,189,61,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,46,46,data,True,29,29,SENATOR JAMES LANKFORD,2024,187,56,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,47,47,data,True,29,29,SENATOR JAMES LANKFORD,2024,186,58,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,48,48,data,True,29,29,SENATOR JAMES LANKFORD,2024,217,58,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,49,49,data,True,29,29,SENATOR JAMES LANKFORD,2024,186,58,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,50,50,data,True,29,29,SENATOR JAMES LANKFORD,2024,197,59,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,51,51,data,True,29,29,SENATOR JAMES LANKFORD,2024,135,33,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,52,52,banner,True,52,52,INTERN COMPENSATION - LANKFORD,2024,83,37,block_start
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,53,53,banner,True,53,53,SENATOR PATRICK J. LEAHY,2022,73,33,block_start
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,54,54,banner,True,54,54,INTERN COMPENSATION - LEAHY,2022,55,28,block_start
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,55,55,banner,True,55,55,SENATOR PATRICK J. LEAHY,2023,73,33,block_start
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,56,56,banner,True,56,56,INTERN COMPENSATION - LEAHY,2023,55,28,block_start
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,57,57,banner,True,57,57,SENATOR MIKE LEE,2022,73,33,block_start
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,58,58,banner,True,58,58,INTERN COMPENSATION - LEE,2022,55,28,block_start
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,59,59,banner,True,59,59,SENATOR MIKE LEE,2023,130,51,block_start
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,60,60,data,True,59,59,SENATOR MIKE LEE,2023,163,57,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,61,61,data,True,59,59,SENATOR MIKE LEE,2023,220,57,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,62,62,data,True,59,59,SENATOR MIKE LEE,2023,74,19,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,63,63,banner,True,63,63,INTERN COMPENSATION - LEE,2023,55,28,block_start
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,64,64,banner,True,64,64,SENATOR MIKE LEE,2024,136,52,block_start
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,65,65,data,True,64,64,SENATOR MIKE LEE,2024,177,56,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,66,66,data,True,64,64,SENATOR MIKE LEE,2024,190,58,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,67,67,data,True,64,64,SENATOR MIKE LEE,2024,197,58,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,68,68,data,True,64,64,SENATOR MIKE LEE,2024,189,58,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,69,69,data,True,64,64,SENATOR MIKE LEE,2024,196,58,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,70,70,data,True,64,64,SENATOR MIKE LEE,2024,194,59,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,71,71,data,True,64,64,SENATOR MIKE LEE,2024,189,59,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,72,72,data,True,64,64,SENATOR MIKE LEE,2024,184,59,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,73,73,data,True,64,64,SENATOR MIKE LEE,2024,177,58,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,74,74,data,True,64,64,SENATOR MIKE LEE,2024,156,38,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,75,75,banner,True,75,75,INTERN COMPENSATION - LEE,2024,89,39,block_start
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,76,76,banner,True,76,76,SENATOR BEN RAY LUJAN,2022,73,33,block_start
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,77,77,banner,True,77,77,INTERN COMPENSATION - LUJAN,2022,55,28,block_start
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,78,78,banner,True,78,78,SENATOR BEN RAY LUJAN,2023,141,53,block_start
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,79,79,data,True,78,78,SENATOR BEN RAY LUJAN,2023,164,59,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,80,80,data,True,78,78,SENATOR BEN RAY LUJAN,2023,172,58,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,81,81,data,True,78,78,SENATOR BEN RAY LUJAN,2023,202,57,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,82,82,data,True,78,78,SENATOR BEN RAY LUJAN,2023,39,14,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,83,83,banner,True,83,83,INTERN COMPENSATION - LUJAN,2023,55,28,block_start
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,84,84,banner,True,84,84,SENATOR BEN RAY LUJAN,2024,136,52,block_start
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,85,85,data,True,84,84,SENATOR BEN RAY LUJAN,2024,164,56,block_data
118sdoc11,GPO-CDOC-118sdoc11-2.pdf,86,86,data,True,84,84,SENATOR BEN RAY LUJAN,2024,200,58,block_data
