senator_name,funding_year,start_page,record_count,outcome
MARTIN HEINRICH,2020,1059,1,no_matcher
MARTIN HEINRICH,2021,1061,269,no_matcher
JOHN HICKENLOOPER,2021,1076,182,no_matcher
MAZIE HIRONO,2019,1084,1,no_matcher
MAZIE HIRONO,2020,1086,2,no_matcher
MAZIE HIRONO,2021,1088,80,no_matcher
JOHN HOEVEN,2021,1096,159,no_matcher
CINDY HYDE-SMITH,2020,1105,1,no_matcher
CINDY HYDE-SMITH,2021,1107,224,no_matcher
JAMES M. INHOFE,2020,1119,2,no_matcher
JAMES M. INHOFE,2021,1121,790,no_matcher
RON JOHNSON,2020,1155,1,no_matcher
RON JOHNSON,2021,1157,265,no_matcher
DOUG JONES,2021,1172,1,no_matcher
TIM KAINE,2020,1176,7,no_matcher
TIM KAINE,2021,1178,210,no_matcher
MARK KELLY,2021,1187,199,no_matcher
JOHN N. KENNEDY,2020,1197,3,no_matcher
JOHN N. KENNEDY,2021,1199,668,no_matcher
ANGUS KING,2021,1230,211,no_matcher
AMY KLOBUCHAR,2020,1241,4,no_matcher
AMY KLOBUCHAR,2021,1243,372,no_matcher
JAMES LANKFORD,2021,1262,416,no_matcher
PATRICK J. LEAHY,2021,1284,80,no_matcher
MIKE LEE,2019,1288,1,no_matcher
MIKE LEE,2020,1290,1,no_matcher
MIKE LEE,2021,1292,310,no_matcher
KELLY LOEFFLER,2021,1307,1,no_matcher
BEN RAY LUJAN,2021,1309,225,no_matcher
CYNTHIA LUMMIS,2021,1318,454,no_matcher
JOE MANCHIN,2020,1336,12,no_matcher
JOE MANCHIN,2021,1339,254,no_matcher
EDWARD MARKEY,2020,1353,5,no_matcher
EDWARD MARKEY,2021,1355,121,no_matcher
ROGER MARSHALL,2021,1361,579,no_matcher
"A. MITCHELL MCCONNELL, JR.",2021,1388,404,no_matcher
ROBERT MENENDEZ,2021,1416,111,no_matcher
JEFF MERKLEY,2020,1423,3,no_matcher
JEFF MERKLEY,2021,1425,200,no_matcher
JERRY MORAN,2020,1436,13,no_matcher
JERRY MORAN,2021,1439,560,no_matcher
LISA MURKOWSKI,2019,1459,3,no_matcher
LISA MURKOWSKI,2020,1461,1,no_matcher
LISA MURKOWSKI,2021,1463,254,no_matcher
CHRIS MURPHY,2020,1475,1,no_matcher
CHRIS MURPHY,2021,1477,254,no_matcher
PATTY MURRAY,2020,1490,4,no_matcher
PATTY MURRAY,2021,1492,92,no_matcher
JON OSSOFF,2021,1499,327,no_matcher
ALEX PADILLA,2021,1511,265,no_matcher
RAND PAUL,2021,1525,673,no_matcher
DAVID PERDUE,2021,1555,1,no_matcher
GARY PETERS,2021,1561,222,no_matcher
ROB PORTMAN,2021,1574,286,no_matcher
JOHN F. REED,2020,1589,1,no_matcher
JOHN F. REED,2021,1591,97,no_matcher
JAMES E. RISCH,2021,1600,266,no_matcher
PAT ROBERTS,2021,1614,1,no_matcher
MITT ROMNEY,2020,1618,8,no_matcher
MITT ROMNEY,2021,1620,396,no_matcher
JACKY ROSEN,2021,1639,155,no_matcher
MIKE ROUNDS,2021,1650,438,no_matcher
MARCO RUBIO,2019,1666,2,no_matcher
MARCO RUBIO,2021,1670,362,no_matcher
BERNARD SANDERS,2020,1687,12,no_matcher
BERNARD SANDERS,2021,1690,117,no_matcher
BEN SASSE,2019,1696,15,no_matcher
BEN SASSE,2020,1699,15,no_matcher
BEN SASSE,2021,1702,223,no_matcher
BRIAN SCHATZ,2020,1714,5,no_matcher
BRIAN SCHATZ,2021,1716,103,no_matcher
CHARLES E. SCHUMER,2019,1721,1,no_matcher
CHARLES E. SCHUMER,2020,1723,2,no_matcher
CHARLES E. SCHUMER,2021,1725,265,no_matcher
RICK SCOTT,2020,1739,24,no_matcher
RICK SCOTT,2021,1742,179,no_matcher
TIM SCOTT,2020,1752,1,no_matcher
TIM SCOTT,2021,1754,257,no_matcher
JEANNE SHAHEEN,2021,1771,166,no_matcher
RICHARD C. SHELBY,2021,1784,100,no_matcher
KYRSTEN SINEMA,2021,1793,224,no_matcher
TINA SMITH,2019,1802,1,no_matcher
TINA SMITH,2021,1806,151,no_matcher
DEBBIE A. STABENOW,2020,1815,1,no_matcher
DEBBIE A. STABENOW,2021,1817,148,no_matcher
DAN SULLIVAN,2020,1826,3,no_matcher
DAN SULLIVAN,2021,1828,207,no_matcher
JON TESTER,2021,1841,274,no_matcher
JOHN R. THUNE,2019,1851,2,no_matcher
JOHN R. THUNE,2020,1853,3,no_matcher
JOHN R. THUNE,2021,1855,124,no_matcher
THOM TILLIS,2020,1863,3,no_matcher
THOM TILLIS,2021,1865,437,no_matcher
PATRICK J. TOOMEY,2021,1887,310,no_matcher
TOMMY TUBERVILLE,2021,1900,434,no_matcher
TOM UDALL,2021,1922,1,no_matcher
CHRIS VAN HOLLEN,2019,1924,1,no_matcher
CHRIS VAN HOLLEN,2020,1926,7,no_matcher
CHRIS VAN HOLLEN,2021,1928,157,no_matcher
MARK WARNER,2021,1939,273,no_matcher
RAPHAEL WARNOCK,2021,1951,541,no_matcher
ELIZABETH WARREN,2021,1976,145,no_matcher
SHELDON WHITEHOUSE,2021,1986,118,no_matcher
ROGER WICKER,2020,1993,3,no_matcher
ROGER WICKER,2021,1995,225,no_matcher
RON WYDEN,2021,2009,228,no_matcher
TODD YOUNG,2020,2020,2,no_matcher
TODD YOUNG,2021,2022,176,no_matcher
