office,funding_year,account,start_page,label,check_page,expected,actual,status,basis,second_opinion,independent_sum,context
SENATOR MARTIN HEINRICH,2019,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,17,BANNER NET PAYROLL,17,0.0,0.0,banner_missing,banner,,,
SENATOR MARTIN HEINRICH,2019,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,17,BANNER ORGANIZATION TOTALS,17,0.0,0.0,ok,banner,,,
INTERN COMPENSATION - HEINRICH,2019,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,18,BANNER NET PAYROLL,18,0.0,0.0,banner_missing,banner,,,
INTERN COMPENSATION - HEINRICH,2019,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,18,BANNER ORGANIZATION TOTALS,18,0.0,0.0,ok,banner,,,
SENATOR MARTIN HEINRICH,2020,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,19,ACQUISITION OF ASSETS,19,2386.96,2386.96,ok,segment,,,
SENATOR MARTIN HEINRICH,2020,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,19,BANNER NET PAYROLL,19,0.0,0.0,banner_missing,banner,,,
SENATOR MARTIN HEINRICH,2020,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,19,BANNER ORGANIZATION TOTALS,19,4284.35,2386.96,warn,banner,,,banner_only_categories
INTERN COMPENSATION - HEINRICH,2020,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,20,BANNER NET PAYROLL,20,0.0,0.0,banner_missing,banner,,,
INTERN COMPENSATION - HEINRICH,2020,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,20,BANNER ORGANIZATION TOTALS,20,0.0,0.0,ok,banner,,,
SENATOR MARTIN HEINRICH,2021,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,21,PERSONNEL COMP. FULL-TIME PERMANENT,22,1705704.26,1705704.26,ok,segment,,,
SENATOR MARTIN HEINRICH,2021,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,21,OTHER PERSONNEL COMPENSATION,22,0.0,0.0,no_records,segment,,,
SENATOR MARTIN HEINRICH,2021,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,21,NET PAYROLL EXPENSES,22,1705704.26,1705704.26,ok,block_running_total,,,
SENATOR MARTIN HEINRICH,2021,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,21,TRAVEL AND TRANSPORTATION OF PERSONS,30,40580.89,40580.89,ok,segment,,,
SENATOR MARTIN HEINRICH,2021,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,21,OTHER CONTRACTUAL SERVICES,30,2806.49,2806.49,ok,segment,,,
SENATOR MARTIN HEINRICH,2021,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,21,ACQUISITION OF ASSETS,30,14.99,14.99,ok,segment,,,
SENATOR MARTIN HEINRICH,2021,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,21,BANNER NET PAYROLL,21,1705704.26,1705704.26,ok,banner,,,
SENATOR MARTIN HEINRICH,2021,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,21,BANNER ORGANIZATION TOTALS,21,1784852.45,1749106.63,warn,banner,,,banner_only_categories
INTERN COMPENSATION - HEINRICH,2021,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,31,PERSONNEL COMP. FULL-TIME PERMANENT,31,33688.6,33688.6,ok,segment,,,
