office,funding_year,start_page,status,banner_status,record_count,rows_quarantined,records_checked,dollars_checked,dollars_unchecked,amount_parse_failures,pages_skipped
"COMMERCE, SCIENCE & TRANSPORTATION S.RES. 62D (115TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,2102,ok,banner_missing,0,0,0,0.0,0.0,0,0
"COMMERCE, SCIENCE & TRANSPORTATION S.RES. 70B (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,2103,ok,banner_missing,0,0,0,0.0,0.0,0,0
"COMMERCE, SCIENCE & TRANSPORTATION S.RES. 70C (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,2104,ok,banner_missing,0,0,0,0.0,0.0,0,0
"COMMERCE, SCIENCE & TRANSPORTATION S.RES. 70D (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,2105,ok,fail,0,0,0,0.0,0.0,0,0
"COMMERCE, SCIENCE & TRANSPORTATION S.RES. 70B (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS",,2106,ok,fail,147,0,147,3669246.69,0.0,0,0
ENERGY & NATURAL RESOURCES S.RES. 62D (115TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2111,ok,banner_missing,0,0,0,0.0,0.0,0,0
ENERGY & NATURAL RESOURCES S.RES. 70B (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2112,ok,banner_missing,1,0,1,1225.0,0.0,0,0
ENERGY & NATURAL RESOURCES S.RES. 70C (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2113,ok,banner_missing,12,0,12,11759.61,0.0,0,0
ENERGY & NATURAL RESOURCES S.RES. 70D (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2114,ok,fail,2,0,2,2691.11,0.0,0,0
ENERGY & NATURAL RESOURCES S.RES. 70B (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2115,ok,fail,108,0,108,2131947.34,0.0,0,0
ENVIRONMENT & PUBLIC WORKS S.RES. 62D (115TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2119,ok,banner_missing,0,0,0,0.0,0.0,0,0
ENVIRONMENT & PUBLIC WORKS S.RES. 70B (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2120,ok,banner_missing,0,0,0,0.0,0.0,0,0
ENVIRONMENT & PUBLIC WORKS S.RES. 70C (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2121,ok,fail,0,0,0,0.0,0.0,0,0
ENVIRONMENT & PUBLIC WORKS S.RES. 70D (116TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2122,ok,fail,0,0,0,0.0,0.0,0,0
ENVIRONMENT & PUBLIC WORKS S.RES. 70B (117TH) EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2123,ok,fail,98,0,98,2419200.9,0.0,0,0
ETHICS COMMITTEE ON ETHICS - FY 2019 EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2126,ok,banner_missing,0,0,0,0.0,0.0,0,0
ETHICS COMMITTEE ON ETHICS - FY 2020 EXPENSES OF INQUIRIES AND INVESTIGATIONS,,2127,ok,banner_missing,0,0,0,0.0,0.0,0,0
