source_doc,source_pdf,source_page,reference_page,classification,assigned_to_block,block_start_page,block_reference_start,office,funding_year,word_count,visual_row_count,reason
117sdoc8,GPO-CDOC-117sdoc8.pdf,10,10,other,False,,,,,51,36,non_data
117sdoc8,GPO-CDOC-117sdoc8.pdf,11,11,other,False,,,,,3,3,non_data
117sdoc8,GPO-CDOC-117sdoc8.pdf,12,12,other,False,,,,,3,3,non_data
117sdoc8,GPO-CDOC-117sdoc8.pdf,13,13,other,False,,,,,3,3,non_data
117sdoc8,GPO-CDOC-117sdoc8.pdf,14,14,other,False,,,,,3,3,non_data
117sdoc8,GPO-CDOC-117sdoc8.pdf,15,15,other,False,,,,,3,3,non_data
117sdoc8,GPO-CDOC-117sdoc8.pdf,16,16,other,False,,,,,0,0,non_data
117sdoc8,GPO-CDOC-117sdoc8.pdf,17,17,banner,True,17,17,OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2021,71,41,block_start
117sdoc8,GPO-CDOC-117sdoc8.pdf,18,18,banner,True,18,18,PRES PRO TEM EMERITUS (D),2019,53,33,block_start
117sdoc8,GPO-CDOC-117sdoc8.pdf,19,19,banner,True,19,19,PRES PRO TEM EMERITUS (D),2020,53,33,block_start
117sdoc8,GPO-CDOC-117sdoc8.pdf,20,20,banner,True,20,20,PRESIDENT PRO TEMPORE (D),2021,53,33,block_start
117sdoc8,GPO-CDOC-117sdoc8.pdf,21,21,banner,True,21,21,MINORITY LEADER (D),2019,56,35,block_start
117sdoc8,GPO-CDOC-117sdoc8.pdf,22,22,banner,True,22,22,MINORITY LEADER (D),2020,59,37,block_start
117sdoc8,GPO-CDOC-117sdoc8.pdf,23,23,banner,True,23,23,MAJORITY LEADER (D),2021,62,39,block_start
117sdoc8,GPO-CDOC-117sdoc8.pdf,24,24,banner,True,24,24,MINORITY WHIP (D),2019,59,37,block_start
117sdoc8,GPO-CDOC-117sdoc8.pdf,25,25,banner,True,25,25,MINORITY WHIP (D),2020,56,35,block_start
117sdoc8,GPO-CDOC-117sdoc8.pdf,26,26,banner,True,26,26,MAJORITY WHIP (D),2021,57,36,block_start
117sdoc8,GPO-CDOC-117sdoc8.pdf,27,27,banner,True,27,27,CHAIRMAN MINORITY CONFERENCE COMMITTEE (D),2019,58,37,block_start
