source_doc,source_pdf,source_page,reference_page,classification,assigned_to_block,block_start_page,block_reference_start,office,funding_year,word_count,visual_row_count,reason
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,83,83,banner,True,83,83,MAJORITY LEADER (D),2024,52,25,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,84,84,banner,True,84,84,MINORITY LEADER (D),2025,135,56,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,85,85,data,True,84,84,MINORITY LEADER (D),2025,63,25,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,86,86,banner,True,86,86,MAJORITY WHIP (D),2023,52,25,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,87,87,banner,True,87,87,MAJORITY WHIP (D),2024,52,25,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,88,88,banner,True,88,88,MINORITY WHIP (D),2025,130,52,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,89,89,banner,True,89,89,MAJORITY CONFERENCE COMMITTEE (D),2023,52,25,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,90,90,banner,True,90,90,MAJORITY CONFERENCE COMMITTEE (D),2024,52,25,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,91,91,banner,True,91,91,MINORITY CONFERENCE COMMITTEE (D),2025,119,48,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,92,92,banner,True,92,92,MAJORITY POLICY COMMITTEE (D),2023,52,25,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,93,93,banner,True,93,93,MAJORITY POLICY COMMITTEE (D),2024,52,25,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,94,94,banner,True,94,94,MINORITY POLICY COMMITTEE (D),2025,125,50,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,95,95,banner,True,95,95,"SECRETARY, MAJORITY CONFERENCE COMM (D)",2023,53,26,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,96,96,banner,True,96,96,"SECRETARY, MAJORITY CONFERENCE COMM (D)",2024,53,26,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,97,97,banner,True,97,97,"SECRETARY, MINORITY CONFERENCE COMM (D)",2025,87,38,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,98,98,banner,True,98,98,OFFICE OF THE VICE PRESIDENT (R) - VANCE,2025,138,54,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,99,99,data,True,98,98,OFFICE OF THE VICE PRESIDENT (R) - VANCE,2025,39,17,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,100,100,banner,True,100,100,PRES PRO TEM EMERITUS (R),2023,52,25,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,101,101,banner,True,101,101,PRES PRO TEM EMERITUS (R),2024,52,25,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,102,102,banner,True,102,102,PRES PRO TEM EMERITUS (R),2025,52,25,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,103,103,banner,True,103,103,PRESIDENT PRO TEMPORE (R),2025,80,35,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,104,104,banner,True,104,104,MINORITY LEADER (R),2023,52,25,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,105,105,banner,True,105,105,MINORITY LEADER (R),2023,52,25,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,106,106,banner,True,106,106,MINORITY LEADER (R),2024,52,25,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,107,107,banner,True,107,107,MAJORITY LEADER (R),2025,129,53,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,108,108,banner,True,108,108,MINORITY WHIP (R),2023,52,25,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,109,109,banner,True,109,109,MINORITY WHIP (R),2024,52,25,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,110,110,banner,True,110,110,MAJORITY WHIP (R),2025,102,44,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,111,111,banner,True,111,111,MINORITY CONFERENCE COMMITTEE (R),2023,52,25,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,112,112,banner,True,112,112,MINORITY CONFERENCE COMMITTEE (R),2024,52,25,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,113,113,banner,True,113,113,MAJORITY CONFERENCE COMMITTEE (R),2025,101,42,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,114,114,banner,True,114,114,MINORITY POLICY COMMITTEE (R),2023,52,25,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,115,115,banner,True,115,115,MINORITY POLICY COMMITTEE (R),2024,52,25,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,116,116,banner,True,116,116,MAJORITY POLICY COMMITTEE (R),2025,116,47,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,117,117,banner,True,117,117,"SECRETARY, MINORITY CONFERENCE COMM (R)",2023,53,26,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,118,118,banner,True,118,118,"SECRETARY, MINORITY CONFERENCE COMM (R)",2024,54,27,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,119,119,banner,True,119,119,"SECRETARY, MAJORITY CONFERENCE COMM (R)",2025,73,33,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,120,120,banner,True,120,120,SECRETARY FOR THE MAJORITY (D),2023,53,26,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,121,121,banner,True,121,121,SECRETARY FOR THE MAJORITY (D),2024,53,26,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,122,122,banner,True,122,122,SECRETARY FOR THE MINORITY (D),2025,90,38,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,123,123,banner,True,123,123,SECRETARY FOR THE MINORITY (R),2023,53,26,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,124,124,banner,True,124,124,SECRETARY FOR THE MINORITY (R),2024,53,26,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,125,125,banner,True,125,125,SECRETARY FOR THE MAJORITY (R),2025,90,38,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,126,126,banner,True,126,126,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2023,54,27,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,127,127,banner,True,127,127,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2024,54,27,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,128,128,banner,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,141,55,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,129,129,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,165,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,130,130,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,165,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,131,131,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,165,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,132,132,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,165,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,133,133,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,165,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,134,134,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,165,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,135,135,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,165,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,136,136,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,163,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,137,137,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,165,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,138,138,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,163,59,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,139,139,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,165,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,140,140,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,165,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,141,141,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,165,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,142,142,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,165,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,143,143,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,165,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,144,144,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,165,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,145,145,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,163,59,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,146,146,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,165,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,147,147,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,165,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,148,148,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,165,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,149,149,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,165,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,150,150,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,165,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,151,151,data,True,128,128,SERGEANT AT ARMS AND DOORKEEPER OF THE SENATE,2025,129,47,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,152,152,banner,True,152,152,SECRETARY OF THE SENATE,2023,53,26,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,153,153,banner,True,153,153,SECRETARY OF THE SENATE,2023,53,26,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,154,154,banner,True,154,154,SECRETARY OF THE SENATE,2024,53,26,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,155,155,banner,True,155,155,SECRETARY OF THE SENATE,2024,53,26,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,156,156,banner,True,156,156,SECRETARY OF THE SENATE,2025,140,54,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,157,157,data,True,156,156,SECRETARY OF THE SENATE,2025,165,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,158,158,data,True,156,156,SECRETARY OF THE SENATE,2025,163,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,159,159,data,True,156,156,SECRETARY OF THE SENATE,2025,163,59,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,160,160,data,True,156,156,SECRETARY OF THE SENATE,2025,165,58,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,161,161,data,True,156,156,SECRETARY OF THE SENATE,2025,130,47,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,162,162,banner,True,162,162,SECRETARY OF THE SENATE,2025,53,26,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,163,163,banner,True,163,163,SECRETARY OF THE SENATE,,53,26,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,164,164,banner,True,164,164,EMPLOYEES COMPENSATION FUND (P.L. 113-76),2023,57,26,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,165,165,banner,True,165,165,PAYMENT TO NEXT OF KIN OF SENATOR,,53,26,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,166,166,banner,True,166,166,APPROPRIATIONS,2021,71,31,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,167,167,banner,True,167,167,APPROPRIATIONS,2022,71,31,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,168,168,banner,True,168,168,APPROPRIATIONS,2023,205,51,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,169,169,data,True,168,168,APPROPRIATIONS,2023,213,37,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,170,170,banner,True,170,170,APPROPRIATIONS,2024,72,32,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,171,171,banner,True,171,171,APPROPRIATIONS,2025,147,50,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,172,172,data,True,171,171,APPROPRIATIONS,2025,24,11,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,173,173,banner,True,173,173,CHAPLAIN,2021,65,29,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,174,174,banner,True,174,174,CHAPLAIN,2022,65,29,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,175,175,banner,True,175,175,CHAPLAIN,2023,96,38,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,176,176,banner,True,176,176,CHAPLAIN,2024,160,52,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,177,177,data,True,176,176,CHAPLAIN,2024,34,15,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,178,178,banner,True,178,178,CHAPLAIN,2025,92,36,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,179,179,banner,True,179,179,OFFICE OF THE VICE PRESIDENT (D) - HARRIS,2023,59,28,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,180,180,banner,True,180,180,MAJORITY CONFERENCE COMMITTEE (D),2021,68,30,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,181,181,banner,True,181,181,MAJORITY CONFERENCE COMMITTEE (D),2022,65,29,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,182,182,banner,True,182,182,MAJORITY CONFERENCE COMMITTEE (D),2023,102,37,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,183,183,banner,True,183,183,MAJORITY CONFERENCE COMMITTEE (D),2024,83,30,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,184,184,banner,True,184,184,MAJORITY CONFERENCE COMMITTEE (D),2024,65,29,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,185,185,banner,True,185,185,MINORITY CONFERENCE COMMITTEE (D),2025,157,48,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,186,186,banner,True,186,186,MAJORITY POLICY COMMITTEE (D),2021,71,31,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,187,187,banner,True,187,187,MAJORITY POLICY COMMITTEE (D),2022,62,29,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,188,188,banner,True,188,188,MAJORITY POLICY COMMITTEE (D),2023,86,38,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,189,189,banner,True,189,189,MAJORITY POLICY COMMITTEE (D),2024,71,31,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,190,190,banner,True,190,190,MINORITY POLICY COMMITTEE (D),2025,138,49,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,191,191,data,True,190,190,MINORITY POLICY COMMITTEE (D),2025,17,10,block_data
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,192,192,banner,True,192,192,SECRETARY FOR THE MAJORITY (D),2024,53,26,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,193,193,banner,True,193,193,MINORITY LEADER (R),2023,65,29,block_start
119sdoc5,GPO-CDOC-119sdoc5-1.pdf,194,194,banner,True,194,194,MINORITY LEADER (R),2024,68,30,block_start
