office,funding_year,account,start_page,label,check_page,expected,actual,status,basis
SENATOR JIM JUSTICE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,18,PERSONNEL COMP. FULL-TIME PERMANENT,19,1368709.46,1368709.46,ok,segment
SENATOR JIM JUSTICE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,18,PERSONNEL BENEFITS,19,2235.96,0.0,no_records,segment
SENATOR JIM JUSTICE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,18,NET PAYROLL EXPENSES,19,1370945.42,1368709.46,fail,block_running_total
SENATOR JIM JUSTICE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,18,TRAVEL AND TRANSPORTATION OF PERSONS,24,30456.28,30456.28,ok,segment
SENATOR JIM JUSTICE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,18,ACQUISITION OF ASSETS,24,30024.51,30024.51,ok,segment
SENATOR TIM KAINE,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,28,PERSONNEL BENEFITS,28,947.5,0.0,no_records,segment
SENATOR TIM KAINE,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,28,NET PAYROLL EXPENSES,28,947.5,0.0,no_records,block_running_total
SENATOR TIM KAINE,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,28,ACQUISITION OF ASSETS,28,628.11,628.11,ok,segment
SENATOR TIM KAINE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,30,PERSONNEL COMP. FULL-TIME PERMANENT,31,2206412.07,2206412.07,ok,segment
SENATOR TIM KAINE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,30,RE-EMPLOYED ANNUITANTS,31,14772.0,0.0,no_records,segment
SENATOR TIM KAINE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,30,PERSONNEL BENEFITS,31,6503.0,0.0,no_records,segment
SENATOR TIM KAINE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,30,NET PAYROLL EXPENSES,32,2227687.07,2206412.07,fail,block_running_total
SENATOR TIM KAINE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,30,TRAVEL AND TRANSPORTATION OF PERSONS,45,48076.09,48076.09,ok,segment
SENATOR TIM KAINE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,30,OTHER CONTRACTUAL SERVICES,45,1386.42,1386.42,ok,segment
SENATOR TIM KAINE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,30,ACQUISITION OF ASSETS,45,2727.85,2727.85,ok,segment
INTERN COMPENSATION - KAINE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,46,PERSONNEL COMP. FULL-TIME PERMANENT,47,58593.25,58593.25,ok,segment
INTERN COMPENSATION - KAINE,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,46,NET PAYROLL EXPENSES,47,58593.25,58593.25,ok,block_running_total
SENATOR MARK KELLY,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,48,TRAVEL AND TRANSPORTATION OF PERSONS,48,24.89,24.89,ok,segment
SENATOR MARK KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,52,PERSONNEL COMP. FULL-TIME PERMANENT,53,2295688.39,2295688.39,ok,segment
SENATOR MARK KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,52,PERSONNEL BENEFITS,54,3305.13,0.0,no_records,segment
SENATOR MARK KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,52,NET PAYROLL EXPENSES,54,2298993.52,2295688.39,fail,block_running_total
SENATOR MARK KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,52,TRAVEL AND TRANSPORTATION OF PERSONS,67,110016.28,110016.28,ok,segment
SENATOR MARK KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,52,OTHER CONTRACTUAL SERVICES,67,23858.4,23858.4,ok,segment
SENATOR MARK KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,52,ACQUISITION OF ASSETS,67,625.05,625.05,ok,segment
INTERN COMPENSATION - KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,68,PERSONNEL COMP. FULL-TIME PERMANENT,68,27952.6,27952.6,ok,segment
INTERN COMPENSATION - KELLY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,68,NET PAYROLL EXPENSES,68,27952.6,27952.6,ok,block_running_total
SENATOR JOHN N. KENNEDY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,73,PERSONNEL COMP. FULL-TIME PERMANENT,74,2052296.06,2052296.06,ok,segment
SENATOR JOHN N. KENNEDY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,73,PERSONNEL BENEFITS,74,870.5,0.0,no_records,segment
SENATOR JOHN N. KENNEDY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,73,NET PAYROLL EXPENSES,74,2053166.56,2052296.06,fail,block_running_total
SENATOR JOHN N. KENNEDY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,73,TRAVEL AND TRANSPORTATION OF PERSONS,102,108281.5,108279.4,fail,segment
SENATOR JOHN N. KENNEDY,2025,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,73,OTHER CONTRACTUAL SERVICES,102,2144.8,2144.8,ok,segment
