office,funding_year,account,start_page,label,check_page,expected,actual,status,basis
SENATOR JAMES LANKFORD,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,21,TRAVEL AND TRANSPORTATION OF PERSONS,26,20302.3,20208.87,fail,segment
SENATOR JAMES LANKFORD,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,21,OTHER CONTRACTUAL SERVICES,27,9182.93,9182.93,ok,segment
SENATOR JAMES LANKFORD,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,21,ACQUISITION OF ASSETS,27,4683.96,4683.96,ok,segment
SENATOR JAMES LANKFORD,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,29,PERSONNEL COMP. FULL-TIME PERMANENT,30,1702376.39,1702376.39,ok,segment
SENATOR JAMES LANKFORD,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,29,PERSONNEL BENEFITS,30,1002.0,0.0,no_records,segment
SENATOR JAMES LANKFORD,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,29,NET PAYROLL EXPENSES,30,1703378.39,1702376.39,fail,block_running_total
SENATOR JAMES LANKFORD,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,29,TRAVEL AND TRANSPORTATION OF PERSONS,51,48140.01,48140.01,ok,segment
SENATOR JAMES LANKFORD,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,29,OTHER CONTRACTUAL SERVICES,51,1478.0,1478.0,ok,segment
SENATOR JAMES LANKFORD,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,29,ACQUISITION OF ASSETS,51,6081.36,6081.36,ok,segment
INTERN COMPENSATION - LANKFORD,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,52,PERSONNEL COMP. FULL-TIME PERMANENT,52,17191.07,17191.07,ok,segment
INTERN COMPENSATION - LANKFORD,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,52,NET PAYROLL EXPENSES,52,17191.07,17191.07,ok,block_running_total
SENATOR MIKE LEE,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,59,PERSONNEL BENEFITS,59,982.05,0.0,no_records,segment
SENATOR MIKE LEE,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,59,NET PAYROLL EXPENSES,59,982.05,0.0,no_records,block_running_total
SENATOR MIKE LEE,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,59,TRAVEL AND TRANSPORTATION OF PERSONS,61,1172.69,16783.35,fail,segment
SENATOR MIKE LEE,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,59,OTHER CONTRACTUAL SERVICES,61,13528.0,13528.0,ok,segment
SENATOR MIKE LEE,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,59,ACQUISITION OF ASSETS,62,83663.71,83663.71,ok,segment
SENATOR MIKE LEE,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,64,PERSONNEL COMP. FULL-TIME PERMANENT,65,1437138.45,1437138.45,ok,segment
SENATOR MIKE LEE,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,64,PERSONNEL BENEFITS,65,2975.67,0.0,no_records,segment
SENATOR MIKE LEE,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,64,NET PAYROLL EXPENSES,65,1440114.12,1437138.45,fail,block_running_total
SENATOR MIKE LEE,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,64,TRAVEL AND TRANSPORTATION OF PERSONS,74,70272.59,70272.59,ok,segment
SENATOR MIKE LEE,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,64,ACQUISITION OF ASSETS,74,11084.35,11084.35,ok,segment
INTERN COMPENSATION - LEE,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,75,PERSONNEL COMP. FULL-TIME PERMANENT,75,30049.97,30049.97,ok,segment
INTERN COMPENSATION - LEE,2024,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,75,NET PAYROLL EXPENSES,75,30049.97,30049.97,ok,block_running_total
SENATOR BEN RAY LUJAN,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,78,PERSONNEL BENEFITS,78,783.9,0.0,no_records,segment
SENATOR BEN RAY LUJAN,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,78,NET PAYROLL EXPENSES,78,783.9,0.0,no_records,block_running_total
SENATOR BEN RAY LUJAN,2023,SENATORS’ OFFICIAL PERSONNEL AND OFFICE EXPENSE ACCOUNT,78,TRAVEL AND TRANSPORTATION OF PERSONS,81,50865.39,50865.39,ok,segment
