severity,reason,source_doc,source_pdf,reference_page,office,funding_year,label,expected,detail,exception_key
warning,banner_check_discrepancy,114sdoc4,GPO-CDOC-114sdoc4.pdf,18,CHAIRMAN MAJORITY CONFERENCE COMMITTEE (D),2014,BANNER ORGANIZATION TOTALS,2168.18,status=fail; banner=2168.18; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_discrepancy|18|CHAIRMAN MAJORITY CONFERENCE COMMITTEE (D)|2014|BANNER ORGANIZATION TOTALS|2168.18
warning,banner_check_discrepancy,114sdoc4,GPO-CDOC-114sdoc4.pdf,19,CHAIRMAN MINORITY CONFERENCE COMMITTEE (D),2015,BANNER ORGANIZATION TOTALS,2849.5,status=fail; banner=2849.5; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_discrepancy|19|CHAIRMAN MINORITY CONFERENCE COMMITTEE (D)|2015|BANNER ORGANIZATION TOTALS|2849.5
warning,banner_check_discrepancy,114sdoc4,GPO-CDOC-114sdoc4.pdf,21,CHAIRMAN MAJORITY POLICY COMMITTEE (D),2014,BANNER ORGANIZATION TOTALS,1133.95,status=fail; banner=1133.95; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_discrepancy|21|CHAIRMAN MAJORITY POLICY COMMITTEE (D)|2014|BANNER ORGANIZATION TOTALS|1133.95
warning,banner_check_discrepancy,114sdoc4,GPO-CDOC-114sdoc4.pdf,22,CHAIRMAN MINORITY POLICY COMMITTEE (D),2015,BANNER ORGANIZATION TOTALS,761.68,status=fail; banner=761.68; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_discrepancy|22|CHAIRMAN MINORITY POLICY COMMITTEE (D)|2015|BANNER ORGANIZATION TOTALS|761.68
warning,banner_check_discrepancy,114sdoc4,GPO-CDOC-114sdoc4.pdf,24,MAJORITY LEADER (D),2014,BANNER ORGANIZATION TOTALS,2498.62,status=fail; banner=2498.62; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_discrepancy|24|MAJORITY LEADER (D)|2014|BANNER ORGANIZATION TOTALS|2498.62
warning,banner_check_discrepancy,114sdoc4,GPO-CDOC-114sdoc4.pdf,25,MINORITY LEADER (D),2015,BANNER ORGANIZATION TOTALS,18627.05,status=fail; banner=18627.05; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_discrepancy|25|MINORITY LEADER (D)|2015|BANNER ORGANIZATION TOTALS|18627.05
warning,banner_check_discrepancy,114sdoc4,GPO-CDOC-114sdoc4.pdf,27,MAJORITY WHIP (D),2014,BANNER ORGANIZATION TOTALS,4431.16,status=fail; banner=4431.16; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_discrepancy|27|MAJORITY WHIP (D)|2014|BANNER ORGANIZATION TOTALS|4431.16
warning,banner_check_discrepancy,114sdoc4,GPO-CDOC-114sdoc4.pdf,28,MINORITY WHIP (D),2015,BANNER ORGANIZATION TOTALS,5249.1,status=fail; banner=5249.1; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_discrepancy|28|MINORITY WHIP (D)|2015|BANNER ORGANIZATION TOTALS|5249.1
warning,banner_check_discrepancy,114sdoc4,GPO-CDOC-114sdoc4.pdf,31,OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2015,BANNER ORGANIZATION TOTALS,407.68,status=fail; banner=407.68; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_discrepancy|31|OFFICE OF THE VICE PRESIDENT (D) - BIDEN|2015|BANNER ORGANIZATION TOTALS|407.68
warning,banner_check_missing,114sdoc4,GPO-CDOC-114sdoc4.pdf,32,PRESIDENT PRO TEMPORE (D),2013,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_missing|32|PRESIDENT PRO TEMPORE (D)|2013|BANNER NET PAYROLL|0.0
warning,banner_check_missing,114sdoc4,GPO-CDOC-114sdoc4.pdf,33,PRESIDENT PRO TEMPORE (D),2014,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_missing|33|PRESIDENT PRO TEMPORE (D)|2014|BANNER NET PAYROLL|0.0
warning,banner_check_discrepancy,114sdoc4,GPO-CDOC-114sdoc4.pdf,34,PRESIDENT PRO TEMPORE (D),2015,BANNER ORGANIZATION TOTALS,4290.0,status=fail; banner=4290.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_discrepancy|34|PRESIDENT PRO TEMPORE (D)|2015|BANNER ORGANIZATION TOTALS|4290.0
warning,banner_check_discrepancy,114sdoc4,GPO-CDOC-114sdoc4.pdf,38,MAJORITY LEADER (R),2015,BANNER ORGANIZATION TOTALS,16219.62,status=fail; banner=16219.62; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_discrepancy|38|MAJORITY LEADER (R)|2015|BANNER ORGANIZATION TOTALS|16219.62
warning,banner_check_discrepancy,114sdoc4,GPO-CDOC-114sdoc4.pdf,41,MAJORITY WHIP (R),2015,BANNER ORGANIZATION TOTALS,3136.37,status=fail; banner=3136.37; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_discrepancy|41|MAJORITY WHIP (R)|2015|BANNER ORGANIZATION TOTALS|3136.37
warning,banner_check_discrepancy,114sdoc4,GPO-CDOC-114sdoc4.pdf,44,CHAIRMAN MAJORITY CONFERENCE COMMITTEE (R),2015,BANNER ORGANIZATION TOTALS,1884.33,status=fail; banner=1884.33; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_discrepancy|44|CHAIRMAN MAJORITY CONFERENCE COMMITTEE (R)|2015|BANNER ORGANIZATION TOTALS|1884.33
warning,banner_check_discrepancy,114sdoc4,GPO-CDOC-114sdoc4.pdf,47,CHAIRMAN MAJORITY POLICY COMMITTEE (R),2015,BANNER ORGANIZATION TOTALS,2674.99,status=fail; banner=2674.99; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_discrepancy|47|CHAIRMAN MAJORITY POLICY COMMITTEE (R)|2015|BANNER ORGANIZATION TOTALS|2674.99
warning,banner_check_missing,114sdoc4,GPO-CDOC-114sdoc4.pdf,54,APPROPRIATIONS,2013,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_missing|54|APPROPRIATIONS|2013|BANNER NET PAYROLL|0.0
error,unexpected_zero_records,114sdoc4,GPO-CDOC-114sdoc4.pdf,55,APPROPRIATIONS,2014,NET PAYROLL EXPENSES,219.32,A normally itemized subtotal has no parsed records; exact review is required.,114sdoc4|unexpected_zero_records|55|APPROPRIATIONS|2014|NET PAYROLL EXPENSES|219.32
warning,banner_check_discrepancy,114sdoc4,GPO-CDOC-114sdoc4.pdf,55,APPROPRIATIONS,2014,BANNER ORGANIZATION TOTALS,219.32,status=fail; banner=219.32; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_discrepancy|55|APPROPRIATIONS|2014|BANNER ORGANIZATION TOTALS|219.32
warning,banner_check_discrepancy,114sdoc4,GPO-CDOC-114sdoc4.pdf,56,APPROPRIATIONS,2015,BANNER ORGANIZATION TOTALS,6342823.07,status=fail; banner=6342823.07; parsed_body=6343042.39. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_discrepancy|56|APPROPRIATIONS|2015|BANNER ORGANIZATION TOTALS|6342823.07
warning,banner_check_missing,114sdoc4,GPO-CDOC-114sdoc4.pdf,59,CHAPLAIN,2013,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_missing|59|CHAPLAIN|2013|BANNER NET PAYROLL|0.0
warning,banner_check_missing,114sdoc4,GPO-CDOC-114sdoc4.pdf,60,CHAPLAIN,2014,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_missing|60|CHAPLAIN|2014|BANNER NET PAYROLL|0.0
warning,banner_check_missing,114sdoc4,GPO-CDOC-114sdoc4.pdf,62,MAJORITY CONFERENCE COMMITTEE (D),2013,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_missing|62|MAJORITY CONFERENCE COMMITTEE (D)|2013|BANNER NET PAYROLL|0.0
warning,banner_check_missing,114sdoc4,GPO-CDOC-114sdoc4.pdf,63,MAJORITY CONFERENCE COMMITTEE (D),2014,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_missing|63|MAJORITY CONFERENCE COMMITTEE (D)|2014|BANNER NET PAYROLL|0.0
warning,banner_check_missing,114sdoc4,GPO-CDOC-114sdoc4.pdf,65,MAJORITY POLICY COMMITTEE (D),2013,BANNER NET PAYROLL,0.0,status=banner_missing; banner=0.0; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_missing|65|MAJORITY POLICY COMMITTEE (D)|2013|BANNER NET PAYROLL|0.0
error,unexpected_zero_records,114sdoc4,GPO-CDOC-114sdoc4.pdf,66,MAJORITY POLICY COMMITTEE (D),2014,NET PAYROLL EXPENSES,144.23,A normally itemized subtotal has no parsed records; exact review is required.,114sdoc4|unexpected_zero_records|66|MAJORITY POLICY COMMITTEE (D)|2014|NET PAYROLL EXPENSES|144.23
warning,banner_check_discrepancy,114sdoc4,GPO-CDOC-114sdoc4.pdf,66,MAJORITY POLICY COMMITTEE (D),2014,BANNER ORGANIZATION TOTALS,144.23,status=fail; banner=144.23; parsed_body=0.0. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_discrepancy|66|MAJORITY POLICY COMMITTEE (D)|2014|BANNER ORGANIZATION TOTALS|144.23
warning,banner_check_discrepancy,114sdoc4,GPO-CDOC-114sdoc4.pdf,67,MINORITY POLICY COMMITTEE (D),2015,BANNER ORGANIZATION TOTALS,766616.11,status=fail; banner=766616.11; parsed_body=766760.34. Banner checks are advisory; review against the source before treating this as a parser defect.,114sdoc4|banner_check_discrepancy|67|MINORITY POLICY COMMITTEE (D)|2015|BANNER ORGANIZATION TOTALS|766616.11
