office,funding_year,start_page,status,banner_status,record_count,page_count,continuation_page_count,subtotal_count,rows_quarantined,records_checked,dollars_checked,dollars_unchecked,amount_parse_failures,pages_skipped
CHAIRMAN MAJORITY CONFERENCE COMMITTEE (D),2013,17,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY CONFERENCE COMMITTEE (D),2014,18,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY CONFERENCE COMMITTEE (D),2015,19,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY POLICY COMMITTEE (D),2013,20,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY POLICY COMMITTEE (D),2014,21,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY POLICY COMMITTEE (D),2015,22,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2013,23,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2014,24,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2015,25,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (D),2013,26,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (D),2014,27,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY WHIP (D),2015,28,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2013,29,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2014,30,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2015,31,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2013,32,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2014,33,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2015,34,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (R),2015,35,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2013,36,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2014,37,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2015,38,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY WHIP (R),2013,39,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY WHIP (R),2014,40,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (R),2015,41,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY CONFERENCE COMMITTEE (R),2013,42,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY CONFERENCE COMMITTEE (R),2014,43,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY CONFERENCE COMMITTEE (R),2015,44,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY POLICY COMMITTEE (R),2013,45,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MINORITY POLICY COMMITTEE (R),2014,46,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
CHAIRMAN MAJORITY POLICY COMMITTEE (R),2015,47,ok,fail,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2013,48,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2014,49,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2015,50,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2013,51,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (R),2014,52,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (R),2015,53,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,2013,54,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
APPROPRIATIONS,2014,55,ok,fail,0,1,0,2,0,0,0.0,0.0,0,0
APPROPRIATIONS,2015,56,fail,fail,125,3,2,4,125,125,6312022.4,0.0,0,0
CHAPLAIN,2013,59,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
CHAPLAIN,2014,60,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
CHAPLAIN,2015,61,ok,ok,4,1,0,2,0,4,205243.66,0.0,0,0
MAJORITY CONFERENCE COMMITTEE (D),2013,62,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY CONFERENCE COMMITTEE (D),2014,63,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY CONFERENCE COMMITTEE (D),2015,64,ok,ok,28,1,0,3,0,28,749497.84,0.0,0,0
MAJORITY POLICY COMMITTEE (D),2013,65,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY POLICY COMMITTEE (D),2014,66,ok,fail,0,1,0,2,0,0,0.0,0.0,0,0
MINORITY POLICY COMMITTEE (D),2015,67,fail,fail,21,1,0,2,0,21,766760.34,0.0,0,0
MAJORITY LEADER (D),2013,68,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY LEADER (D),2014,69,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY LEADER (D),2015,70,ok,ok,31,1,0,3,0,31,1176728.53,0.0,0,0
"SECRETARY, MAJORITY CONFERENCE COMM (D)",2013,71,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
"SECRETARY, MAJORITY CONFERENCE COMM (D)",2014,72,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
"SECRETARY, MINORITY CONFERENCE COMM (D)",2015,73,ok,ok,4,1,0,2,0,4,160729.34,0.0,0,0
MAJORITY WHIP (D),2013,74,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MAJORITY WHIP (D),2014,75,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
MINORITY WHIP (D),2015,76,ok,ok,20,1,0,2,0,20,808038.69,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2013,77,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2014,78,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
OFFICE OF THE VICE PRESIDENT (D) - BIDEN,2015,79,ok,ok,34,2,1,2,0,34,1027452.89,0.0,0,0
PRESIDENT PRO TEMPORE (D),2013,81,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2014,82,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
PRESIDENT PRO TEMPORE (D),2015,83,ok,ok,2,1,0,2,0,2,14633.3,0.0,0,0
