senator_name,funding_year,start_page,record_count,outcome
TOM COBURN,2014,744,32,unmatched
TOM COBURN,2015,746,87,unmatched
PATRICK J.TOOMEY,2013,1703,1,unmatched
PATRICK J.TOOMEY,2014,1704,154,unmatched
PATRICK J.TOOMEY,2015,1710,461,unmatched
MARK UDALL (CO),2014,1726,50,unmatched
MARK UDALL (CO),2015,1729,104,unmatched
TOM UDALL (NM),2014,1734,40,unmatched
TOM UDALL (NM),2015,1737,397,unmatched
