office,funding_year,start_page,status,banner_status,record_count,page_count,continuation_page_count,subtotal_count,rows_quarantined,records_checked,dollars_checked,dollars_unchecked,amount_parse_failures,pages_skipped
SENATOR JD VANCE,2023,2241,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
INTERN COMPENSATION - VANCE,2023,2242,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR JD VANCE,2024,2243,ok,warn,62,4,3,2,0,62,14761.93,0.0,0,0
INTERN COMPENSATION - VANCE,2024,2247,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR JD VANCE,2025,2248,ok,warn,124,5,4,3,0,124,879819.7,0.0,0,0
INTERN COMPENSATION - VANCE,2025,2253,ok,not_applicable,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR CHRIS VAN HOLLEN,2023,2254,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
INTERN COMPENSATION - VAN HOLLEN,2023,2255,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR CHRIS VAN HOLLEN,2024,2256,ok,fail,101,5,4,5,0,101,21098.67,0.0,0,0
INTERN COMPENSATION - VAN HOLLEN,2024,2261,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR CHRIS VAN HOLLEN,2025,2262,ok,fail,238,10,9,5,0,238,2017990.06,0.0,0,0
INTERN COMPENSATION - VAN HOLLEN,2025,2272,ok,ok,7,1,0,2,0,7,22388.57,0.0,0,0
SENATOR MARK WARNER,2023,2273,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
INTERN COMPENSATION - WARNER,2023,2274,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR MARK WARNER,2024,2275,ok,warn,75,4,3,3,0,75,13471.8,0.0,0,0
INTERN COMPENSATION - WARNER,2024,2279,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR MARK WARNER,2025,2280,ok,fail,376,14,13,6,0,376,2152540.26,0.0,0,0
INTERN COMPENSATION - WARNER,2025,2294,ok,ok,24,1,0,2,0,24,40674.85,0.0,0,0
SENATOR RAPHAEL WARNOCK,2023,2295,ok,banner_missing,2,1,0,1,0,2,702.12,0.0,0,0
INTERN COMPENSATION - WARNOCK,2023,2296,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR RAPHAEL WARNOCK,2024,2297,ok,fail,260,10,9,5,0,260,68343.33,0.0,0,0
INTERN COMPENSATION - WARNOCK,2024,2307,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR RAPHAEL WARNOCK,2025,2308,ok,fail,630,24,23,6,0,630,2169632.46,0.0,0,0
INTERN COMPENSATION - WARNOCK,2025,2332,ok,ok,17,1,0,2,0,17,45765.61,0.0,0,0
SENATOR ELIZABETH WARREN,2023,2333,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
INTERN COMPENSATION - WARREN,2023,2334,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR ELIZABETH WARREN,2024,2335,ok,fail,103,5,4,5,0,103,162283.55,0.0,0,0
INTERN COMPENSATION - WARREN,2024,2340,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR ELIZABETH WARREN,2025,2341,ok,fail,216,8,7,6,0,216,1888211.65,0.0,0,0
INTERN COMPENSATION - WARREN,2025,2349,ok,ok,6,1,0,2,0,6,26023.26,0.0,0,0
SENATOR PETER WELCH,2023,2350,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
INTERN COMPENSATION - WELCH,2023,2351,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR PETER WELCH,2024,2352,ok,warn,59,3,2,3,0,59,37190.28,0.0,0,0
INTERN COMPENSATION - WELCH,2024,2355,ok,banner_missing,0,1,0,0,0,0,0.0,0.0,0,0
SENATOR PETER WELCH,2025,2356,fail,fail,212,8,7,5,0,212,1798841.37,0.0,0,0
