senator_name,funding_year,start_page,record_count,outcome
MARK KELLY,2024,1355,113,no_matcher
MARK KELLY,2025,1361,280,no_matcher
JOHN N. KENNEDY,2024,1373,53,no_matcher
JOHN N. KENNEDY,2025,1377,720,no_matcher
ANDY KIM,2025,1405,181,no_matcher
ANGUS KING,2024,1415,20,no_matcher
ANGUS KING,2025,1418,224,no_matcher
AMY KLOBUCHAR,2023,1428,1,no_matcher
AMY KLOBUCHAR,2024,1430,98,no_matcher
AMY KLOBUCHAR,2025,1436,281,no_matcher
JAMES LANKFORD,2024,1449,125,no_matcher
JAMES LANKFORD,2025,1456,563,no_matcher
MIKE LEE,2024,1484,42,no_matcher
MIKE LEE,2025,1488,285,no_matcher
BEN RAY LUJAN,2023,1499,1,no_matcher
BEN RAY LUJAN,2024,1501,47,no_matcher
BEN RAY LUJAN,2025,1505,225,no_matcher
CYNTHIA LUMMIS,2024,1517,151,no_matcher
CYNTHIA LUMMIS,2025,1524,452,no_matcher
JOE MANCHIN,2024,1542,77,no_matcher
JOE MANCHIN,2025,1547,181,no_matcher
EDWARD MARKEY,2023,1555,2,no_matcher
EDWARD MARKEY,2024,1557,99,no_matcher
EDWARD MARKEY,2025,1563,201,no_matcher
ROGER MARSHALL,2024,1574,71,no_matcher
ROGER MARSHALL,2025,1578,341,no_matcher
"A. MITCHELL MCCONNELL, JR.",2024,1593,63,no_matcher
"A. MITCHELL MCCONNELL, JR.",2025,1598,434,no_matcher
DAVE MCCORMICK,2025,1617,110,no_matcher
ROBERT MENENDEZ,2024,1624,4,no_matcher
JEFF MERKLEY,2024,1628,21,no_matcher
JEFF MERKLEY,2025,1631,208,no_matcher
ASHLEY MOODY,2025,1640,94,no_matcher
JERRY MORAN,2024,1647,81,no_matcher
JERRY MORAN,2025,1652,490,no_matcher
BERNIE MORENO,2025,1670,127,no_matcher
MARKWAYNE MULLIN,2024,1679,63,no_matcher
MARKWAYNE MULLIN,2025,1683,247,no_matcher
LISA MURKOWSKI,2023,1694,2,no_matcher
LISA MURKOWSKI,2024,1696,79,no_matcher
LISA MURKOWSKI,2025,1701,198,no_matcher
CHRIS MURPHY,2024,1711,67,no_matcher
CHRIS MURPHY,2025,1716,356,no_matcher
PATTY MURRAY,2024,1733,53,no_matcher
PATTY MURRAY,2025,1737,257,no_matcher
JON OSSOFF,2024,1749,108,no_matcher
JON OSSOFF,2025,1755,438,no_matcher
ALEX PADILLA,2024,1774,52,no_matcher
ALEX PADILLA,2025,1778,327,no_matcher
RAND PAUL,2024,1793,140,no_matcher
RAND PAUL,2025,1800,705,no_matcher
GARY PETERS,2023,1826,1,no_matcher
GARY PETERS,2024,1828,319,no_matcher
GARY PETERS,2025,1841,357,no_matcher
JOHN F. REED,2024,1859,34,no_matcher
JOHN F. REED,2025,1862,79,no_matcher
JOHN PETER RICKETTS,2024,1869,49,no_matcher
JOHN PETER RICKETTS,2025,1873,265,no_matcher
JAMES E. RISCH,2024,1886,64,no_matcher
JAMES E. RISCH,2025,1890,297,no_matcher
MITT ROMNEY,2023,1901,3,no_matcher
MITT ROMNEY,2024,1903,99,no_matcher
MITT ROMNEY,2025,1909,196,no_matcher
JACKY ROSEN,2024,1919,14,no_matcher
JACKY ROSEN,2025,1922,215,no_matcher
MIKE ROUNDS,2024,1933,122,no_matcher
MIKE ROUNDS,2025,1940,393,no_matcher
MARCO RUBIO,2024,1957,79,no_matcher
MARCO RUBIO,2025,1962,303,no_matcher
BERNARD SANDERS,2024,1976,18,no_matcher
BERNARD SANDERS,2025,1979,166,no_matcher
BRIAN SCHATZ,2024,1991,53,no_matcher
BRIAN SCHATZ,2025,1995,99,no_matcher
ADAM SCHIFF,2025,2000,156,no_matcher
ERIC SCHMITT,2024,2009,83,no_matcher
ERIC SCHMITT,2025,2014,515,no_matcher
CHARLES E. SCHUMER,2023,2034,1,no_matcher
CHARLES E. SCHUMER,2024,2036,39,no_matcher
CHARLES E. SCHUMER,2025,2039,240,no_matcher
RICK SCOTT,2024,2052,63,no_matcher
RICK SCOTT,2025,2057,196,no_matcher
TIM SCOTT,2024,2067,39,no_matcher
TIM SCOTT,2025,2071,297,no_matcher
JEANNE SHAHEEN,2024,2087,62,no_matcher
JEANNE SHAHEEN,2025,2092,143,no_matcher
TIM SHEEHY,2025,2100,135,no_matcher
KYRSTEN SINEMA,2023,2108,11,no_matcher
KYRSTEN SINEMA,2024,2110,99,no_matcher
KYRSTEN SINEMA,2025,2115,146,no_matcher
ELISSA SLOTKIN,2025,2122,195,no_matcher
TINA SMITH,2024,2132,31,no_matcher
TINA SMITH,2025,2135,274,no_matcher
DEBBIE A. STABENOW,2024,2148,56,no_matcher
DEBBIE A. STABENOW,2025,2152,180,no_matcher
DAN SULLIVAN,2024,2162,40,no_matcher
DAN SULLIVAN,2025,2165,163,no_matcher
JON TESTER,2024,2174,38,no_matcher
JON TESTER,2025,2177,75,no_matcher
JOHN R. THUNE,2024,2183,28,no_matcher
JOHN R. THUNE,2025,2186,135,no_matcher
THOM TILLIS,2023,2192,3,no_matcher
THOM TILLIS,2024,2194,90,no_matcher
THOM TILLIS,2025,2200,430,no_matcher
TOMMY TUBERVILLE,2024,2222,127,no_matcher
TOMMY TUBERVILLE,2025,2229,270,no_matcher
JD VANCE,2024,2243,62,no_matcher
JD VANCE,2025,2248,124,no_matcher
CHRIS VAN HOLLEN,2024,2256,101,no_matcher
CHRIS VAN HOLLEN,2025,2262,238,no_matcher
MARK WARNER,2024,2275,75,no_matcher
MARK WARNER,2025,2280,376,no_matcher
RAPHAEL WARNOCK,2023,2295,2,no_matcher
RAPHAEL WARNOCK,2024,2297,260,no_matcher
RAPHAEL WARNOCK,2025,2308,630,no_matcher
ELIZABETH WARREN,2024,2335,103,no_matcher
ELIZABETH WARREN,2025,2341,216,no_matcher
PETER WELCH,2024,2352,59,no_matcher
PETER WELCH,2025,2356,212,no_matcher
SHELDON WHITEHOUSE,2024,2367,69,no_matcher
SHELDON WHITEHOUSE,2025,2372,235,no_matcher
ROGER WICKER,2024,2384,32,no_matcher
ROGER WICKER,2025,2388,250,no_matcher
RON WYDEN,2023,2399,3,no_matcher
RON WYDEN,2024,2401,24,no_matcher
RON WYDEN,2025,2404,257,no_matcher
TODD YOUNG,2023,2414,1,no_matcher
TODD YOUNG,2024,2416,59,no_matcher
TODD YOUNG,2025,2421,188,no_matcher
